Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,145.32,147.205,140.67,140.75,-4.54,-3.12%,761766,0
03/13/2023,148.37,153.775,145.22,145.29,-3.76,-2.52%,857660,0
03/06/2023,160.11,161.57,147.68,149.05,-10.42,-6.53%,908646,0
02/27/2023,165.79,165.93,154.28,159.47,-4.45,-2.71%,668040,0
02/20/2023,167.37,167.74,162.11,163.92,-4.42,-2.63%,476775,0
02/13/2023,171.49,173.43,165.08,168.34,-3.03,-1.77%,931440,0
02/06/2023,171.32,176.36,169.35,171.37,-1.68,-0.97%,732340,0
01/30/2023,163.42,174.88,160.98,173.05,8.1,+4.91%,1026180,0
01/23/2023,155.59,165.89,154.19,164.95,9.49,+6.10%,826500,0
01/16/2023,159.97,162.03,152.66,155.46,-4.45,-2.78%,832000,0
01/09/2023,156.95,162.23,153.865,159.91,1.6,+1.01%,675820,0
01/02/2023,157.42,159.075,152.16,158.31,1.32,+0.84%,471525,0
12/26/2022,156.5,158.33,153.58,156.99,0.64,+0.41%,377050,0
12/19/2022,157,157.38,152.53,156.35,-1.25,-0.79%,488580,0
12/12/2022,161.64,168.725,154.98,157.6,-4.04,-2.50%,777220,0
12/05/2022,162.61,164.54,156.36,161.64,-2.62,-1.60%,762620,0
11/28/2022,160.84,167.36,157.62,164.26,2.8,+1.73%,575860,0
11/21/2022,158.18,162.54,157.755,161.46,2.75,+1.73%,427000,0
11/14/2022,159.89,160.71,154.35,158.71,-1.57,-0.98%,536540,0
11/07/2022,154.33,164.88,150.64,160.28,6.56,+4.27%,640680,0
10/31/2022,155.44,159.39,149.23,153.72,-2.89,-1.85%,686220,0
10/24/2022,151.16,157.3,147.44,156.61,7.08,+4.73%,884860,0
10/17/2022,145.12,153,144.52,149.53,7.19,+5.05%,1194140,0
10/10/2022,145.82,148.43,141.13,142.34,-2.9,-2.00%,806060,0
10/03/2022,157.67,160.7,144.18,145.24,-9.83,-6.34%,839244,0
09/26/2022,157.46,157.46,151.05,155.07,-3.1,-1.96%,919440,0
09/19/2022,164.29,165.579,155.38,158.17,-7.78,-4.69%,667580,0
09/12/2022,173.18,174.195,162.89,165.95,-6.75,-3.91%,671920,0
09/05/2022,165.31,173.81,164.87,172.7,8.48,+5.16%,566475,0
08/29/2022,173.21,173.21,162.72,164.22,-9.66,-5.56%,698681,0
08/22/2022,182.54,182.92,173.78,173.88,-9.99,-5.43%,493181,0
08/15/2022,188,190.17,183.21,183.87,-3.92,-2.09%,375000,0
08/08/2022,180.99,187.95,179.375,187.79,8.25,+4.60%,441200,0
08/01/2022,184.55,185.58,174.765,179.54,-6.19,-3.33%,688420,0
07/25/2022,173.68,187.03,172.51,185.73,11.68,+6.71%,637640,0
07/18/2022,168.05,175.5187,165.75,174.05,6.56,+3.92%,577080,0
07/11/2022,169.29,171.41,164.65,167.49,-2.34,-1.38%,431581,0
07/04/2022,174.31,174.75,169,169.83,-5.62,-3.20%,607475,0
06/27/2022,172.14,177.28,171.11,175.45,2.92,+1.69%,646520,0
06/20/2022,163.5,172.72,161.98,172.53,9.99,+6.15%,752975,0
06/13/2022,165.17,166.705,158.855,162.54,-5.62,-3.34%,761185,0
06/06/2022,179.75,180,165.79,168.16,-10.97,-6.12%,548220,0
05/30/2022,181.63,182.98,176.44,179.13,-4.69,-2.55%,772950,0
05/23/2022,177.18,184.78,174.465,183.82,8.51,+4.85%,739840,0
05/16/2022,179.88,180.88,171.38,175.31,-4.45,-2.48%,834680,0
05/09/2022,182.67,183.64,174.08,179.76,-4.79,-2.60%,679720,0
05/02/2022,197.63,198.54,182.415,184.55,-12.13,-6.17%,646180,0
04/25/2022,206.49,207.73,196.08,196.68,-10.39,-5.02%,678260,0
04/18/2022,205.22,215.1,202.03,207.07,1.68,+0.82%,709860,0
04/11/2022,214.78,215.41,203.95,205.39,-8.94,-4.17%,768050,0
04/04/2022,213.37,217.64,208.26,214.33,1.01,+0.47%,753083,0
03/28/2022,207.46,215.0575,206.23,213.32,6.96,+3.37%,918401,0
03/21/2022,207.04,208.13,202.4,206.36,-0.41,-0.20%,841760,0
03/14/2022,210.81,211.02,203.31,206.77,-1.7,-0.82%,685400,0
03/07/2022,214.67,216.26,207.07,208.47,-5.79,-2.70%,594980,0
02/28/2022,207.05,214.44,201.8375,214.26,4.35,+2.07%,651880,0
02/21/2022,204.9,210.02,197.1,209.91,5.47,+2.68%,543050,0
02/14/2022,209.99,212.49,203.82,204.44,-6.39,-3.03%,424880,0
02/07/2022,213.07,217.22,208.24,210.83,-1.7,-0.80%,616020,0
01/31/2022,203.64,215.94,201.46,212.53,7.77,+3.79%,654060,0
01/24/2022,201.66,204.95,193.91,204.76,1.87,+0.92%,876420,0
01/17/2022,213.44,216.76,202.17,202.89,-12.22,-5.68%,654125,0
01/10/2022,214.89,220.34,210.07,215.11,-1.31,-0.61%,681380,0
01/03/2022,229.43,230.71,216.1,216.42,-13.02,-5.67%,500340,0
12/27/2021,221.92,231.63,220.8,229.44,8.35,+3.78%,382780,0
12/20/2021,218.47,223.82,215.81,221.09,0.95,+0.43%,413000,0
12/13/2021,215.52,224.8599,214.31,220.14,3.67,+1.70%,939320,0
12/06/2021,209.6,218.89,208.02,216.47,9.04,+4.36%,680640,0
11/29/2021,205,211.965,201.22,207.43,3.86,+1.90%,1096380,0
11/22/2021,201.61,211.11,200.32,203.57,2.23,+1.11%,521880,0
11/15/2021,205.43,206.83,197.92,201.34,-3.7,-1.80%,434440,0
11/08/2021,202.93,205.97,200,205.04,2.69,+1.33%,340440,0
11/01/2021,204.61,204.61,197.38,202.35,-1.86,-0.91%,490560,0
