Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,8.65,9.51,8.6,9.16,0.48,+5.53%,856750,0
03/13/2023,10.8,10.8,8.265,8.68,-2.24,-20.51%,982980,0
03/06/2023,12.43,12.46,10.9,10.92,-1.54,-12.36%,413760,0
02/27/2023,13.74,14,11.67,12.46,-1.2,-8.78%,692520,0
02/20/2023,13.04,13.74,13.005,13.66,0.51,+3.88%,307300,0
02/13/2023,13.48,13.61,12.97,13.15,-0.35,-2.59%,229320,0
02/06/2023,12.99,13.52,12.45,13.5,0.49,+3.77%,354880,0
01/30/2023,13.06,13.14,12.66,13.01,-0.08,-0.61%,296060,0
01/23/2023,12.87,13.505,12.87,13.09,0.19,+1.47%,218051,0
01/16/2023,13.3,13.47,12.5,12.9,-0.38,-2.86%,214925,0
01/09/2023,12.84,13.455,12.37,13.28,0.58,+4.57%,254580,0
01/02/2023,12.98,13.0885,12.5,12.7,-0.15,-1.17%,295450,0
12/26/2022,12.95,13.125,12.38,12.85,-0.05,-0.39%,261000,0
12/19/2022,11.98,12.92,11.895,12.9,0.9,+7.50%,389800,0
12/12/2022,12.55,12.98,11.95,12,-0.45,-3.61%,387900,0
12/05/2022,12.4,13.4,11.99,12.45,-0.02,-0.16%,592840,0
11/28/2022,11.64,12.78,11.64,12.47,0.47,+3.92%,430960,0
11/21/2022,11.53,12.03,11.47,12,0.35,+3.00%,193675,0
11/14/2022,12,12.53,11.45,11.65,-0.39,-3.24%,289180,0
11/07/2022,11.53,12.79,11.18,12.04,0.5,+4.33%,460340,0
10/31/2022,10.61,12.18,9.94,11.54,0.79,+7.35%,615620,0
10/24/2022,10.17,10.865,10.14,10.75,0.68,+6.75%,246140,0
10/17/2022,10.14,10.525,9.86,10.07,0.2,+2.03%,229660,0
10/10/2022,9.5,10.515,9.47,9.87,0.39,+4.11%,191740,0
10/03/2022,9.32,9.98,9.06,9.48,0.28,+3.04%,199160,0
09/26/2022,9.35,9.7,8.91,9.2,-0.21,-2.23%,427820,0
09/19/2022,11.24,11.49,9.35,9.41,-1.99,-17.46%,440641,0
09/12/2022,12.57,12.86,11.16,11.4,-1.11,-8.87%,265400,0
09/05/2022,11.77,12.53,11.57,12.51,0.79,+6.74%,233125,0
08/29/2022,12.3,12.47,11.56,11.72,-0.75,-6.01%,170320,0
08/22/2022,12.46,12.97,12.04,12.47,-0.22,-1.73%,193460,0
08/15/2022,13.03,13.39,12.3,12.69,-0.43,-3.28%,215360,0
08/08/2022,11.12,13.12,11.12,13.12,2.21,+20.26%,353900,0
08/01/2022,12.54,12.86,10.25,10.91,-1.67,-13.28%,352820,0
07/25/2022,11.84,12.9,11.77,12.58,0.79,+6.70%,150960,0
07/18/2022,11.99,12.54,11.49,11.79,-0.02,-0.17%,229460,0
07/11/2022,12.37,12.45,11.48,11.81,-0.65,-5.22%,211340,0
07/04/2022,12.54,13.03,12.12,12.46,-0.32,-2.50%,246950,0
06/27/2022,13.89,13.95,12.25,12.78,-1,-7.26%,189220,0
06/20/2022,12.26,13.78,12,13.78,1.82,+15.22%,378050,0
06/13/2022,13.55,13.66,11.515,11.96,-2.03,-14.51%,582700,0
06/06/2022,14.31,14.33,13.71,13.99,-0.07,-0.50%,287120,0
05/30/2022,14.17,14.48,13.5,14.06,-0.34,-2.36%,351925,0
05/23/2022,13.4,14.4,12.73,14.4,1.36,+10.43%,357060,0
05/16/2022,11.69,13.18,11.69,13.04,1.17,+9.86%,366240,0
05/09/2022,12.58,12.58,10.85,11.87,-0.91,-7.12%,467980,0
05/02/2022,12.07,13.89,11.99,12.78,0.74,+6.15%,431120,0
04/25/2022,11.86,13,11.31,12.04,0.06,+0.50%,453400,0
04/18/2022,13.45,13.595,11.825,11.98,-1.64,-12.04%,317660,0
04/11/2022,13.52,14.04,12.85,13.62,-0.02,-0.15%,340000,0
04/04/2022,15.76,16.15,13.0691,13.64,-2.31,-14.48%,437400,0
03/28/2022,14.79,16.68,14.61,15.95,1.06,+7.12%,378040,0
03/21/2022,15.21,15.82,13.85,14.89,-0.02,-0.13%,284060,0
03/14/2022,14.06,15.7,13.72,14.91,1.3,+9.55%,450960,0
03/07/2022,14.05,14.5,13.26,13.61,-0.49,-3.48%,407020,0
02/28/2022,15.1,15.57,12.305,14.1,-1.45,-9.32%,613680,0
02/21/2022,14.68,15.59,13.34,15.55,0.8,+5.42%,422425,0
02/14/2022,15.24,15.77,14.72,14.75,-0.45,-2.96%,337800,0
02/07/2022,15.39,16.08,14.92,15.2,-0.2,-1.30%,419380,0
01/31/2022,13.4,15.51,13.01,15.4,1.94,+14.41%,532820,0
01/24/2022,12.81,13.82,12.03,13.46,0.36,+2.75%,618860,0
01/17/2022,15.69,16.51,12.93,13.1,-2.77,-17.45%,685150,0
01/10/2022,15.33,17.9,15.095,15.87,0.55,+3.59%,434460,0
01/03/2022,15.52,16.24,14.77,15.32,-0.47,-2.98%,552380,0
12/27/2021,12.48,15.86,12.08,15.79,3.35,+26.93%,435340,0
12/20/2021,11.27,12.49,11.08,12.44,0.89,+7.71%,302550,0
12/13/2021,11.28,11.98,10.865,11.55,0.17,+1.49%,414980,0
12/06/2021,11.51,12.47,11.19,11.38,0.06,+0.53%,300880,0
11/29/2021,12.39,12.67,10.98,11.32,-0.82,-6.75%,394280,0
11/22/2021,13.2,13.8445,11.73,12.14,-1.12,-8.45%,403100,0
11/15/2021,13.73,13.96,13.055,13.26,-0.47,-3.42%,350800,0
11/08/2021,15.91,16.11,13.45,13.73,-1.99,-12.66%,387140,0
11/01/2021,15.59,16.24,14.24,15.72,0.18,+1.16%,345380,0
10/25/2021,15.15,16.41,14.46,15.54,0.38,+2.51%,398020,0
10/18/2021,13.47,15.71,13.27,15.16,1.77,+13.22%,507600,0
10/11/2021,12.22,13.48,11.84,13.39,1.11,+9.04%,241620,0
10/04/2021,13.14,13.28,12.03,12.28,-0.95,-7.18%,362820,0
09/27/2021,11.3,13.61,11.1,13.23,2,+17.81%,594880,0
09/20/2021,10.78,11.31,10.51,11.23,0.27,+2.46%,240340,0
09/13/2021,10.53,10.98,10.3,10.96,0.49,+4.68%,295740,0
09/06/2021,10.84,11.181,10.45,10.47,-0.51,-4.64%,173250,0
08/30/2021,11.41,11.51,10.61,10.98,-0.51,-4.44%,297140,0
08/23/2021,12.04,12.25,11.17,11.49,-0.61,-5.04%,367680,0
08/16/2021,12.22,12.48,11.82,12.1,-0.28,-2.26%,402740,0
08/09/2021,11.82,12.72,11.58,12.38,0.54,+4.56%,406200,0
08/02/2021,13.18,13.49,11.69,11.84,-1.21,-9.27%,378620,0
07/26/2021,12.02,13.365,11.96,13.05,1.11,+9.30%,472560,0
07/19/2021,10.6,12,10.51,11.94,1.2,+11.17%,596120,0
07/12/2021,10.85,11.19,10.68,10.74,-0.11,-1.01%,455380,0
07/05/2021,11,11.05,10.39,10.85,-0.21,-1.90%,371800,0
06/28/2021,11.02,11.19,10.68,11.06,0.03,+0.27%,296780,0
06/21/2021,10.26,11.18,10.03,11.03,0.82,+8.03%,433540,0
06/14/2021,10.1,10.635,9.87,10.21,0.14,+1.39%,380440,0
06/07/2021,9.79,10.39,9.74,10.07,0.25,+2.55%,333420,0
05/31/2021,10.01,10.34,9.6783,9.82,-0.17,-1.70%,354075,0
05/24/2021,9.49,10.21,9.36,9.99,0.54,+5.71%,365180,0
05/17/2021,8.94,9.48,8.8,9.45,0.45,+5.00%,368360,0
05/10/2021,9.95,10,8.53,9,-0.94,-9.46%,789540,0
05/03/2021,10.16,10.48,9.82,9.94,-0.08,-0.80%,348120,0
04/26/2021,10.15,10.47,9.88,10.02,-0.06,-0.60%,369560,0
04/19/2021,9.9,10.16,9.545,10.08,0.1,+1.00%,378180,0
04/12/2021,9.98,10.17,9.73,9.98,-0.06,-0.60%,294160,0
04/05/2021,9.83,10.1699,9.75,10.04,0.34,+3.51%,381040,0
03/29/2021,9.6,9.805,9.3626,9.7,0.05,+0.52%,404050,0
03/22/2021,10.08,10.23,9.4,9.65,-0.39,-3.88%,825380,0
03/15/2021,9.92,10.66,9.55,10.04,0.11,+1.11%,1163260,0
03/08/2021,8.57,10.82,8.22,9.93,2.25,+29.30%,3133620,0
03/01/2021,7.47,7.78,6.93,7.68,0.38,+5.21%,805900,0
02/22/2021,6.23,7.47,6.16,7.3,1.05,+16.80%,733040,0
02/15/2021,6.86,6.885,6.15,6.25,-0.58,-8.49%,579675,0
02/08/2021,6.49,7.12,6.23,6.83,0.35,+5.40%,579000,0
02/01/2021,6.17,6.62,5.96,6.48,0.34,+5.54%,446240,0
01/25/2021,7.38,7.66,6.14,6.14,-0.6,-8.90%,780380,0
01/18/2021,7.17,7.2599,6.54,6.74,-0.37,-5.20%,367025,0
01/11/2021,7.3,7.8,7.06,7.11,-0.26,-3.53%,324020,0
01/04/2021,6.57,7.4,6.38,7.37,0.79,+12.01%,320300,0
12/28/2020,7.05,7.125,6.45,6.58,-0.37,-5.32%,347775,0
12/21/2020,6.87,7.08,6.6,6.95,0,0.00%,490350,0
12/14/2020,7.39,7.7,6.91,6.95,-0.37,-5.05%,883480,0
12/07/2020,6.67,7.49,6.31,7.32,0.65,+9.75%,452080,0
11/30/2020,6.77,7.19,6.29,6.67,0.14,+2.14%,503760,0
11/23/2020,6.6,6.79,6.39,6.53,0.07,+1.08%,537900,0
11/16/2020,6.09,6.56,5.85,6.46,0.53,+8.94%,487960,0
11/09/2020,6.31,6.83,5.76,5.93,0.26,+4.59%,438160,0
11/02/2020,5.8,6.19,5.56,5.67,-0.04,-0.70%,374420,0
10/26/2020,6.66,6.7,5.67,5.71,-1.03,-15.28%,363880,0
10/19/2020,6.66,6.88,6.455,6.74,0.15,+2.28%,264400,0
10/12/2020,6.64,6.89,6.32,6.59,-0.05,-0.75%,311400,0
10/05/2020,6.34,6.72,6.33,6.64,0.36,+5.73%,342740,0
09/28/2020,6.25,6.365,5.98,6.28,0.15,+2.45%,444840,0
09/21/2020,5.79,6.59,5.67,6.13,0.25,+4.25%,910000,0
09/14/2020,6.53,6.53,5.515,5.88,-0.62,-9.54%,2055960,0
09/07/2020,8.11,8.11,6.37,6.5,-1.68,-20.54%,1188925,0
08/31/2020,8.11,8.37,7.9497,8.18,0.07,+0.86%,755080,0
08/24/2020,7.85,8.18,7.72,8.11,0.31,+3.97%,599000,0
08/17/2020,7.95,8.17,7.79,7.8,-0.19,-2.38%,513820,0
08/10/2020,8.16,8.69,7.655,7.99,-0.1,-1.24%,578120,0
