Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,111.4,111.62,107.04,107.09,-4.17,-3.75%,3096750,0
02/27/2023,108.86,112.33,107.25,111.26,3.46,+3.21%,4496520,0
02/20/2023,112,112.3999,106.7614,107.8,-5.19,-4.59%,3087675,0
02/13/2023,114.37,115.62,110.68,112.99,-0.89,-0.78%,2552800,0
02/06/2023,116.79,117.26,112.455,113.88,-3.61,-3.07%,2611620,0
01/30/2023,114.47,120.85,112.3824,117.49,2.24,+1.94%,3940740,0
01/23/2023,120.61,123.9,111.76,115.25,-5.4,-4.48%,5684000,0
01/16/2023,129.76,129.9,116.76,120.65,-8.86,-6.84%,4280600,0
01/09/2023,127,129.8161,126.11,129.51,2.79,+2.20%,2013120,0
01/02/2023,121.52,127.13,120.37,126.72,6.8,+5.67%,2601550,0
12/26/2022,120.14,121,118.25,119.92,-0.22,-0.18%,1982250,0
12/19/2022,121.33,123.84,117.8,120.14,-1.55,-1.27%,2543980,0
12/12/2022,126.08,130.02,120.01,121.69,-4.07,-3.24%,4233360,0
12/05/2022,125.07,129.44,123.31,125.76,-1.23,-0.97%,2576860,0
11/28/2022,128.11,128.8669,121.36,126.99,-2.05,-1.59%,2985680,0
11/21/2022,126.64,129.82,126.23,129.04,2.28,+1.80%,1785750,0
11/14/2022,132.55,133.91,124.67,126.76,-6.22,-4.68%,2752860,0
11/07/2022,124.63,133.49,123.3,132.98,8.14,+6.52%,2422080,0
10/31/2022,126.1,127.1,121.12,124.84,-1.76,-1.39%,2669500,0
10/24/2022,117.53,126.67,113.15,126.6,9.79,+8.38%,4113380,0
10/17/2022,115.31,116.94,112.89,116.81,3.18,+2.80%,2926320,0
10/10/2022,108.53,115.16,107.07,113.63,6.11,+5.68%,3292280,0
10/03/2022,111.69,116.1,107.085,107.52,-2.98,-2.70%,3380620,0
09/26/2022,112.76,114.71,110.39,110.5,-2.49,-2.20%,3205700,0
09/19/2022,116.01,118.03,111.62,112.99,-3.62,-3.10%,3688580,0
09/12/2022,124.32,126.52,114.11,116.61,-6.49,-5.27%,8744480,0
09/05/2022,121.36,123.285,115.98,123.1,1.45,+1.19%,30066000,0
08/29/2022,128.79,128.79,121.15,121.65,-7.49,-5.80%,31997660,0
08/22/2022,143.28,144.01,128.68,129.14,-16.06,-11.06%,25342360,0
08/15/2022,151.39,152.1,143.21,145.2,-7.04,-4.62%,5994980,0
08/08/2022,148.03,152.3,147.19,152.24,4.83,+3.28%,2674880,0
08/01/2022,142.15,148.49,141.55,147.41,4.17,+2.91%,3676280,0
07/25/2022,134,145.7,133.78,143.24,9.12,+6.80%,5405580,0
07/18/2022,130.19,134.9544,128.52,134.12,3.99,+3.07%,2157420,0
07/11/2022,128.73,132.03,125.88,130.13,1.41,+1.10%,2597160,0
07/04/2022,126.98,130.99,125.6,128.72,0.23,+0.18%,3144500,0
06/27/2022,134.41,134.672,126.61,128.49,-5.84,-4.35%,2936640,0
06/20/2022,130.34,134.55,128.19,134.33,4.49,+3.46%,3132500,0
06/13/2022,136.73,138.35,128.72,129.84,-7.81,-5.67%,4194280,0
06/06/2022,146.39,147.3,137.58,137.65,-8.32,-5.70%,2629080,0
05/30/2022,148.27,149.84,144.5,145.97,-3.54,-2.37%,2583075,0
05/23/2022,144.58,149.52,141,149.51,5.68,+3.95%,2251120,0
05/16/2022,149.22,152.5,141.09,143.83,-5.47,-3.66%,2944180,0
05/09/2022,148.44,154.04,146.01,149.3,-0.23,-0.15%,3197420,0
05/02/2022,144.51,154.66,143.78,149.53,5.31,+3.68%,3141260,0
04/25/2022,148.71,149.03,142.87,144.22,-4.95,-3.32%,3617580,0
04/18/2022,147.45,153.1,145.75,149.17,1.79,+1.21%,2309280,0
04/11/2022,150.45,152.22,147.205,147.38,-2.43,-1.62%,2353700,0
04/04/2022,149.06,151.65,146.08,149.81,0.12,+0.08%,2495280,0
03/28/2022,149.93,153.26,146.85,149.69,-0.77,-0.51%,2631840,0
03/21/2022,148.69,151.18,147.4,150.46,2.14,+1.44%,3136840,0
03/14/2022,141.45,148.45,141.45,148.32,7.36,+5.22%,4346080,0
03/07/2022,145.74,149.47,140.83,140.96,-5.77,-3.93%,4088061,0
