Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,9.8,9.8,8.12,8.4,-1.7,-16.83%,1504520,0
03/06/2023,12.39,12.5,9.74,10.1,-3,-22.90%,314860,0
02/27/2023,13.27,13.3975,12.92,13.1,0.06,+0.46%,69880,0
02/20/2023,13.29,13.29,12.63,13.04,-0.35,-2.61%,97450,0
02/13/2023,13.31,13.69,13.11,13.39,-0.06,-0.45%,52220,0
02/06/2023,15.59,15.87,13.195,13.45,-2.31,-14.66%,76940,0
01/30/2023,13.7,15.82,13.08,15.76,1.99,+14.45%,59840,0
01/23/2023,13.52,13.88,12.94,13.77,0.39,+2.91%,39540,0
01/16/2023,13.7,13.87,12.85,13.38,-0.43,-3.11%,64925,0
01/09/2023,12.76,14.07,12.675,13.81,1.19,+9.43%,74640,0
01/02/2023,12.02,12.77,11.455,12.62,0.76,+6.41%,84475,0
12/26/2022,11.25,12.1,10.995,11.86,0.54,+4.77%,81000,0
12/19/2022,11.57,11.75,10.39,11.32,-0.46,-3.90%,99380,0
12/12/2022,9.99,12.54,9.8,11.78,1.84,+18.51%,364171,0
12/05/2022,11.26,11.88,9.91,9.94,-1.28,-11.41%,105174,0
11/28/2022,12.7,12.7,11.03,11.22,-1.43,-11.30%,80556,0
11/21/2022,13.36,14.07,12.61,12.65,-0.63,-4.74%,85604,0
11/14/2022,16.12,16.12,13.1,13.28,-3.05,-18.68%,80780,0
11/07/2022,19.39,19.93,16.18,16.33,-2.55,-13.51%,71860,0
10/31/2022,18.85,19.53,18.38,18.88,-0.12,-0.63%,33400,0
10/24/2022,17.45,19.0992,17.34,19,1.5,+8.57%,79220,0
10/17/2022,16.38,17.96,16.38,17.5,1.52,+9.51%,61600,0
10/10/2022,15.5,16.83,15.3901,15.98,0.66,+4.31%,35380,0
10/03/2022,15.35,16.78,15.22,15.32,0.1,+0.66%,41620,0
09/26/2022,14.18,15.7,14.18,15.22,1.1,+7.79%,65847,0
09/19/2022,14.38,14.8,13.605,14.12,-0.23,-1.60%,73460,0
09/12/2022,14.64,14.91,14.03,14.35,-0.09,-0.62%,38840,0
09/05/2022,14.49,14.67,13.68,14.44,-0.1,-0.69%,29375,0
08/29/2022,15.69,16.18,14.34,14.54,-1.37,-8.61%,36580,0
08/22/2022,15.42,16.38,15.2,15.91,0.2,+1.27%,31700,0
08/15/2022,15.6,16.2,14.737,15.71,-0.12,-0.76%,70160,0
08/08/2022,14.72,15.83,14.04,15.83,1.39,+9.63%,56380,0
08/01/2022,15.33,15.63,14.05,14.44,-0.63,-4.18%,33640,0
07/25/2022,14.9,15.38,14.11,15.07,0.35,+2.38%,28740,0
07/18/2022,14.9,15.59,14.435,14.72,0.27,+1.87%,31540,0
07/11/2022,13.55,14.65,13.26,14.45,0.62,+4.48%,48180,0
07/04/2022,13.22,14.1,12.93,13.83,0.35,+2.60%,68550,0
06/27/2022,13.53,14.19,12.59,13.48,0.06,+0.45%,66560,0
06/20/2022,13.29,13.72,12.85,13.42,0.28,+2.13%,88125,0
06/13/2022,15.33,15.77,13.09,13.14,-2.65,-16.78%,165620,0
06/06/2022,14.98,16.41,14.88,15.79,0.84,+5.62%,55660,0
05/30/2022,13.97,15.46,13.97,14.95,0.94,+6.71%,52500,0
05/23/2022,13.83,14.555,13.52,14.01,0.41,+3.01%,85620,0
05/16/2022,13.97,14.24,13.1,13.6,-0.39,-2.79%,97720,0
05/09/2022,14.38,14.96,13.1015,13.99,-0.58,-3.98%,82360,0
05/02/2022,15.29,16.26,14.35,14.57,-0.64,-4.21%,50200,0
04/25/2022,15.63,15.9935,15.035,15.21,-0.59,-3.73%,47640,0
04/18/2022,16.19,16.44,15.655,15.8,0.02,+0.13%,29580,0
04/11/2022,16.01,16.28,15.69,15.78,-0.27,-1.68%,29700,0
04/04/2022,17.78,17.78,15.86,16.05,-1.72,-9.68%,46360,0
03/28/2022,17.94,18.33,16.82,17.77,-0.18,-1.00%,69520,0
03/21/2022,17.27,18.24,16.75,17.95,0.4,+2.28%,59200,0
03/14/2022,17.03,17.82,16.73,17.55,0.69,+4.09%,66720,0
03/07/2022,15.69,17.29,15.1722,16.86,1.26,+8.08%,76160,0
02/28/2022,15.83,16.73,15.5,15.6,-0.45,-2.80%,69440,0
02/21/2022,16.28,16.83,15.54,16.05,-0.32,-1.95%,60900,0
02/14/2022,16.44,16.705,15.95,16.37,0.12,+0.74%,51980,0
02/07/2022,16,17.52,15.4,16.25,0.17,+1.06%,70020,0
01/31/2022,16.18,17.29,15.81,16.08,-0.2,-1.23%,139440,0
01/24/2022,16.56,17.68,15.81,16.28,-0.42,-2.51%,62520,0
01/17/2022,17.62,17.66,16.52,16.7,-1.18,-6.60%,80950,0
01/10/2022,17.73,18.15,17.0501,17.88,0.19,+1.07%,42680,0
01/03/2022,17.04,18.23,17.04,17.69,0.62,+3.63%,38920,0
12/27/2021,16.56,18.09,16.435,17.07,0.39,+2.34%,62120,0
12/20/2021,16.81,17.1399,16.32,16.68,-0.58,-3.36%,109425,0
12/13/2021,18.83,19.995,17.19,17.26,-1.67,-8.82%,270520,0
12/06/2021,18.59,20.12,18.1001,18.93,0.6,+3.27%,49460,0
11/29/2021,17.71,18.34,15.84,18.33,0.93,+5.34%,83000,0
11/22/2021,19.09,20.31,17,17.4,-1.53,-8.08%,39900,0
11/15/2021,19.22,20.525,18.69,18.93,-0.17,-0.89%,139540,0
11/08/2021,19.58,19.9899,18.75,19.1,-0.67,-3.39%,68320,0
