Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,78.98,82.405,78.915,80.31,2.07,+2.65%,237900,0
03/13/2023,81.49,83.44,77.99,78.24,-4,-4.86%,462760,0
03/06/2023,85.97,86.625,81.72,82.24,-3.7,-4.31%,256900,0
02/27/2023,84.48,86.1803,83.87,85.94,1.93,+2.30%,310580,0
02/20/2023,85.88,85.93,82.61,84.01,-2.67,-3.08%,283150,0
02/13/2023,86.35,87.2,84.96,86.68,0.54,+0.63%,284420,0
02/06/2023,88.45,89.45,85.58,86.14,-2.66,-3.00%,334520,0
01/30/2023,81.57,90.04,80.75,88.8,6.96,+8.50%,469380,0
01/23/2023,79.38,82.45,79.25,81.84,2.81,+3.56%,285340,0
01/16/2023,80.48,81.07,76.7478,79.03,-1.36,-1.69%,388725,0
01/09/2023,78.07,81.86,77.46,80.39,2.03,+2.59%,436860,0
01/02/2023,81.8,82.555,76.765,78.36,-3.34,-4.09%,501750,0
12/26/2022,83.33,83.88,81.11,81.7,-1.58,-1.90%,209875,0
12/19/2022,81.84,83.82,81.2,83.28,1.4,+1.71%,283560,0
12/12/2022,83.28,86.24,81.09,81.88,-1.39,-1.67%,440960,0
12/05/2022,84.76,84.97,82.74,83.27,-2.38,-2.78%,266060,0
11/28/2022,84.1,86.335,82.305,85.65,1.55,+1.84%,265880,0
11/21/2022,85.17,85.78,83.55,84.1,-1.11,-1.30%,276175,0
11/14/2022,84.06,85.45,82.17,85.21,0.06,+0.07%,329360,0
11/07/2022,83.15,86.3,82.17,85.15,2.58,+3.12%,289020,0
10/31/2022,82.57,84.98,80.895,82.57,-0.13,-0.16%,334240,0
10/24/2022,79.72,82.91,79.14,82.7,3.71,+4.70%,425800,0
10/17/2022,75.82,79.3,75.455,78.99,4.06,+5.42%,490780,0
10/10/2022,73.86,77.2294,73.17,74.93,1.58,+2.15%,340560,0
10/03/2022,73.47,76.815,72.97,73.35,0.54,+0.74%,258440,0
09/26/2022,71.83,75.165,71.325,72.81,0.7,+0.97%,439920,0
09/19/2022,75.56,77.43,71.335,72.11,-3.64,-4.81%,352600,0
09/12/2022,80.49,81.03,74.74,75.75,-4.43,-5.53%,347000,0
09/05/2022,79.1,80.99,77.85,80.18,1.6,+2.04%,203400,0
08/29/2022,81.56,82.31,78.19,78.58,-3.32,-4.05%,318940,0
08/22/2022,84.85,85,81.84,81.9,-3.65,-4.27%,231320,0
08/15/2022,85.13,86.995,84.92,85.55,-0.09,-0.11%,219540,0
