Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,3.06,3.19,2.87,2.93,-0.16,-5.18%,1175040,0
01/30/2023,2.61,3.15,2.505,3.09,0.48,+18.39%,1860760,0
01/23/2023,2.3,2.625,2.19,2.61,0.29,+12.50%,1533520,0
01/16/2023,2.52,2.58,2.23,2.32,-0.2,-7.94%,857025,0
01/09/2023,2.48,2.58,2.27,2.52,0.1,+4.13%,1251260,0
01/02/2023,2.29,2.48,2.15,2.42,0.16,+7.08%,1409775,0
12/26/2022,2.15,2.27,1.99,2.26,0.11,+5.12%,1557950,0
12/19/2022,2.65,2.7,2.13,2.15,-0.51,-19.17%,1231500,0
12/12/2022,2.75,2.92,2.5825,2.66,-0.14,-5.00%,1660640,0
12/05/2022,3.05,3.175,2.79,2.8,-0.25,-8.20%,1399740,0
11/28/2022,3.22,3.255,2.73,3.05,-0.19,-5.86%,5196040,0
11/21/2022,3.43,3.495,3.23,3.24,-0.25,-7.16%,669675,0
11/14/2022,4.3,4.365,3.285,3.49,-0.79,-18.46%,1547620,0
11/07/2022,3.83,4.295,3.58,4.28,0.51,+13.53%,1132240,0
10/31/2022,3.71,3.91,3.49,3.77,0.01,+0.27%,1090860,0
10/24/2022,3.47,3.92,3.39,3.76,0.27,+7.74%,1038620,0
10/17/2022,3.61,3.77,3.25,3.49,-0.06,-1.69%,1584360,0
10/10/2022,3.52,3.75,3.42,3.55,0.02,+0.57%,1627220,0
10/03/2022,3.25,3.545,3.06,3.53,0.33,+10.31%,2147280,0
09/26/2022,3.09,3.36,2.96,3.2,0.06,+1.91%,1836440,0
09/19/2022,3.42,3.565,3.07,3.14,-0.33,-9.51%,1777680,0
09/12/2022,3.76,3.83,3.4,3.47,-0.27,-7.22%,2467840,0
09/05/2022,4,4.02,3.63,3.74,-0.27,-6.73%,1928200,0
08/29/2022,4.33,4.3999,3.79,4.01,-0.37,-8.45%,1846900,0
08/22/2022,4.54,4.79,4.375,4.38,-0.22,-4.78%,1149340,0
08/15/2022,5.08,5.18,4.54,4.6,-0.54,-10.51%,1518780,0
08/08/2022,4.57,5.15,4.56,5.14,0.26,+5.33%,2168240,0
08/01/2022,3.91,4.905,3.72,4.88,0.92,+23.23%,2222020,0
07/25/2022,3.71,4.175,3.61,3.96,0.28,+7.61%,1888520,0
07/18/2022,3.67,4.02,3.47,3.68,0.1,+2.79%,2493020,0
07/11/2022,3.82,3.89,3.235,3.58,-0.25,-6.53%,6220120,0
07/04/2022,3.76,4.07,3.63,3.83,0.08,+2.13%,2477450,0
