Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,10.6,10.6,9.12,9.37,-1.47,-13.56%,1413000,0
02/13/2023,10.93,11.775,10.49,10.84,-0.09,-0.82%,608040,0
02/06/2023,11.92,12.55,10.785,10.93,-1.15,-9.52%,464280,0
01/30/2023,10.55,13.2,10.08,12.08,1.3,+12.06%,692900,0
01/23/2023,10.5,11.07,9.76,10.78,0.32,+3.06%,361560,0
01/16/2023,10.12,11.29,9.75,10.46,0.32,+3.16%,630350,0
01/09/2023,8.31,10.39,8.2519,10.14,2.2,+27.71%,718120,0
01/02/2023,8.11,8.51,7.3,7.94,-0.03,-0.38%,616975,0
12/26/2022,7.29,8,6.8,7.97,0.63,+8.58%,519675,0
12/19/2022,8.22,8.22,7.17,7.34,-0.89,-10.81%,659880,0
12/12/2022,7.34,8.7,7.2,8.23,0.94,+12.89%,1057760,0
12/05/2022,7.2,7.97,6.81,7.29,0.04,+0.55%,643080,0
11/28/2022,6.25,7.41,5.79,7.25,0.94,+14.90%,773360,0
11/21/2022,6.61,6.79,6.2199,6.31,-0.42,-6.24%,604575,0
11/14/2022,8.17,8.305,6.18,6.73,-1.56,-18.82%,1264900,0
11/07/2022,9.76,9.8,4.37,8.29,-1.33,-13.83%,4176400,0
10/31/2022,10.4,11.065,9.22,9.62,-0.88,-8.38%,977520,0
10/24/2022,9.56,11.4,9,10.5,0.98,+10.29%,652780,0
10/17/2022,10.97,12.025,9.1,9.52,-0.98,-9.33%,862180,0
10/10/2022,11.89,11.9,9.8,10.5,-1.43,-11.99%,836140,0
10/03/2022,12.66,13.97,11.74,11.93,-0.84,-6.58%,745680,0
09/26/2022,12.93,13.97,12.51,12.77,-0.24,-1.84%,1227300,0
09/19/2022,13.5,15.445,12.745,13.01,-0.85,-6.13%,556960,0
09/12/2022,15.96,16.47,13.81,13.86,-2.1,-13.16%,784680,0
09/05/2022,13.17,16.368,12.92,15.96,2.77,+21.00%,529550,0
08/29/2022,12.66,13.79,12.26,13.19,0.2,+1.54%,786600,0
08/22/2022,12.91,14.635,12.36,12.99,-0.25,-1.89%,416260,0
08/15/2022,16.92,17.43,13.24,13.24,-3.74,-22.03%,592780,0
08/08/2022,15.66,18.51,13.45,16.98,1.58,+10.26%,1014920,0
08/01/2022,12.52,15.46,12.33,15.4,2.6,+20.31%,1016260,0
07/25/2022,11.99,12.96,11.12,12.8,0.74,+6.14%,664440,0
07/18/2022,12.57,13.725,11.41,12.06,-0.4,-3.21%,1149940,0
07/11/2022,14.83,14.83,12.09,12.46,-2.52,-16.82%,574140,0
07/04/2022,13,15.4,12.78,14.98,1.83,+13.92%,528950,0
06/27/2022,14.35,14.435,12.19,13.15,-1.08,-7.59%,796660,0
06/20/2022,12.53,14.398,12.03,14.23,1.85,+14.94%,983850,0
06/13/2022,13.71,14.05,11.81,12.38,-1.99,-13.85%,863120,0
06/06/2022,16.05,16.585,14.21,14.37,-1.25,-8.00%,513460,0
05/30/2022,16.74,17.07,14.68,15.62,-1.22,-7.24%,754576,0
05/23/2022,16.2,17.01,15.28,16.84,0.83,+5.18%,974960,0
05/16/2022,16.55,16.6025,14.5,16.01,-0.72,-4.30%,918700,0
05/09/2022,16.79,17.01,13.52,16.73,-0.47,-2.73%,1496820,0
05/02/2022,18.74,20.04,16.93,17.2,-1.58,-8.41%,766380,0
04/25/2022,19.81,20.51,18.68,18.78,-0.98,-4.96%,988160,0
04/18/2022,21.98,22.3699,19.23,19.76,-2.35,-10.63%,895080,0
04/11/2022,33.69,35.34,20.8,22.11,-11.98,-35.14%,2861700,0
04/04/2022,36.15,37.06,32,34.09,-2.01,-5.57%,457440,0
03/28/2022,32.12,36.54,31.115,36.1,3.97,+12.36%,391300,0
03/21/2022,33.76,33.935,31.305,32.13,-1.87,-5.50%,337840,0
03/14/2022,32.19,34.7,26.55,34,1.54,+4.74%,653520,0
03/07/2022,35.84,36.44,32.2116,32.46,-3.44,-9.58%,497460,0
02/28/2022,35.74,37.59,34.48,35.9,-0.19,-0.53%,573060,0
02/21/2022,31.25,36.15,28.68,36.09,4.37,+13.78%,417075,0
02/14/2022,37.18,38.135,31.48,31.72,-5.36,-14.46%,612840,0
02/07/2022,34.79,41,34.1801,37.08,2.29,+6.58%,359940,0
01/31/2022,32.49,36.84,32.49,34.79,2.47,+7.64%,552920,0
01/24/2022,31.81,35.41,30.155,32.32,-0.27,-0.83%,577960,0
01/17/2022,35.13,35.3586,31.75,32.59,-3.29,-9.17%,736575,0
01/10/2022,33.9,39.21,32.72,35.88,1.7,+4.97%,749060,0
