Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,39.45,39.48,38.105,38.12,-1.22,-3.10%,1119250,0
02/27/2023,39.13,39.41,38.22,39.34,0.29,+0.74%,956360,0
02/20/2023,40,40.73,38.63,39.05,-1.35,-3.34%,1138425,0
02/13/2023,39.59,40.625,39.15,40.4,0.92,+2.33%,975220,0
02/06/2023,36.45,42.4,35.88,39.48,2.82,+7.69%,2118240,0
01/30/2023,34.5,37.135,34.41,36.66,2,+5.77%,947660,0
01/23/2023,33.58,35.15,33.41,34.66,1.15,+3.43%,748460,0
01/16/2023,33.99,34.7,32.755,33.51,-0.59,-1.73%,758150,0
01/09/2023,33.96,34.8,33.65,34.1,0.3,+0.89%,768960,0
01/02/2023,32.71,34.125,32.48,33.8,1.34,+4.13%,784125,0
12/26/2022,33,33,31.895,32.46,-0.58,-1.76%,712800,0
12/19/2022,32.49,33.21,31.67,33.04,0.61,+1.88%,958100,0
12/12/2022,34.96,35.26,31.46,32.43,-2.41,-6.92%,1362180,0
12/05/2022,35.26,35.26,34.03,34.84,-0.57,-1.61%,817740,0
11/28/2022,34.75,36.95,34.75,35.41,0.34,+0.97%,841060,0
11/21/2022,35.53,35.53,34.42,35.07,-0.62,-1.74%,710875,0
11/14/2022,36.39,36.845,35.38,35.69,-0.66,-1.82%,940560,0
11/07/2022,33.33,36.38,33.115,36.35,3.32,+10.05%,1639920,0
10/31/2022,28.97,33.45,28.505,33.03,4.04,+13.94%,2431000,0
10/24/2022,29.45,30.22,28.16,28.99,-0.26,-0.89%,1648220,0
10/17/2022,29.9,31.2,28.63,29.25,-0.13,-0.44%,1202740,0
10/10/2022,29.63,30.28,28.32,29.38,0,0.00%,1043760,0
10/03/2022,29.15,30.47,28.63,29.38,0.63,+2.19%,1920620,0
09/26/2022,27.9,29.49,27.585,28.75,0.78,+2.79%,1191300,0
09/19/2022,29.67,30.22,27.84,27.97,-1.95,-6.52%,1102920,0
09/12/2022,32,32.13,29.8,29.92,-1.86,-5.85%,1317360,0
09/05/2022,30.79,31.805,29.51,31.78,1.13,+3.69%,876400,0
08/29/2022,30.9,31.34,30.03,30.65,-0.5,-1.61%,910340,0
08/22/2022,31.59,32.139,31.01,31.15,-0.96,-2.99%,713760,0
08/15/2022,33.7,33.91,31.81,32.11,-1.63,-4.83%,2263680,0
08/08/2022,31.26,35.45,30.46,33.74,2.75,+8.87%,2832220,0
08/01/2022,31.69,31.9963,29.07,30.99,-0.96,-3.00%,2191940,0
07/25/2022,30.88,32.06,29.59,31.95,0.94,+3.03%,1114300,0
07/18/2022,29.81,31.25,29.53,31.01,1.39,+4.69%,1212940,0
07/11/2022,29.21,29.62,28.12,29.62,0.12,+0.41%,829480,0
07/04/2022,28.3,29.87,27.818,29.5,0.9,+3.15%,830925,0
06/27/2022,29.82,30.33,27.63,28.6,-1.06,-3.57%,1310420,0
06/20/2022,29.78,30.38,28.16,29.66,-0.04,-0.13%,1757200,0
06/13/2022,32.08,32.08,27.85,29.7,-3.06,-9.34%,3126720,0
06/06/2022,34.65,34.76,32.51,32.76,-1.5,-4.38%,848580,0
05/30/2022,34.47,35.1,33.9,34.26,-0.18,-0.52%,1192525,0
05/23/2022,34.37,34.63,32.01,34.44,0.14,+0.41%,1135160,0
05/16/2022,33.17,34.62,32.92,34.3,0.76,+2.27%,1413720,0
05/09/2022,33.7,34.37,31.68,33.54,-0.82,-2.39%,1662980,0
05/02/2022,38.81,40.31,33.59,34.36,-3.96,-10.33%,2531780,0
04/25/2022,40,40.39,38.13,38.32,-2.16,-5.34%,1323180,0
04/18/2022,43.95,44.49,40.36,40.48,-3.42,-7.79%,949240,0
04/11/2022,44.87,46.21,43.77,43.9,-1.34,-2.96%,608175,0
04/04/2022,45.97,47.11,44.57,45.24,-0.81,-1.76%,724380,0
03/28/2022,46.91,47.67,44.86,46.05,-1.01,-2.15%,1088040,0
03/21/2022,45.07,47.31,43.88,47.06,2.05,+4.55%,1129200,0
03/14/2022,45.04,45.435,42.92,45.01,-0.35,-0.77%,1324640,0
03/07/2022,45.76,47.4,43.66,45.36,-0.66,-1.43%,1906820,0
02/28/2022,43.55,47.13,42.79,46.02,2.24,+5.12%,1882480,0
02/21/2022,41.07,43.89,39.55,43.78,2.34,+5.65%,1470400,0
02/14/2022,41.71,43.26,41.14,41.44,-0.26,-0.62%,1183760,0
02/07/2022,41.69,42.55,40.48,41.7,-0.03,-0.07%,1091660,0
01/31/2022,38.88,44.13,38.64,41.73,3.01,+7.77%,2218020,0
01/24/2022,39.7,39.7,37.27,38.72,-1.06,-2.66%,1076440,0
01/17/2022,42.45,42.77,39.54,39.78,-3.26,-7.57%,1941700,0
01/10/2022,42.51,44.68,42.07,43.04,0.33,+0.77%,1382320,0
01/03/2022,48.26,48.42,42.3401,42.71,-5.59,-11.57%,1845100,0
12/27/2021,47.61,48.61,47.2,48.3,0.92,+1.94%,631520,0
12/20/2021,45.3,47.42,44.85,47.38,1.76,+3.86%,796975,0
12/13/2021,44.8,46.06,43.96,45.62,0.66,+1.47%,1213600,0
12/06/2021,45.51,47.55,44.54,44.96,-2.51,-5.29%,846080,0
11/29/2021,47.64,48.13,45.45,47.47,0.12,+0.25%,1287800,0
11/22/2021,46.88,47.59,45.35,47.35,0.63,+1.35%,1355725,0
11/15/2021,48.01,48.62,46.66,46.72,-1.18,-2.46%,1052320,0
11/08/2021,50.48,50.48,47.34,47.9,-2.24,-4.47%,1177820,0
11/01/2021,54.78,56.19,49.27,50.14,-4.45,-8.15%,1806520,0
10/25/2021,54.89,55.22,53.49,54.59,-0.41,-0.75%,1394600,0
10/18/2021,52.81,55.92,52.8,55,1.88,+3.54%,1333380,0
10/11/2021,52.89,54.83,51.41,53.12,0.1,+0.19%,1035200,0
10/04/2021,49.5,53.33,48.73,53.02,3.41,+6.87%,1120400,0
09/27/2021,51.28,51.7,48.61,49.61,-1.74,-3.39%,751360,0
09/20/2021,47.85,51.72,47.63,51.35,2.68,+5.51%,1393480,0
09/13/2021,50.81,50.92,48.48,48.67,-1.88,-3.72%,2527400,0
09/06/2021,51.67,52.02,50.01,50.55,-1.17,-2.26%,1623450,0
08/30/2021,50.64,52.81,50.1,51.72,0.98,+1.93%,1446760,0
08/23/2021,49.8,51.115,49.73,50.74,0.93,+1.87%,1110480,0
08/16/2021,47.8,49.93,47.31,49.81,1.9,+3.97%,1089020,0
08/09/2021,47.87,48.54,46.99,47.91,0.13,+0.27%,906180,0
08/02/2021,43.9,48.75,42.83,47.78,4,+9.14%,2403740,0
07/26/2021,43.14,45.16,42.95,43.78,0.56,+1.30%,1398180,0
07/19/2021,42.68,43.35,41.68,43.22,0.51,+1.19%,1310660,0
07/12/2021,43.04,43.35,42.47,42.71,-0.56,-1.29%,871580,0
07/05/2021,43.9,44.08,42.165,43.27,-0.7,-1.59%,899450,0
06/28/2021,44.34,44.93,43.33,43.97,-0.15,-0.34%,1384940,0
06/21/2021,40.98,44.2,40.83,44.12,3.2,+7.82%,1505960,0
06/14/2021,41.37,41.66,39.73,40.92,-0.54,-1.30%,1923980,0
06/07/2021,41.81,42.59,41.37,41.46,-0.35,-0.84%,1135460,0
05/31/2021,42.8,43.325,41.67,41.81,-1.01,-2.36%,1424625,0
05/24/2021,42.01,43.74,41.7,42.82,1.07,+2.56%,1723100,0
05/17/2021,42.76,43.33,41.65,41.75,-1.19,-2.77%,1442380,0
05/10/2021,44.9,45.9,42.02,42.94,-2.18,-4.83%,2071440,0
05/03/2021,45.82,46.89,41.62,45.12,-0.29,-0.64%,4338940,0
04/26/2021,47.25,47.59,45,45.41,-1.83,-3.87%,1853580,0
04/19/2021,49,49.59,47.2,47.24,-1.82,-3.71%,1652380,0
04/12/2021,48.42,49.66,47.7102,49.06,0.69,+1.43%,1502260,0
04/05/2021,50.49,50.91,47.3,48.37,-2.12,-4.20%,1271040,0
03/29/2021,49.08,51.88,47.54,50.49,1.65,+3.38%,1849750,0
03/22/2021,50.06,50.45,46.7,48.84,-1.09,-2.18%,2326380,0
03/15/2021,50.79,51.62,48.29,49.93,-0.76,-1.50%,1886260,0
03/08/2021,50.15,51.5727,49.22,50.69,-0.03,-0.06%,1264840,0
03/01/2021,51.9,55.8,49.11,50.72,-0.45,-0.88%,1442040,0
02/22/2021,50.63,54.27,50.08,51.17,0.18,+0.35%,1488800,0
02/15/2021,48.96,51.02,48.48,50.99,2.08,+4.25%,1270725,0
02/08/2021,51.14,51.235,48.14,48.91,-1.9,-3.74%,1436660,0
02/01/2021,49.67,52.71,48.53,50.81,1.22,+2.46%,1919960,0
01/25/2021,50.5,58.73,49.52,49.59,-0.27,-0.54%,4319660,0
01/18/2021,49.69,50.575,47.53,49.86,0.84,+1.71%,867575,0
01/11/2021,47.61,49.98,45.96,49.02,0.98,+2.04%,1159620,0
01/04/2021,51.99,52.01,46.98,48.04,-3.73,-7.20%,1557080,0
12/28/2020,51.44,52.11,51,51.77,0.42,+0.82%,851275,0
12/21/2020,48.66,51.45,48.27,51.35,2.38,+4.86%,1294075,0
12/14/2020,51.03,51.28,48.69,48.97,-1.87,-3.68%,1741120,0
12/07/2020,47.11,52.4,46.06,50.84,3.57,+7.55%,2354340,0
11/30/2020,42.35,47.51,42.17,47.27,5.17,+12.28%,1982380,0
11/23/2020,40.91,42.16,40.18,42.1,1.55,+3.82%,1857125,0
11/16/2020,39.78,42.33,39.36,40.55,0.8,+2.01%,1969920,0
11/09/2020,40.43,41.78,37.21,39.75,0.19,+0.48%,3646920,0
11/02/2020,40.2,41.71,38.84,39.56,-0.1,-0.25%,2986980,0
10/26/2020,42,42.38,39.34,39.66,-2.46,-5.84%,1092320,0
10/19/2020,44.2,44.76,41.08,42.12,-1.93,-4.38%,1787400,0
10/12/2020,43.91,46.86,42.6169,44.05,0.22,+0.50%,1820580,0
10/05/2020,43.74,46.46,43.6356,43.83,0.37,+0.85%,1611140,0
09/28/2020,42.02,44.15,41.28,43.46,1.93,+4.65%,1464840,0
09/21/2020,41.56,42.86,41,41.53,-0.34,-0.81%,1130920,0
09/14/2020,43.69,44.44,41.32,41.87,-1.53,-3.53%,1946480,0
09/07/2020,42.8,44.81,42.425,43.4,0.07,+0.16%,1379050,0
08/31/2020,43.91,43.95,42.365,43.33,-0.47,-1.07%,1595060,0
08/24/2020,43.87,43.87,42.8,43.8,0.22,+0.50%,860960,0
08/17/2020,44.87,44.87,43.45,43.58,-0.93,-2.09%,1195500,0
08/10/2020,45.64,46.03,42.79,44.51,-1.1,-2.41%,1762480,0
08/03/2020,46.38,47.95,45.19,45.61,-0.53,-1.15%,2152980,0
07/27/2020,45.01,46.34,44.91,46.14,1.14,+2.53%,830160,0
07/20/2020,45.6,46.33,43.91,45,-0.74,-1.62%,1106300,0
07/13/2020,43.56,45.81,41.89,45.74,2.5,+5.78%,1232420,0
07/06/2020,42.33,43.5,42.09,43.24,1.43,+3.42%,1192100,0
06/29/2020,41.83,43.15,41.4,41.81,0.02,+0.05%,1186975,0
06/22/2020,41.88,43.32,41.14,41.79,-0.11,-0.26%,1115680,0
06/15/2020,40.09,43.26,40.09,41.9,1.34,+3.30%,1528460,0
06/08/2020,41.59,41.65,39.78,40.56,-0.92,-2.22%,1546520,0
06/01/2020,39.38,42.06,39.17,41.48,2.25,+5.74%,1487820,0
05/25/2020,39.1,40.05,38.35,39.23,0.92,+2.40%,1841725,0
05/18/2020,38.02,39.2,36.11,38.31,1.53,+4.16%,2002160,0
05/11/2020,35.59,37.6,35.26,36.78,0.99,+2.77%,1999700,0
05/04/2020,32.26,36.03,31.85,35.79,3.34,+10.29%,2207840,0
04/27/2020,30.93,33.09,30.62,32.45,1.85,+6.05%,2016320,0
04/20/2020,31.04,31.33,28.5,30.6,-1.07,-3.38%,1147480,0
04/13/2020,30.62,33.2,30.38,31.67,0.94,+3.06%,1650700,0
04/06/2020,29.93,32.77,29.22,30.73,2.1,+7.33%,1695600,0
03/30/2020,32.31,32.85,28.2,28.63,-3.48,-10.84%,1630920,0
03/23/2020,29.11,34.02,28.1,32.11,2.92,+10.00%,1593540,0
03/16/2020,30.12,33.715,26.13,29.19,-3.97,-11.97%,2210360,0
03/09/2020,36.08,36.27,27.41,33.16,-4.32,-11.53%,1987200,0
03/02/2020,37.69,38.23,35.68,37.48,0.02,+0.05%,2029140,0
02/24/2020,38.25,38.8,35.96,37.46,-1.75,-4.46%,1485860,0
02/17/2020,39.17,40.22,38.93,39.21,-0.07,-0.18%,1526125,0
02/10/2020,37.43,39.62,37.385,39.28,1.86,+4.97%,1639720,0
02/03/2020,32.07,39.33,31.92,37.42,5.41,+16.90%,3306460,0
01/27/2020,32.16,33.15,31.72,32.01,-0.67,-2.05%,1130620,0
01/20/2020,33.77,35.29,32.19,32.68,-1.18,-3.48%,1213150,0
01/13/2020,31.31,34.02,31.03,33.86,2.61,+8.35%,1525820,0
01/06/2020,32.57,32.94,31.155,31.25,-1.52,-4.64%,1208120,0
12/30/2019,32,32.8,31.86,32.77,0.72,+2.25%,970625,0
12/23/2019,32.78,33.04,32,32.05,-0.65,-1.99%,1033650,0
12/16/2019,32.93,33.58,32.62,32.7,-0.02,-0.06%,1427800,0
12/09/2019,32.29,33.4,32.16,32.72,0.37,+1.14%,1086120,0
12/02/2019,32.25,32.43,31.05,32.35,0.1,+0.31%,1727420,0
11/25/2019,31.4,32.46,31.16,32.25,1.01,+3.23%,1006075,0
11/18/2019,31.46,31.935,30.58,31.24,-0.35,-1.11%,1443840,0
11/11/2019,30.79,31.64,30.45,31.59,0.62,+2.00%,821040,0
11/04/2019,31.32,32.12,28.61,30.97,-0.17,-0.55%,2583720,0
10/28/2019,31.23,31.93,30.45,31.14,-0.04,-0.13%,2024820,0
10/21/2019,29.87,31.55,29.395,31.18,1.46,+4.91%,1641660,0
10/14/2019,28.56,29.78,28.35,29.72,1.09,+3.81%,1622000,0
10/07/2019,28.9,29.32,28.01,28.63,-0.38,-1.31%,1012100,0
09/30/2019,29,29.25,27.35,29.01,0.1,+0.35%,2129120,0
09/23/2019,28.93,29.8,28.655,28.91,-0.1,-0.34%,1692560,0
09/16/2019,29.48,29.74,28.52,29.01,-0.56,-1.89%,2144020,0
09/09/2019,30.5,30.84,29.475,29.57,-0.78,-2.57%,1408940,0
09/02/2019,29,30.83,28.52,30.35,1.15,+3.94%,1409525,0
08/26/2019,28.95,29.6971,28.27,29.2,0.62,+2.17%,1165260,0
