Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,116.4,119.215,115.395,115.6,0.38,+0.33%,193100,0
03/13/2023,108.36,117.86,106,115.22,4.25,+3.83%,251000,0
03/06/2023,120.4,120.4,108.61,110.97,-9.5,-7.89%,138460,0
02/27/2023,116.96,121.115,114.975,120.47,4.77,+4.12%,125420,0
02/20/2023,116.51,118.39,113.035,115.7,-2.82,-2.38%,113575,0
02/13/2023,113.91,118.69,112.66,118.52,4.46,+3.91%,84520,0
02/06/2023,118.57,119.13,109.56,114.06,-4.98,-4.18%,145760,0
01/30/2023,116.74,123.37,115.135,119.04,1.81,+1.54%,143440,0
01/23/2023,109,117.26,107.915,117.23,7.85,+7.18%,105720,0
01/16/2023,106.79,109.4,104.095,109.38,2.22,+2.07%,118175,0
01/09/2023,99.74,107.71,98.3,107.16,8.54,+8.66%,175460,0
01/02/2023,94.25,99.09,91.82,98.62,5.44,+5.84%,181100,0
12/26/2022,96.65,97.325,92.645,93.18,-2.89,-3.01%,112975,0
12/19/2022,98.55,98.55,93.3701,96.07,-2.29,-2.33%,133120,0
12/12/2022,100.33,107.425,97.79,98.36,-2.44,-2.42%,238020,0
12/05/2022,113.84,115.99,100.09,100.8,-14.8,-12.80%,299680,0
11/28/2022,112.49,116.4325,108.975,115.6,2.61,+2.31%,140000,0
11/21/2022,108.95,116.385,106.49,112.99,4,+3.67%,113425,0
11/14/2022,104.62,113.53,104.62,108.99,2.94,+2.77%,155600,0
11/07/2022,103.07,106.67,92.8,106.05,4.29,+4.22%,196540,0
10/31/2022,100.15,104.02,97.05,101.76,1.31,+1.30%,192900,0
10/24/2022,93.57,100.54,92.84,100.45,6.97,+7.46%,154660,0
10/17/2022,90.55,96.12,90.01,93.48,5.05,+5.71%,176000,0
10/10/2022,89.98,92.87,86.81,88.43,-1.08,-1.21%,192220,0
10/03/2022,90.25,92.68,85.59,89.51,-0.27,-0.30%,269780,0
09/26/2022,87.75,94.17,85.75,89.78,1.94,+2.21%,319500,0
09/19/2022,86.43,98.61,86.43,87.84,1.14,+1.31%,435160,0
09/12/2022,93.05,93.78,84.995,86.7,-5.41,-5.87%,409920,0
09/05/2022,93.5,94.6799,88.43,92.11,-0.78,-0.84%,294800,0
08/29/2022,112,114.68,92.55,92.89,-20.54,-18.11%,434980,0
08/22/2022,116.07,119.5,113.1,113.43,-4.54,-3.85%,193800,0
08/15/2022,105.03,118.535,104.265,117.97,11.53,+10.83%,247000,0
08/08/2022,99.4,106.865,98.03,106.44,7.44,+7.52%,169900,0
08/01/2022,94.6,99.65,93.71,99,3.6,+3.77%,113480,0
07/25/2022,94.97,95.96,90.21,95.4,1.49,+1.59%,113780,0
07/18/2022,86.67,95.84,86.5,93.91,8.19,+9.55%,140140,0
07/11/2022,87.43,88.18,82.465,85.72,-2.76,-3.12%,126760,0
