Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,168.5,188.985,165.36,186.63,17.35,+10.25%,12204000,0
02/13/2023,166.32,177.5999,164.41,169.28,4.03,+2.44%,3674760,0
02/06/2023,159,169,154.11,165.25,5.53,+3.46%,3511180,0
01/30/2023,158.27,165.66,154.215,159.72,-0.06,-0.04%,3799980,0
01/23/2023,146.33,161.225,146.1259,159.78,13.68,+9.36%,5425060,0
01/16/2023,137.21,146.49,137.11,146.1,7.24,+5.21%,4827850,0
01/09/2023,137,139.69,132.22,138.86,4.01,+2.97%,4135940,0
01/02/2023,141.32,143.445,132.7,134.85,-4.69,-3.36%,4406875,0
12/26/2022,140.53,141.59,136.74,139.54,-1.73,-1.22%,3316675,0
12/19/2022,151.89,152.09,140.54,141.27,-9.73,-6.44%,3698320,0
12/12/2022,159.35,168.99,150.36,151,-7.9,-4.97%,3585560,0
12/05/2022,172.3,173.23,158.67,158.9,-13.79,-7.99%,3102560,0
11/28/2022,172.04,178.97,163.75,172.69,-0.08,-0.05%,4252960,0
11/21/2022,166.51,175.63,165.07,172.77,5.29,+3.16%,3567225,0
11/14/2022,165.68,173,151.49,167.48,2.16,+1.31%,7247380,0
11/07/2022,142.85,168.12,140.52,165.32,23.11,+16.25%,4990280,0
10/31/2022,170.28,176.1,140.075,142.21,-28.87,-16.88%,6238060,0
10/24/2022,161.41,171.48,157.42,171.08,9.05,+5.59%,3069600,0
10/17/2022,158.85,166.79,156.29,162.03,7.2,+4.65%,3789420,0
10/10/2022,169.51,170.48,148.01,154.83,-15.08,-8.88%,3912700,0
10/03/2022,166,179,165.56,169.91,6.12,+3.74%,2912000,0
09/26/2022,162.16,167.87,161.64,163.79,2.22,+1.37%,3245100,0
09/19/2022,171.19,177.43,160.54,161.57,-12.52,-7.19%,3555780,0
09/12/2022,188.72,189.9994,171.54,174.09,-14.1667,-7.53%,5244619,0
09/05/2022,177.9933,189.4167,172.7767,188.2567,8.5234,+4.74%,3664350,0
08/29/2022,185,191,178.0867,179.7333,-7.1634,-3.83%,3790919,0
08/22/2022,168.7067,192.93,166.8704,186.8967,15.7267,+9.19%,8078580,0
08/15/2022,173.4833,176.4533,168.9517,171.17,-4.4567,-2.54%,3242820,0
08/08/2022,167.9867,179.03,164,175.6267,8.5034,+5.09%,3390840,0
08/01/2022,166.5867,176.7766,161.3567,167.1233,0.7566,+0.45%,4695300,0
07/25/2022,170.6533,171.3333,154.4033,166.3667,-4.0233,-2.36%,4060800,0
07/18/2022,171.9167,174.6701,165.68,170.39,0.7367,+0.43%,3315000,0
