Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,127.51,127.84,120.91,121.3,-5.65,-4.45%,2178425,0
02/27/2023,123.4,127.26,120.05,126.95,5.57,+4.59%,3419720,0
02/20/2023,124.05,124.76,120.87,121.38,-3.94,-3.14%,2334125,0
02/13/2023,128.32,130.24,123.48,125.32,-2.77,-2.16%,1950760,0
02/06/2023,129.54,131.74,125.75,128.09,-3.53,-2.68%,2585840,0
01/30/2023,128.4,136.67,126.955,131.62,1.78,+1.37%,3229700,0
01/23/2023,123.18,130.92,115.5,129.84,7.02,+5.72%,2497320,0
01/16/2023,122.4,125.34,119.59,122.82,0.92,+0.75%,3614800,0
01/09/2023,117.5,122.6795,114.3,121.9,5.25,+4.50%,2715760,0
01/02/2023,113.98,118,111.18,116.65,3.92,+3.48%,3076275,0
12/26/2022,113.39,114.13,110.21,112.73,-0.89,-0.78%,2372100,0
12/19/2022,111.98,115.66,110.12,113.62,1.38,+1.23%,2710060,0
12/12/2022,116.4,123.73,110.975,112.24,-4.08,-3.51%,5530140,0
12/05/2022,116,118.65,113.28,116.32,-0.62,-0.53%,3416680,0
11/28/2022,115.56,119.49,110.92,116.94,0.55,+0.47%,4236740,0
11/21/2022,114.65,116.94,113.34,116.39,1.83,+1.60%,2056175,0
11/14/2022,115.61,115.61,110.42,114.56,-1.57,-1.35%,3235580,0
11/07/2022,108.77,119.42,107.12,116.13,8.51,+7.91%,3281780,0
10/31/2022,111.23,112.25,103.72,107.62,-5.36,-4.74%,4981260,0
10/24/2022,103.84,113.46,102.22,112.98,9.9,+9.60%,4815780,0
10/17/2022,102.72,108.89,100.6401,103.08,3.55,+3.57%,4918720,0
10/10/2022,100.71,104.01,98.03,99.53,-0.83,-0.83%,5539600,0
10/03/2022,103.5,106.69,99.68,100.36,-1.24,-1.22%,5397280,0
09/26/2022,107.13,107.34,100.73,101.6,-7,-6.45%,9340820,0
09/19/2022,112.22,112.81,107.2413,108.6,-5.07,-4.46%,4967760,0
09/12/2022,129.6,130.64,111.91,113.67,-15.96,-12.31%,4820140,0
09/05/2022,122.71,129.98,121.83,129.63,7.74,+6.35%,2918850,0
08/29/2022,127.48,128.23,121.43,121.89,-6.46,-5.03%,2715940,0
08/22/2022,132.6,133.02,128,128.35,-5.73,-4.27%,2193640,0
08/15/2022,137.25,138.86,133.5,134.08,-3.16,-2.30%,1898400,0
08/08/2022,132.64,137.42,130.22,137.24,5.85,+4.45%,2305520,0
08/01/2022,132.21,132.92,128.52,131.39,-1.17,-0.88%,2556780,0
07/25/2022,126.58,133.15,125.28,132.56,5.66,+4.46%,2819460,0
07/18/2022,123.37,127.82,119.01,126.9,5.89,+4.87%,3498360,0
07/11/2022,121.24,122.92,117.14,121.01,-0.57,-0.47%,2777260,0
07/04/2022,119.38,123.96,117.83,121.58,1.55,+1.29%,3229500,0
06/27/2022,122.27,123.095,115.35,120.03,-2.56,-2.09%,3435640,0
06/20/2022,111.59,122.63,110.52,122.59,12.23,+11.08%,4120750,0
06/13/2022,108.85,116.87,106.46,110.36,-6.88,-5.87%,8362380,0
06/06/2022,128.74,129.86,117.13,117.24,-10.34,-8.10%,3753320,0
05/30/2022,126.39,129.59,123.83,127.58,0.32,+0.25%,6432075,0
05/23/2022,121.71,128.23,116.37,127.26,7.54,+6.30%,5009680,0
05/16/2022,127.44,128.5,117.88,119.72,-8.63,-6.72%,4531540,0
05/09/2022,139.36,139.45,120.42,128.35,-12.53,-8.89%,8039440,0
05/02/2022,160.95,161.43,139.43,140.88,-19.41,-12.11%,5396340,0
04/25/2022,169.11,173.97,159.65,160.29,-8.44,-5.00%,4399540,0
04/18/2022,162.57,174.54,162.18,168.73,6.03,+3.71%,3243620,0
04/11/2022,168.33,169.34,162.51,162.7,-5.95,-3.53%,2626975,0
04/04/2022,166.13,170.66,162.17,168.65,2.85,+1.72%,2768320,0
03/28/2022,157.53,166.22,157.085,165.8,8.47,+5.38%,3029060,0
03/21/2022,160.45,160.85,154.11,157.33,-2.83,-1.77%,2593126,0
03/14/2022,148.4,160.43,147.6,160.16,12.33,+8.34%,3427760,0
03/07/2022,150.59,152.55,146.74,147.83,-3.01,-2.00%,2298561,0
02/28/2022,146.49,150.96,143.89,150.84,2.39,+1.61%,3103600,0
02/21/2022,143.06,148.505,137.898,148.45,5.9,+4.14%,2995250,0
02/14/2022,146.04,148.075,141.95,142.55,-3.76,-2.57%,2735740,0
02/07/2022,153.26,155.57,145.17,146.31,-7.18,-4.68%,3208840,0
01/31/2022,155.21,157.96,152.33,153.49,-1.58,-1.02%,2683740,0
01/24/2022,155.42,156.72,146.39,155.07,-0.36,-0.23%,4175840,0
01/17/2022,151.57,159.21,150.495,155.43,2.69,+1.76%,4088200,0
01/10/2022,152.38,155,149.82,152.74,-0.99,-0.64%,2780020,0
01/03/2022,168.46,169.03,153.43,153.73,-14.63,-8.69%,3601001,0
12/27/2021,162.61,169.93,162.61,168.36,6.61,+4.09%,1654140,0
12/20/2021,160.09,163.69,159.21,161.75,0.57,+0.35%,2400375,0
12/13/2021,158.23,165.08,157.15,161.18,2.1,+1.32%,3910780,0
12/06/2021,155.12,161.11,154.76,159.08,4.42,+2.86%,2489580,0
11/29/2021,151.24,157.51,150.12,154.66,4.78,+3.19%,3385940,0
11/22/2021,150.44,154.87,149.45,149.88,-0.34,-0.23%,1630000,0
11/15/2021,148.85,151.72,146.05,150.22,1.41,+0.95%,1660840,0
