Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,56.48,56.84,54.34,54.39,-2.1,-3.72%,1279700,0
02/27/2023,56.17,56.7,54.21,56.49,1.06,+1.91%,1632560,0
02/20/2023,56.07,56.195,54.24,55.43,-1.4,-2.46%,1262550,0
02/13/2023,55.44,57.185,55.02,56.83,1.62,+2.93%,1428121,0
02/06/2023,58.68,58.725,55.16,55.21,-4.16,-7.01%,1634740,0
01/30/2023,50.95,60.85,50.57,59.37,7.84,+15.21%,3484240,0
01/23/2023,49.63,51.81,49.2,51.53,2.37,+4.82%,1387160,0
01/16/2023,50.56,51.25,47.9,49.16,-1.36,-2.69%,1679775,0
01/09/2023,47,50.77,46.45,50.52,3.72,+7.95%,1694240,0
01/02/2023,45.66,47.145,44.66,46.8,1.82,+4.05%,1476975,0
12/26/2022,44.42,45.655,43.91,44.98,0.58,+1.31%,775675,0
12/19/2022,43.71,45.12,43.4595,44.4,0.96,+2.21%,1291600,0
12/12/2022,45.16,48.06,43.19,43.44,-1.63,-3.62%,1716300,0
12/05/2022,46.03,46.03,43.945,45.07,-1.58,-3.39%,960760,0
11/28/2022,45.71,47.75,43.89,46.65,0.46,+1.00%,1194188,0
11/21/2022,44.8,46.26,44.69,46.19,1.16,+2.58%,692825,0
11/14/2022,46.33,47.31,43.36,45.03,-1.66,-3.56%,1405820,0
11/07/2022,41.11,47.135,40.39,46.69,5.63,+13.71%,1705120,0
10/31/2022,42.56,43.47,39.53,41.06,-1.7,-3.98%,2207020,0
10/24/2022,40.13,44.87,40.13,42.76,3.14,+7.93%,2722100,0
10/17/2022,41.66,43.15,38.55,39.62,-1.22,-2.99%,2284840,0
10/10/2022,41.45,42.04,38.7,40.84,-0.07,-0.17%,1285160,0
10/03/2022,41,43.45,40.6,40.91,0.28,+0.69%,1411200,0
09/26/2022,41.18,42.01,39.99,40.63,-0.62,-1.50%,1417640,0
09/19/2022,42.63,43.605,40.53,41.25,-1.59,-3.71%,1321960,0
09/12/2022,47.5,48.195,42.46,42.84,-4.28,-9.08%,1641122,0
09/05/2022,44.02,47.19,43.47,47.12,3.21,+7.31%,1291600,0
08/29/2022,45.76,45.825,43.75,43.91,-2.27,-4.92%,1994100,0
08/22/2022,48.66,49.13,46.18,46.18,-3.2,-6.48%,993080,0
08/15/2022,50.39,51.49,49.34,49.38,-1.31,-2.58%,823580,0
08/08/2022,49.6,50.71,48.185,50.69,1.59,+3.24%,1301380,0
08/01/2022,48.7,49.56,48.02,49.1,0.21,+0.43%,1238500,0
07/25/2022,46.99,50.07,46,48.89,1.9,+4.04%,2211460,0
07/18/2022,46.36,48.685,45.7,46.99,0.78,+1.69%,1897380,0
07/11/2022,46.48,47.57,44.55,46.21,-0.29,-0.62%,1041020,0
07/04/2022,45.72,47.65,45.16,46.5,0.03,+0.06%,1121550,0
06/27/2022,47.24,47.48,44.54,46.47,-0.56,-1.19%,1060860,0
06/20/2022,44.51,47.345,43.6,47.03,3.13,+7.13%,1222725,0
06/13/2022,46.71,47.2,43.76,43.9,-3.97,-8.29%,1347281,0
06/06/2022,51.06,51.4,47.55,47.87,-2.93,-5.77%,882640,0
05/30/2022,49.7,51.46,49,50.8,0.44,+0.87%,1658250,0
05/23/2022,49.46,51.12,47.99,50.36,1.4,+2.86%,1519780,0
05/16/2022,49.61,50.59,47.42,48.96,-1.06,-2.12%,1059120,0
05/09/2022,49.77,52.06,48.24,50.02,-0.46,-0.91%,1467360,0
05/02/2022,50.66,54.03,49.31,50.48,-0.27,-0.53%,1495600,0
04/25/2022,52.5,53.52,50.53,50.75,-1.93,-3.66%,2332980,0
