Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,82.37,87.34,81.38,85.03,1.77,+2.13%,449460,0
03/06/2023,87.94,88.375,80.82,83.26,-5.07,-5.74%,454486,0
02/27/2023,88.3,89.73,84.32,88.33,0.82,+0.94%,371880,0
02/20/2023,90.36,90.99,85.98,87.51,-3.88,-4.25%,572200,0
02/13/2023,86.22,92.45,84.75,91.39,4.89,+5.65%,838640,0
02/06/2023,89.41,91.555,85.15,86.5,-3.2,-3.57%,486060,0
01/30/2023,86.03,92,84.2,89.7,3.39,+3.93%,490860,0
01/23/2023,88.25,91.08,85.13,86.31,-1.82,-2.07%,309940,0
01/16/2023,84,88.73,83.79,88.13,3.55,+4.20%,341450,0
01/09/2023,92.33,93.11,83.63,84.58,-6.19,-6.82%,908720,0
01/02/2023,86.4,90.92,83.03,90.77,5.1,+5.95%,583275,0
12/26/2022,84.5,86.73,82.58,85.67,0.97,+1.15%,434350,0
12/19/2022,81.87,86.97,80.1,84.7,2.11,+2.55%,598200,0
12/12/2022,95,102,78.5,82.59,-9.71,-10.52%,1464880,0
12/05/2022,93.69,98.65,90.38,92.3,-1.96,-2.08%,480740,0
11/28/2022,87.35,96.99,82.2,94.26,6.06,+6.87%,670940,0
11/21/2022,88.03,90.07,86.25,88.2,-0.2,-0.23%,454150,0
11/14/2022,92.59,94.02,86.11,88.4,-4.95,-5.30%,598220,0
11/07/2022,91.18,96.16,87.04,93.35,2.54,+2.80%,644920,0
10/31/2022,87.92,92.63,82.26,90.81,2.04,+2.30%,596220,0
10/24/2022,79.42,89.565,78.81,88.77,10.02,+12.72%,526740,0
10/17/2022,77.09,82.03,76.58,78.75,2.46,+3.22%,598300,0
10/10/2022,71.24,77.105,66.88,76.29,5.26,+7.41%,777740,0
10/03/2022,72.8,75.25,68.94,71.03,-0.45,-0.63%,637720,0
09/26/2022,72.29,74.14,68.43,71.48,-1.1,-1.52%,689580,0
09/19/2022,80.48,80.69,70.91,72.58,-9.2,-11.25%,605860,0
09/12/2022,86.51,88.44,80.2,81.78,-4.19,-4.87%,882040,0
09/05/2022,79.87,86.08,79.3101,85.97,7.44,+9.47%,731475,0
08/29/2022,81.6,81.6,77.32,78.53,-3.53,-4.30%,617880,0
08/22/2022,85,87.44,81.13,82.06,-4.07,-4.73%,662640,0
08/15/2022,83.99,89.26,83.75,86.13,2.04,+2.43%,771460,0
08/08/2022,91.38,94.44,83.39,84.09,-8.11,-8.80%,1085920,0
08/01/2022,102.06,104.299,88.12,92.2,-9.84,-9.64%,920940,0
07/25/2022,104.04,104.19,99.62,102.04,-1.22,-1.18%,443140,0
07/18/2022,102.61,106.2805,99.36,103.26,1.81,+1.78%,556020,0
07/11/2022,105.94,106.78,98.42,101.45,-5.08,-4.77%,444880,0
07/04/2022,95.79,108.35,95.62,106.53,9.42,+9.70%,713600,0
06/27/2022,100.73,102,95.02,97.11,-3.07,-3.06%,605440,0
06/20/2022,101.46,102.145,95.37,100.18,-0.88,-0.87%,805275,0
06/13/2022,95,103.29,93.7,101.06,3.57,+3.66%,947882,0
06/06/2022,91.12,100,90.18,97.49,7.55,+8.39%,681040,0
05/30/2022,104.3,105.29,89.3,89.94,-13.51,-13.06%,1415226,0
05/23/2022,99.57,103.82,97.89,103.45,3.54,+3.54%,939442,0
05/16/2022,100.6,104.74,97.24,99.91,-0.69,-0.69%,575420,0
05/09/2022,96.97,100.85,88.05,100.6,2.31,+2.35%,695200,0
05/02/2022,100.11,105.8,95.59,98.29,-2.33,-2.32%,712760,0
04/25/2022,105.07,106.37,98.6,100.62,-5.3,-5.00%,549680,0
04/18/2022,110.86,116.89,105.71,105.92,-5.02,-4.52%,343100,0
04/11/2022,114.93,115.85,110.41,110.94,-5.26,-4.53%,316475,0
04/04/2022,113.31,120.61,111.92,116.2,2.27,+1.99%,516280,0
03/28/2022,109.7,115.1758,108.77,113.93,4.73,+4.33%,325760,0
03/21/2022,114.5,115.04,108,109.2,-5.4,-4.71%,369020,0
03/14/2022,98.35,115.27,98.35,114.6,15.4,+15.52%,571740,0
03/07/2022,99.74,104.64,96.9629,99.2,-0.37,-0.37%,450500,0
02/28/2022,107.1,108.68,98.53,99.57,-8.17,-7.58%,580300,0
02/21/2022,99.3,108.01,99.2,107.74,9.9,+10.12%,947525,0
02/14/2022,95.95,103.73,88.37,97.84,1.81,+1.88%,898200,0
02/07/2022,99.43,99.45,93.18,96.03,-2.84,-2.87%,499940,0
01/31/2022,102.53,104.96,97.39,98.87,-2.87,-2.82%,603920,0
01/24/2022,100.93,103.15,91.14,101.74,-3.27,-3.11%,1091980,0
01/17/2022,114.66,115.82,104.84,105.01,-9.87,-8.59%,626275,0
01/10/2022,123,131.88,113.0201,114.88,-9.22,-7.43%,890940,0
01/03/2022,135.48,135.9,122.4714,124.1,-10.89,-8.07%,936040,0
12/27/2021,137.36,138.46,124.59,134.99,-2.4,-1.75%,1117340,0
12/20/2021,167.95,180.06,135.15,137.39,-24.36,-15.06%,2425225,0
12/13/2021,134.01,164.52,133.5372,161.75,27.69,+20.65%,618340,0
12/06/2021,145.15,146,133.74,134.06,-13.89,-9.39%,367980,0
11/29/2021,143.8,153.99,138.52,147.95,3.14,+2.17%,564700,0
11/22/2021,152.5,152.58,130,144.81,-7.69,-5.04%,601625,0
11/15/2021,143.89,152.69,140.19,152.5,8.82,+6.14%,613540,0
11/08/2021,122.01,144.67,120.89,143.68,22.58,+18.65%,583140,0
11/01/2021,132.77,139.005,120.095,121.1,-11.67,-8.79%,541780,0
10/25/2021,134.87,136,128.7,132.77,-2.11,-1.56%,242940,0
10/18/2021,128.41,135.98,126.54,134.88,6.64,+5.18%,532720,0
10/11/2021,137.88,140.3,128.07,128.24,-9.8,-7.10%,368060,0
10/04/2021,134.01,148,130.67,138.04,3.71,+2.76%,481880,0
09/27/2021,144.11,144.6661,127.105,134.33,-12.61,-8.58%,388060,0
09/20/2021,150.17,158.1,146.94,146.94,-6.54,-4.26%,484260,0
09/13/2021,148.92,154.88,141.36,153.48,4.05,+2.71%,682260,0
09/06/2021,140.63,152.51,138.0006,149.43,7.54,+5.31%,660300,0
08/30/2021,128.3,142.95,127.28,141.89,14.25,+11.16%,495140,0
08/23/2021,118.85,130,116.47,127.64,8.89,+7.49%,603420,0
08/16/2021,121.8,123.15,112.43,118.75,-3.27,-2.68%,539400,0
08/09/2021,125.11,133.52,121.5,122.02,-2.99,-2.39%,527660,0
08/02/2021,141.73,146.32,119.8,125.01,-16.46,-11.63%,826760,0
07/26/2021,149.37,150.79,132.89,141.47,-8.74,-5.82%,596160,0
07/19/2021,122.11,150.75,121.98,150.21,25.09,+20.05%,1231320,0
07/12/2021,122.69,126.84,115.2701,125.12,2.12,+1.72%,522020,0
07/05/2021,126.24,129.85,115.51,123,-2.29,-1.83%,892250,0
06/28/2021,119.08,135.6,119,125.29,6.2,+5.21%,1092420,0
06/21/2021,113,119.7,109.75,119.09,5.29,+4.65%,591560,0
06/14/2021,115.03,118.24,109.89,113.8,-0.97,-0.85%,401920,0
06/07/2021,104,117.8,103.96,114.77,10.7,+10.28%,683500,0
05/31/2021,115.58,115.93,103.3113,104.07,-14.04,-11.89%,1932600,0
05/24/2021,116.67,125.87,114.7,118.11,2.13,+1.84%,426520,0
05/17/2021,117.75,123.08,114,115.98,-2.23,-1.89%,527820,0
05/10/2021,121.1,121.21,111.34,118.21,-2.72,-2.25%,776480,0
05/03/2021,105.74,125.9,104.4,120.93,16.14,+15.40%,1279460,0
04/26/2021,115.41,123.24,104.66,104.79,-11.22,-9.67%,950760,0
04/19/2021,128,128.46,105.93,116.01,-12.82,-9.95%,1232260,0
04/12/2021,123.67,132.26,122.34,128.83,5.63,+4.57%,665260,0
04/05/2021,134.57,136.69,121.5,123.2,-7.11,-5.46%,702040,0
03/29/2021,125.31,139.418,119.445,130.31,4.01,+3.17%,763375,0
03/22/2021,137,141.25,121.35,126.3,-10.83,-7.90%,754900,0
03/15/2021,137.74,144.26,133.9345,137.13,0.94,+0.69%,833600,0
03/08/2021,152.1,162.6,127.2,136.19,-15.11,-9.99%,1482040,0
03/01/2021,170.15,173.5,138.2901,151.3,-12.96,-7.89%,952580,0
02/22/2021,180.3,184,157.775,164.26,-18.33,-10.04%,1219260,0
02/15/2021,232,232,181.5001,182.59,-45.38,-19.91%,1077325,0
02/08/2021,239.27,254.82,225.27,227.97,-9.03,-3.81%,616500,0
02/01/2021,251.84,258.49,222.465,237,-13.97,-5.57%,562240,0
01/25/2021,241.42,265,216.65,250.97,17.36,+7.43%,909300,0
01/18/2021,207.51,236.325,198.4,233.61,29.12,+14.24%,1021450,0
01/11/2021,195.01,209.98,187.285,204.49,5.94,+2.99%,987680,0
01/04/2021,181.88,212,175,198.55,18.9,+10.52%,1456720,0
12/28/2020,198.99,200.59,176.86,179.65,-17.84,-9.03%,586825,0
12/21/2020,195.5,210.54,194.01,197.49,7.99,+4.22%,717225,0
12/14/2020,204,212.79,186.0701,189.5,-13.06,-6.45%,686240,0
12/07/2020,194.63,203.99,187.01,202.56,8.99,+4.64%,521580,0
11/30/2020,191,202.49,186,193.57,5.57,+2.96%,815500,0
11/23/2020,186.52,189.88,166.48,188,0.81,+0.43%,1091400,0
11/16/2020,192.05,200.85,184.26,187.19,-11.46,-5.77%,1072160,0
11/09/2020,200.04,221.55,175.51,198.65,-84.8,-29.92%,1942660,0
11/02/2020,271.3,288.6999,244.03,283.45,15.16,+5.65%,712820,0
10/26/2020,245.31,275.55,245.23,268.29,20.08,+8.09%,823260,0
10/19/2020,257.29,262.5,235.84,248.21,-7.04,-2.76%,502540,0
10/12/2020,282,287.3,255.12,255.25,-22.8,-8.20%,792000,0
10/05/2020,242.41,283.515,240.06,278.05,42.71,+18.15%,1015400,0
09/28/2020,198.79,244.9,194.3292,235.34,38.57,+19.60%,1309580,0
09/21/2020,186,204.48,185.43,196.77,7.46,+3.94%,1095820,0
09/14/2020,162.93,191.58,155.5,189.31,28.12,+17.45%,1276340,0
09/07/2020,150.51,166.22,150,161.19,6.78,+4.39%,1027625,0
08/31/2020,164.27,181.43,143.28,154.41,-8.56,-5.25%,1928600,0
08/24/2020,245.89,245.99,135.02,162.97,-78.55,-32.52%,3791660,0
08/17/2020,243.96,251.42,232.51,241.52,-4.41,-1.79%,658700,0
08/10/2020,272.76,272.9399,217.9717,245.93,-26.83,-9.84%,1057440,0
08/03/2020,288,306.7236,269.24,272.76,-9.71,-3.44%,742860,0
07/27/2020,261.35,287.88,253.29,282.47,26.96,+10.55%,646780,0
07/20/2020,272.7,277.67,243.06,255.51,-11.49,-4.30%,803320,0
07/13/2020,250.26,268.2099,224.15,267,20.36,+8.25%,745360,0
07/06/2020,227.5,248,218.16,246.64,19.6,+8.63%,964380,0
06/29/2020,227.45,229.26,208.22,227.04,6.04,+2.73%,1112550,0
06/22/2020,211.52,222.28,197.63,221,10.62,+5.05%,1924960,0
06/15/2020,179.53,217.99,178.475,210.38,38.58,+22.46%,2811200,0
06/08/2020,151.82,175.4,148.18,171.8,18.16,+11.82%,981360,0
06/01/2020,174.71,176.8311,147.28,153.64,-21.36,-12.21%,792260,0
05/25/2020,174.01,175.41,147.7,175,1.51,+0.87%,1225025,0
05/18/2020,201.1,201.97,171.6401,173.49,-23.78,-12.05%,914900,0
05/11/2020,189.25,210.81,164,197.27,38.67,+24.38%,2548560,0
05/04/2020,138.9,163.48,136.56,158.6,19.36,+13.90%,622720,0
04/27/2020,139.64,143.97,130.28,139.24,4.64,+3.45%,662560,0
04/20/2020,108,136.52,106.125,134.6,26.73,+24.78%,754480,0
04/13/2020,95.78,113.75,94.2,107.87,11.93,+12.43%,628220,0
04/06/2020,98.1,98.22,86.2975,95.94,0.94,+0.99%,692175,0
03/30/2020,96.03,106.56,90.53,95,0.69,+0.73%,792780,0
03/23/2020,90.05,98.49,78.16,94.31,5.42,+6.10%,1093560,0
03/16/2020,76.8,100.42,73.01,88.89,9.72,+12.28%,960740,0
03/09/2020,79.34,91.73,76.03,79.17,-4.1,-4.92%,527960,0
03/02/2020,78.3381,83.99,76.1656,83.27,6.03,+7.81%,285820,0
02/24/2020,76.17,81.1637,72.985,77.24,-2.15,-2.71%,267600,0
