Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,58.47,60.595,56.13,56.65,-1.93,-3.29%,1398560,0
03/06/2023,63.54,64.14,58.33,58.58,-4.7,-7.43%,833120,0
02/27/2023,63.83,64.35,61.59,63.28,0.13,+0.21%,631220,0
02/20/2023,63.95,64.29,62.57,63.15,-1.18,-1.83%,777375,0
02/13/2023,65.67,67,63.75,64.33,-1.34,-2.04%,853340,0
02/06/2023,66.38,66.41,63.095,65.67,-1.14,-1.71%,970943,0
01/30/2023,66.84,68.56,65.3,66.81,-0.34,-0.51%,1323080,0
01/23/2023,64.36,67.3,64.11,67.15,2.8,+4.35%,686640,0
01/16/2023,65.97,66.49,62.81,64.35,-1.63,-2.47%,873300,0
01/09/2023,63.45,66.6,60.89,65.98,2.39,+3.76%,971540,0
01/02/2023,63.11,64.12,62.1,63.59,1.09,+1.74%,1054725,0
12/26/2022,62.69,62.98,61.54,62.5,-0.14,-0.22%,568150,0
12/19/2022,62.59,63.3,60.895,62.64,-0.09,-0.14%,837400,0
12/12/2022,65.82,67.53,61.81,62.73,-3,-4.56%,1582780,0
12/05/2022,65.57,66.63,64.47,65.73,-0.08,-0.12%,1251040,0
11/28/2022,65.62,67.29,64.22,65.81,-0.46,-0.69%,683840,0
11/21/2022,64.53,66.52,64.28,66.27,0.68,+1.04%,650600,0
11/14/2022,65.48,66.33,63.53,65.59,-0.23,-0.35%,608942,0
11/07/2022,64.23,66.65,62.03,65.82,2.25,+3.54%,854800,0
10/31/2022,59.78,64.17,58.57,63.57,3.69,+6.16%,1263130,0
10/24/2022,56.32,60.03,55.455,59.88,4.21,+7.56%,909120,0
10/17/2022,54.43,55.965,53.565,55.67,2.27,+4.25%,1183640,0
10/10/2022,54.63,55.67,53.17,53.4,-0.92,-1.69%,1165804,0
10/03/2022,54.84,56.12,53.745,54.32,0.47,+0.87%,1076960,0
09/26/2022,54.39,54.7699,51.97,53.85,-0.87,-1.59%,1238820,0
09/19/2022,58.51,59.06,53.09,54.72,-4.27,-7.24%,895863,0
09/12/2022,62.79,63.21,57.84,58.99,-3.29,-5.28%,1110601,0
09/05/2022,60.79,62.62,60.19,62.28,1.8,+2.98%,886475,0
08/29/2022,62.67,62.87,59.82,60.48,-2.37,-3.77%,774920,0
08/22/2022,64.47,64.8,62.53,62.85,-1.96,-3.02%,775100,0
08/15/2022,66.2,67.29,64.66,64.81,-1.49,-2.25%,732911,0
08/08/2022,63.36,66.51,63.07,66.3,3.46,+5.51%,846864,0
08/01/2022,63.78,64.5,61.78,62.84,-1.59,-2.47%,970541,0
07/25/2022,63.04,64.855,62,64.43,1.61,+2.56%,979320,0
07/18/2022,60.44,63.62,60.18,62.82,2.62,+4.35%,621460,0
07/11/2022,59.83,60.92,58.32,60.2,0.57,+0.96%,556140,0
07/04/2022,59.48,61.01,57.54,59.63,-0.77,-1.27%,563600,0
06/27/2022,61.07,63.32,58.75,60.4,-1.08,-1.76%,782680,0
06/20/2022,58.26,61.58,57.1,61.48,3.86,+6.70%,890150,0
06/13/2022,59.48,59.515,55.78,57.62,-3.36,-5.51%,1471695,0
06/06/2022,66.89,66.94,60.89,60.98,-5.7,-8.55%,828160,0
05/30/2022,68.4,69.06,66.06,66.68,-2.42,-3.50%,1032606,0
05/23/2022,63.92,69.35,62.13,69.1,5.84,+9.23%,857580,0
05/16/2022,67.98,69.65,61.71,63.26,-4.63,-6.82%,1201320,0
05/09/2022,67.92,68.42,63.815,67.89,-0.69,-1.01%,1385040,0
05/02/2022,69.08,73.06,65.59,68.58,-0.25,-0.36%,1132860,0
04/25/2022,70.16,72.15,68.57,68.83,-1.61,-2.29%,871560,0
04/18/2022,70.5,73.41,70.19,70.44,-0.14,-0.20%,669320,0
04/11/2022,70.62,71.31,69.29,70.58,0.04,+0.06%,651051,0
04/04/2022,71.55,71.78,68.26,70.54,-1.3,-1.81%,834660,0
03/28/2022,69.16,73.175,68.42,71.84,2.61,+3.77%,872320,0
03/21/2022,67.8,69.26,66.6,69.23,1.72,+2.55%,774140,0
