Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,111.82,115.66,109.22,111.09,0.17,+0.15%,686820,0
03/13/2023,111.1,114.18,108.9,110.92,-2.41,-2.13%,991820,0
03/06/2023,119.15,119.228,111.79,113.33,-5.56,-4.68%,730520,0
02/27/2023,120.03,120.24,115.42,118.89,-0.06,-0.05%,856620,0
02/20/2023,121.56,122.155,115.98,118.95,-3.82,-3.11%,785375,0
02/13/2023,120.17,124.25,118.82,122.77,4.56,+3.86%,1005560,0
02/06/2023,124.72,124.735,113.67,118.21,-7.68,-6.10%,1802560,0
01/30/2023,121.49,128.94,121.45,125.89,3.07,+2.50%,1022220,0
01/23/2023,120.64,127.43,118.325,122.82,1.77,+1.46%,982500,0
01/16/2023,118.46,121.88,115.47,121.05,2.24,+1.89%,701525,0
01/09/2023,115.99,119.82,113.135,118.81,2.84,+2.45%,799500,0
01/02/2023,107.49,116.325,106.87,115.97,10.3,+9.75%,906100,0
12/26/2022,104.93,105.89,101.19,105.67,1.31,+1.26%,517175,0
12/19/2022,105.63,105.705,100.82,104.36,-0.82,-0.78%,720140,0
12/12/2022,108.16,115.325,103.45,105.18,-2.33,-2.17%,1119760,0
12/05/2022,113.39,113.74,107.37,107.51,-8.05,-6.97%,899460,0
11/28/2022,108.44,116.12,107.5,115.56,6.09,+5.56%,1135040,0
11/21/2022,101.78,110.33,100.35,109.47,6.6,+6.42%,696075,0
11/14/2022,102.64,104.575,97.42,102.87,-1.51,-1.45%,812760,0
11/07/2022,95.51,105.98,90.09,104.38,9.32,+9.80%,1431620,0
10/31/2022,92.29,96.265,88.675,95.06,1.78,+1.91%,818940,0
10/24/2022,90.76,96.67,88.5,93.28,2.57,+2.83%,715526,0
10/17/2022,94.01,97.76,88.68,90.71,-1.83,-1.98%,854220,0
10/10/2022,91.26,95.52,86.98,92.54,1.78,+1.96%,1105740,0
10/03/2022,86.25,94.69,84.0545,90.76,5.83,+6.86%,936700,0
09/26/2022,85.3,89.505,82.2311,84.93,-0.5,-0.59%,1157120,0
09/19/2022,94.63,98.67,83.6,85.43,-8.06,-8.62%,1212780,0
09/12/2022,97.72,99.95,91.59,93.49,-3.05,-3.16%,1107240,0
09/05/2022,90.72,97.12,87.4,96.54,6.53,+7.25%,1076675,0
