Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,3.63,3.63,3.17,3.32,-0.35,-9.54%,212100,0
02/13/2023,3.73,3.97,3.53,3.67,-0.07,-1.87%,179600,0
02/06/2023,4.09,4.26,3.63,3.74,-0.38,-9.22%,186500,0
01/30/2023,4.08,4.48,4,4.12,0,0.00%,259740,0
01/23/2023,4.71,4.78,4.1,4.12,-0.64,-13.45%,262160,0
01/16/2023,4.09,4.85,4.02,4.76,0.64,+15.53%,424750,0
01/09/2023,3.38,4.3999,3.31,4.12,0.83,+25.23%,615440,0
01/02/2023,3.5,3.59,3.035,3.29,-0.2,-5.73%,459700,0
12/26/2022,3,3.605,2.85,3.49,0.48,+15.95%,555850,0
12/19/2022,3.41,3.41,2.79,3.01,-0.36,-10.68%,497580,0
12/12/2022,2.59,3.75,2.53,3.37,0.69,+25.75%,1415740,0
12/05/2022,4.61,4.66,1.81,2.68,-1.92,-41.74%,2578580,0
11/28/2022,5.25,5.44,4.34,4.6,-0.65,-12.38%,830760,0
11/21/2022,5.96,5.96,5.12,5.25,-0.69,-11.62%,451575,0
11/14/2022,6.64,6.7403,5.62,5.94,-0.41,-6.46%,745940,0
11/07/2022,6.3,6.56,5.62,6.35,-0.01,-0.16%,744020,0
10/31/2022,6.67,6.85,6.13,6.36,-0.19,-2.90%,665940,0
10/24/2022,6.9,7.33,6.22,6.55,-0.46,-6.56%,1013620,0
10/17/2022,6.14,7.97,6.12,7.01,0.81,+13.06%,1671240,0
10/10/2022,34.88,34.88,5.93,6.2,-28.04,-81.89%,5367700,0
10/03/2022,37.3,37.3,32.87,34.24,-2.78,-7.51%,515180,0
09/26/2022,32.2,38.68,31.5,37.02,5.12,+16.05%,633140,0
09/19/2022,33.94,34.53,28.65,31.9,-2.17,-6.37%,511456,0
09/12/2022,31.93,34.479,30.43,34.07,2.18,+6.84%,640024,0
09/05/2022,30.2,32.58,29.63,31.89,2.17,+7.30%,433825,0
08/29/2022,29.11,30.94,27.77,29.72,0.23,+0.78%,223760,0
08/22/2022,28.53,33.82,28.26,29.49,0.48,+1.65%,388166,0
08/15/2022,29.1,30.95,27.29,29.01,-0.09,-0.31%,280681,0
08/08/2022,26.47,30.23,26,29.1,2.92,+11.15%,277280,0
08/01/2022,25.39,26.3,24.21,26.18,0.58,+2.27%,173803,0
07/25/2022,23.67,26.19,23.2,25.6,1.89,+7.97%,175020,0
07/18/2022,22.85,24.9,21.715,23.71,1.24,+5.52%,163480,0
07/11/2022,18.72,22.55,18.215,22.47,3.56,+18.83%,299889,0
07/04/2022,18.18,19.88,18.18,18.91,0.61,+3.33%,367475,0
06/27/2022,19.5,19.995,18.08,18.3,-1.35,-6.87%,214971,0
06/20/2022,18.28,19.99,17.98,19.65,1.35,+7.38%,315850,0
06/13/2022,17.43,18.7,15.735,18.3,0.3,+1.67%,365780,0
06/06/2022,19.61,20.255,17.38,18,-1.39,-7.17%,232208,0
05/30/2022,19.66,19.91,17.72,19.39,-0.43,-2.17%,220445,0
05/23/2022,19.94,20.23,18.01,19.82,-0.28,-1.39%,193722,0
05/16/2022,19.84,22.68,19.7,20.1,0.3,+1.52%,257260,0
05/09/2022,20.66,21.62,17.9,19.8,-1.43,-6.74%,364960,0
05/02/2022,25.08,26.08,20.83,21.23,-3.88,-15.45%,306040,0
04/25/2022,24.16,25.69,23.11,25.11,0.64,+2.62%,199840,0
04/18/2022,25.83,26.59,24.28,24.47,-1.56,-5.99%,198580,0
04/11/2022,26.56,26.56,24.67,26.03,-0.5,-1.88%,166900,0
04/04/2022,29.64,30.945,26.14,26.53,-2.87,-9.76%,395220,0
03/28/2022,26.03,29.6,24.88,29.4,3.65,+14.17%,364120,0
03/21/2022,24.19,26.57,21.76,25.75,1.67,+6.94%,290540,0
03/14/2022,22.35,25.44,21.38,24.08,1.84,+8.27%,518780,0
03/07/2022,20.6,23.36,20.48,22.24,1.64,+7.96%,183560,0
02/28/2022,20.42,21.46,19.79,20.6,0.05,+0.24%,571860,0
02/21/2022,18.2,21.31,18.01,20.55,2.28,+12.48%,534525,0
02/14/2022,18.58,20.785,18.05,18.27,-0.21,-1.14%,181020,0
02/07/2022,16.99,19.45,16.9,18.48,1.51,+8.90%,236260,0
01/31/2022,17.47,18.6,16.225,16.97,-0.54,-3.08%,327540,0
01/24/2022,18.01,19.84,16.33,17.51,-1.06,-5.71%,145560,0
01/17/2022,19.74,20,17.98,18.57,-1.29,-6.50%,118130,0
01/10/2022,20.82,21.525,18.1,19.86,-1.05,-5.02%,112280,0
01/03/2022,22.93,23.88,20.78,20.91,-1.62,-7.19%,224940,0
12/27/2021,22.09,23.24,20.7915,22.53,0.28,+1.26%,250080,0
12/20/2021,19.01,23.48,18.785,22.25,3.22,+16.92%,261200,0
12/13/2021,18.75,20.31,17.9,19.03,0.24,+1.28%,337680,0
12/06/2021,17.11,20.53,16.34,18.79,1.86,+10.99%,391703,0
11/29/2021,19.08,19.3099,16.53,16.93,-1.9,-10.09%,103320,0
11/22/2021,20.39,20.39,18.06,18.83,-1.56,-7.65%,80651,0
11/15/2021,23.03,23.1383,19.81,20.39,-2.43,-10.65%,121700,0
11/08/2021,26.44,27.255,22.62,22.82,-3.47,-13.20%,54180,0
11/01/2021,23.34,26.4,23.34,26.29,2.82,+12.02%,74620,0
10/25/2021,23.82,24.41,22.78,23.47,-0.35,-1.47%,66920,0
10/18/2021,23.54,24.69,22.82,23.82,0.19,+0.80%,57360,0
10/11/2021,26.16,26.201,23.38,23.63,-2.54,-9.71%,57580,0
10/04/2021,26.65,27.7,25.12,26.17,-0.57,-2.13%,78640,0
09/27/2021,29.25,29.6549,25.48,26.74,-2.36,-8.11%,109060,0
09/20/2021,27.22,29.55,26.658,29.1,1.54,+5.59%,90200,0
09/13/2021,26.22,28.5,25.92,27.56,1.54,+5.92%,198440,0
09/06/2021,24.35,26.64,24.2201,26.02,1.62,+6.64%,89875,0
08/30/2021,24.2,25.005,23.28,24.4,0.21,+0.87%,111480,0
08/23/2021,22.5,24.88,22.49,24.19,1.76,+7.85%,147300,0
08/16/2021,22.85,24.35,21.36,22.43,-0.42,-1.84%,183660,0
