Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,26.98,27.82,25.9601,26.33,-1.59,-5.69%,3826175,0
02/27/2023,26.23,28.25,25.03,27.92,-0.34,-1.20%,8417060,0
02/20/2023,23.17,29.77,22.61,28.26,4.86,+20.77%,11138900,0
02/13/2023,25.16,26.715,23.115,23.4,-2.11,-8.27%,6915580,0
02/06/2023,24.16,25.52,23.05,25.51,1.51,+6.29%,5659360,0
01/30/2023,24.57,25.41,23.805,24,-1.29,-5.10%,3771640,0
01/23/2023,26.62,27.01,24.07,25.29,-1.24,-4.67%,4125680,0
01/16/2023,25.77,26.835,25.17,26.53,1.35,+5.36%,4600475,0
01/09/2023,24.66,25.86,23.895,25.18,1.32,+5.53%,3407720,0
01/02/2023,24.31,24.76,22.85,23.86,-1.16,-4.64%,4362800,0
12/26/2022,26.65,26.813,24.17,25.02,-1.37,-5.19%,2860300,0
12/19/2022,26.08,26.75,24.93,26.39,-0.16,-0.60%,2870380,0
12/12/2022,26.32,27.72,25.65,26.55,1.33,+5.27%,4953100,0
12/05/2022,26.6,26.95,24.57,25.22,-1.62,-6.04%,4228300,0
11/28/2022,28.46,29.5,26.785,26.84,-2.78,-9.39%,3014560,0
11/21/2022,27.68,31.48,27.27,29.62,1.42,+5.04%,3615525,0
11/14/2022,29.74,29.83,27.18,28.2,-0.82,-2.83%,3264280,0
11/07/2022,29.13,30.275,26.5114,29.02,1,+3.57%,3715240,0
10/31/2022,27.85,29.11,26.67,28.02,0.89,+3.28%,3850200,0
10/24/2022,26,29.18,25.605,27.13,1.28,+4.95%,5543480,0
10/17/2022,26.74,28.8,25.045,25.85,-1.06,-3.94%,4595040,0
10/10/2022,27.3,28.9,26.26,26.91,-0.18,-0.66%,3383180,0
10/03/2022,25.44,29.34,25.44,27.09,1.83,+7.24%,4861700,0
09/26/2022,25.02,25.51,23.385,25.26,0.26,+1.04%,5794300,0
09/19/2022,28.67,30.87,24.545,25,-4.69,-15.80%,4247000,0
09/12/2022,31.53,33.72,28.98,29.69,-1.42,-4.56%,4503380,0
