Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/30/2023,32.47,33.66,31.42,33.36,0.71,+2.17%,1554820,0
01/23/2023,31.9,33.14,30.99,32.65,0.73,+2.29%,711500,0
01/16/2023,32.67,32.96,30.575,31.92,-0.84,-2.56%,566325,0
01/09/2023,31.97,33.09,31.64,32.76,0.86,+2.70%,340640,0
01/02/2023,31.43,32.19,30.51,31.9,0.71,+2.28%,370450,0
12/26/2022,31.76,32.05,30.87,31.19,-0.4,-1.27%,351975,0
12/19/2022,30.06,31.82,29.6875,31.59,1.51,+5.02%,521803,0
12/12/2022,32.82,33.57,29.13,30.08,-2.73,-8.32%,1289640,0
12/05/2022,34.6,34.94,32.18,32.81,-2.13,-6.10%,701600,0
11/28/2022,33.84,34.96,33.22,34.94,0.93,+2.73%,525360,0
11/21/2022,32.62,34.27,32.48,34.01,1.26,+3.85%,365650,0
11/14/2022,33.02,33.2,31.36,32.75,0.03,+0.09%,539480,0
11/07/2022,30.85,33.26,30.85,32.72,1.61,+5.18%,554920,0
10/31/2022,30.86,31.175,29.54,31.11,0.11,+0.35%,541340,0
10/24/2022,30.81,31.06,29.05,31,0.37,+1.21%,638580,0
10/17/2022,31.89,32.91,30.32,30.63,-0.83,-2.64%,377500,0
10/10/2022,30.96,32.0575,29.45,31.46,0.63,+2.04%,244820,0
10/03/2022,30.55,32.115,30.14,30.83,0.6,+1.98%,251420,0
09/26/2022,31.27,31.63,30.12,30.23,-1.21,-3.85%,368160,0
09/19/2022,31.7,33.1,31.07,31.44,-0.45,-1.41%,265500,0
09/12/2022,31.97,32.45,31.01,31.89,0.02,+0.06%,407920,0
09/05/2022,32.35,32.36,31.1,31.87,-0.41,-1.27%,353875,0
08/29/2022,32.9,33.09,31.79,32.28,-1.03,-3.09%,261120,0
08/22/2022,34.61,34.61,33.2,33.31,-1.76,-5.02%,201700,0
08/15/2022,35.04,35.9,34.74,35.07,-0.18,-0.51%,358140,0
08/08/2022,36.2,36.33,34.08,35.25,-1.5,-4.08%,729020,0
08/01/2022,35.63,36.92,35.28,36.75,0.97,+2.71%,200360,0
07/25/2022,34.05,35.99,33.9,35.78,2,+5.92%,230580,0
07/18/2022,33.01,34.46,32.5,33.78,1.13,+3.46%,243640,0
07/11/2022,33.28,33.5,31.17,32.65,-0.74,-2.22%,202060,0
07/04/2022,33.05,33.78,32.32,33.39,-0.22,-0.65%,328950,0
06/27/2022,33.36,34.21,32.33,33.61,0.63,+1.91%,304560,0
06/20/2022,32.96,33.915,31.8917,32.98,0.36,+1.10%,492475,0
06/13/2022,31.34,32.94,30.82,32.62,0.69,+2.16%,494180,0
06/06/2022,34.5,35.04,31.66,31.93,-2.32,-6.77%,244380,0
05/30/2022,34.22,34.655,33.44,34.25,-0.21,-0.61%,246025,0
05/23/2022,32.86,34.52,32.66,34.46,2.06,+6.36%,211440,0
05/16/2022,32.8,33.48,31.63,32.4,-0.57,-1.73%,287680,0
05/09/2022,33.68,34.235,31.81,32.97,-0.94,-2.77%,280245,0
05/02/2022,32.68,34.86,32.37,33.91,1.41,+4.34%,280400,0
04/25/2022,33.64,34.3,32.35,32.5,-1.51,-4.44%,281260,0
04/18/2022,33.14,35.81,32.5,34.01,1.14,+3.47%,266120,0
04/11/2022,33.28,34.15,32.72,32.87,-0.46,-1.38%,235975,0
04/04/2022,34.12,35.96,32.751,33.33,-1.01,-2.94%,349200,0
03/28/2022,35.5,36.85,34.2,34.34,-1.66,-4.61%,473760,0
03/21/2022,35.96,36.63,34.28,36,0.18,+0.50%,242780,0
03/14/2022,35.52,36.68,34.84,35.82,0.88,+2.52%,760140,0
03/07/2022,33.45,35.62,32.4,34.94,1.19,+3.53%,461500,0
02/28/2022,36.34,36.8,33.38,33.75,-3.05,-8.29%,501020,0
02/21/2022,37.21,37.6125,34.53,36.8,-0.41,-1.10%,332425,0
02/14/2022,37.17,38.055,36.44,37.21,0.23,+0.62%,244800,0
02/07/2022,35.91,38.01,35.42,36.98,1.12,+3.12%,365940,0
01/31/2022,36.27,36.68,35.46,35.86,-0.83,-2.26%,306860,0
01/24/2022,36.61,38.74,35.59,36.69,-0.46,-1.24%,381880,0
01/17/2022,38.62,39.31,36.67,37.15,-2,-5.11%,494400,0
01/10/2022,38.54,39.22,37.13,39.15,0.99,+2.59%,333860,0
01/03/2022,35.66,38.37,35.305,38.16,2.77,+7.83%,209520,0
12/27/2021,34.58,35.985,32.8543,35.39,0.85,+2.46%,153640,0
12/20/2021,33.07,34.95,32.42,34.54,1.25,+3.75%,217475,0
12/13/2021,34.16,34.51,32.38,33.29,-1.13,-3.28%,696880,0
12/06/2021,35.2,35.98,33.75,34.42,-0.38,-1.09%,216080,0
11/29/2021,34.97,35.74,33.49,34.8,0.31,+0.90%,268520,0
11/22/2021,36.92,37.78,33.6442,34.49,-2.29,-6.23%,239057,0
11/15/2021,37.24,37.74,36.17,36.78,-0.44,-1.18%,216542,0
11/08/2021,38,38.48,35.895,37.22,-0.63,-1.66%,284540,0
11/01/2021,36.67,38,36.23,37.85,1.42,+3.90%,248082,0
