Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,32.42,32.82,27.6,28.53,-4.41,-13.39%,377140,0
03/06/2023,35.63,35.63,32.39,32.94,-2.7,-7.58%,281720,0
02/27/2023,32.24,36.52,32.07,35.64,3.69,+11.55%,411560,0
02/20/2023,33.81,34.21,31.09,31.95,-1.91,-5.64%,172475,0
02/13/2023,31.36,34,30.96,33.86,2.32,+7.36%,269520,0
02/06/2023,33.4,34.785,30.52,31.54,-2.15,-6.38%,389880,0
01/30/2023,33.56,34.8,33.14,33.69,-0.55,-1.61%,231220,0
01/23/2023,34.18,34.78,32.32,34.24,0.17,+0.50%,199480,0
01/16/2023,34.1,35.19,33.015,34.07,-0.32,-0.93%,215525,0
01/09/2023,32.35,35.28,30.77,34.39,2.28,+7.10%,223920,0
01/02/2023,30.97,32.61,30.55,32.11,1.46,+4.76%,220875,0
12/26/2022,31.15,32.12,30.3656,30.65,-0.29,-0.94%,180975,0
12/19/2022,32.79,32.79,29.99,30.94,-1.49,-4.59%,164780,0
12/12/2022,32.72,34.59,31.39,32.43,-0.3,-0.92%,475380,0
12/05/2022,34.78,35.105,32.68,32.73,-1.99,-5.73%,134620,0
11/28/2022,32.98,34.79,32.45,34.72,1.27,+3.80%,144540,0
11/21/2022,32.01,34.42,31.7567,33.45,0.9,+2.76%,121400,0
11/14/2022,31.38,33.45,31.17,32.55,0.75,+2.36%,174560,0
11/07/2022,27.97,32.65,27,31.8,3.83,+13.69%,220340,0
10/31/2022,27.47,28.57,25.96,27.97,0.22,+0.79%,217500,0
10/24/2022,28.55,31.49,26.62,27.75,-3.44,-11.03%,274560,0
10/17/2022,29.14,31.36,28.485,31.19,2.63,+9.21%,150020,0
10/10/2022,28.39,29.98,27,28.56,0.42,+1.49%,137500,0
10/03/2022,29.27,32.54,28.0401,28.14,-0.32,-1.12%,206482,0
09/26/2022,28.29,30.52,28.29,28.46,-0.31,-1.08%,136281,0
09/19/2022,30.87,32.26,28.29,28.77,-2.26,-7.28%,166206,0
09/12/2022,34.73,36.22,30.44,31.03,-2.99,-8.79%,228260,0
09/05/2022,32.75,34.21,31.555,34.02,1.75,+5.42%,141825,0
08/29/2022,35.53,36.04,31.55,32.27,-3.64,-10.14%,155820,0
08/22/2022,34.73,37.5845,34.14,35.91,0.66,+1.87%,128920,0
08/15/2022,36.34,36.98,35.0154,35.25,-2.08,-5.57%,115640,0
08/08/2022,36.19,37.67,34.48,37.33,1.65,+4.62%,132680,0
08/01/2022,35.17,35.94,33.495,35.68,0.12,+0.34%,159700,0
07/25/2022,33.38,35.95,33.0903,35.56,2.57,+7.79%,149600,0
07/18/2022,34.31,34.95,32.915,32.99,-0.59,-1.76%,158780,0
07/11/2022,33.15,34.73,32.3101,33.58,-0.08,-0.24%,243280,0
07/04/2022,31.15,33.84,29.79,33.66,1.35,+4.18%,390317,0
06/27/2022,33.41,35.93,31.43,32.31,-0.6,-1.82%,384620,0
06/20/2022,35.78,36.41,32.16,32.91,-2.27,-6.45%,531075,0
06/13/2022,37.31,38.23,34.87,35.18,-4.06,-10.35%,221560,0
06/06/2022,42.03,44.605,37.74,39.24,-2.27,-5.47%,195200,0
05/30/2022,40.91,43.22,39.945,41.51,-0.02,-0.05%,364976,0
05/23/2022,36.7,41.7,36.19,41.53,5.63,+15.68%,210180,0
05/16/2022,37.55,39.16,34.37,35.9,-1.5,-4.01%,391360,0
05/09/2022,38.74,39.94,35.53,37.4,-2.37,-5.96%,348860,0
05/02/2022,45.17,46.2019,39.1201,39.77,-5.86,-12.84%,257460,0
04/25/2022,50.17,50.8,45.31,45.63,-5.95,-11.54%,377920,0
04/18/2022,54.89,59.7,50.83,51.58,-3.08,-5.63%,279540,0
04/11/2022,51.74,55.36,50.765,54.66,2.84,+5.48%,270850,0
04/04/2022,51.98,53.11,48.05,51.82,-0.06,-0.12%,359520,0
03/28/2022,54.6,54.98,50.9025,51.88,-2.95,-5.38%,299340,0
03/21/2022,48.68,56.1,47.7433,54.83,7.51,+15.87%,334120,0
03/14/2022,49.16,49.71,45.42,47.32,-2.09,-4.23%,394820,0
03/07/2022,50.7,52.15,46.79,49.41,-1.55,-3.04%,356720,0
02/28/2022,44.93,52,44.0101,50.96,5.89,+13.07%,513920,0
02/21/2022,42.18,45.37,39.05,45.07,2.92,+6.93%,277875,0
02/14/2022,40.07,42.5,39.07,42.15,1.99,+4.96%,167180,0
02/07/2022,39.1,41.45,38.35,40.16,1.08,+2.76%,208640,0
01/31/2022,37.45,40.48,37.35,39.08,1.28,+3.39%,287660,0
01/24/2022,36,39.78,35.34,37.8,0.53,+1.42%,300200,0
01/17/2022,42.23,42.35,37.12,37.27,-5.46,-12.78%,346500,0
01/10/2022,48.05,48.4238,42.42,42.73,-6.03,-12.37%,300200,0
01/03/2022,52.19,55.9,45.2452,48.76,-3.16,-6.09%,500860,0
12/27/2021,51.74,53.1,50.58,51.92,0.65,+1.27%,136920,0
12/20/2021,48.71,51.69,46.79,51.27,1.6,+3.22%,165375,0
12/13/2021,48.62,50.87,45.9,49.67,0.76,+1.55%,436220,0
12/06/2021,47.9,51.2855,47.25,48.91,1.77,+3.75%,200160,0
11/29/2021,52.76,52.78,46.59,47.14,-5.01,-9.61%,264440,0
11/22/2021,54.21,57.85,50.59,52.15,-1.71,-3.17%,128100,0
11/15/2021,56.8,57.26,52.42,53.86,-2.95,-5.19%,176140,0
11/08/2021,53.99,57.19,52.61,56.81,4.42,+8.44%,230720,0
11/01/2021,54.52,54.625,50.58,52.39,-1.41,-2.62%,210880,0
10/25/2021,55.29,58.23,53.055,53.8,-1.24,-2.25%,247460,0
10/18/2021,50.29,55.2784,49.5907,55.04,3.8,+7.42%,229280,0
10/11/2021,48.89,52.34,48.21,51.24,2.82,+5.82%,208960,0
10/04/2021,45.47,48.75,44.18,48.42,3.14,+6.93%,261180,0
09/27/2021,41.88,45.73,41.29,45.28,3.85,+9.29%,295780,0
09/20/2021,38.95,42.17,38.4,41.43,0.44,+1.07%,207080,0
09/13/2021,45.85,46.09,40.75,40.99,-4.15,-9.19%,320140,0
09/06/2021,47.43,48.18,44.71,45.14,-2.25,-4.75%,217650,0
08/30/2021,48.76,49.14,45.28,47.39,-1.08,-2.23%,215060,0
08/23/2021,48.87,51.04,46.77,48.47,0.25,+0.52%,191240,0
08/16/2021,54.84,54.84,48.04,48.22,-7.46,-13.40%,244560,0
08/09/2021,50.61,56.57,49.6837,55.68,4.61,+9.03%,273740,0
08/02/2021,53.22,53.61,48.96,51.07,-1.35,-2.58%,189900,0
07/26/2021,51.18,53.7,49.6043,52.42,1.4,+2.74%,217540,0
07/19/2021,49.1,51.12,45.61,51.02,-0.18,-0.35%,367320,0
07/12/2021,51.99,52.63,49.78,51.2,-0.96,-1.84%,436960,0
07/05/2021,49.18,52.325,47.1001,52.16,3.29,+6.73%,327500,0
06/28/2021,49.12,50.052,46.87,48.87,0.3,+0.62%,356280,0
06/21/2021,47.78,50.64,47.01,48.57,1.67,+3.56%,429380,0
06/14/2021,55.39,55.635,46.5,46.9,-8.99,-16.09%,510720,0
06/07/2021,57,57.89,54.86,55.89,-0.97,-1.71%,210080,0
05/31/2021,56.29,59.3449,54.82,56.86,2.38,+4.37%,415875,0
05/24/2021,53.62,56.3,52.5,54.48,0.9,+1.68%,288160,0
05/17/2021,54.51,56.95,51.83,53.58,-0.93,-1.71%,353420,0
05/10/2021,56.5,56.99,52.2,54.51,-1.17,-2.10%,493400,0
05/03/2021,47.83,55.9835,47.28,55.68,8.47,+17.94%,503840,0
04/26/2021,44.77,48.39,44.4893,47.21,3.14,+7.13%,284820,0
04/19/2021,41.16,44.36,40.11,44.07,2.75,+6.66%,394140,0
04/12/2021,39.8,41.61,38.04,41.32,1.91,+4.85%,241980,0
04/05/2021,43.6,44.6206,38.01,39.41,-3.37,-7.88%,441840,0
03/29/2021,42.85,43.78,40.54,42.78,-0.61,-1.41%,290875,0
03/22/2021,41.3,43.53,38.14,43.39,2.3,+5.60%,321360,0
03/15/2021,44.48,45.8899,40.65,41.09,-3.59,-8.03%,469100,0
03/08/2021,39.52,46.86,39.2591,44.68,5.69,+14.59%,444100,0
03/01/2021,35.25,39.25,35.25,38.99,4.45,+12.88%,245440,0
02/22/2021,35.28,38.26,33.69,34.54,-1.22,-3.41%,249240,0
02/15/2021,35.25,36.28,33.315,35.76,0.9,+2.58%,227650,0
02/08/2021,33.17,35.09,33,34.86,2.46,+7.59%,234500,0
02/01/2021,30.36,32.6,29.68,32.4,2.88,+9.76%,233080,0
01/25/2021,31.92,31.92,27.72,29.52,-2.07,-6.55%,321980,0
01/18/2021,32.77,33.16,30.13,31.59,-0.52,-1.62%,275350,0
01/11/2021,36.1267,37.395,31.36,32.11,-5.07,-13.64%,380640,0
01/04/2021,32.36,42.185,31.53,37.18,5.27,+16.52%,442620,0
12/28/2020,31.3,32.06,29.56,31.91,0.91,+2.94%,159250,0
12/21/2020,29.57,31.37,29.21,31,0.98,+3.26%,148050,0
12/14/2020,29.97,31.49,29.04,30.02,0.52,+1.76%,291820,0
12/07/2020,27.57,30.47,26.51,29.5,1.92,+6.96%,217440,0
11/30/2020,26.1,27.74,25.09,27.58,1.11,+4.19%,131280,0
11/23/2020,25.19,27.37,25.11,26.47,1.65,+6.65%,178450,0
11/16/2020,24.07,25.23,23.36,24.82,1.24,+5.26%,148720,0
11/09/2020,21.74,23.74,21.32,23.58,3.32,+16.39%,216280,0
11/02/2020,21.09,22.06,19.41,20.26,-0.74,-3.52%,153040,0
10/26/2020,21.04,21.2306,19.35,21,-0.38,-1.78%,194380,0
10/19/2020,21.46,22.97,21,21.38,0.09,+0.42%,206300,0
10/12/2020,21.02,21.35,20.14,21.29,0.2,+0.95%,140240,0
10/05/2020,19.8,21.43,19.76,21.09,1.42,+7.22%,183500,0
09/28/2020,19.61,20.29,18.78,19.67,0.41,+2.13%,238680,0
09/21/2020,20.84,20.84,18.9,19.26,-1.99,-9.36%,206220,0
09/14/2020,20.05,21.79,19.41,21.25,1.31,+6.57%,521720,0
09/07/2020,20.57,20.94,19.36,19.94,-1.12,-5.32%,306550,0
08/31/2020,20.12,21.24,19.08,21.06,0.94,+4.67%,245120,0
08/24/2020,19.14,20.25,18.9886,20.12,1.15,+6.06%,169600,0
08/17/2020,19.68,19.94,18.61,18.97,-0.56,-2.87%,178640,0
08/10/2020,19.27,20.83,19.1902,19.53,0.37,+1.93%,204340,0
08/03/2020,18.81,19.59,18.45,19.16,0.76,+4.13%,184840,0
07/27/2020,18.06,19.09,17.62,18.4,0.46,+2.56%,203460,0
07/20/2020,17.55,18.22,16.82,17.94,0.45,+2.57%,198240,0
07/13/2020,16.44,17.98,16.02,17.49,1.33,+8.23%,217860,0
07/06/2020,17.23,17.28,15.47,16.16,-0.69,-4.09%,322780,0
06/29/2020,16.88,18.4899,16.44,16.85,0.31,+1.87%,551750,0
06/22/2020,17.44,18.59,16.31,16.54,-0.91,-5.21%,390880,0
06/15/2020,16.23,18.51,16.03,17.45,0.54,+3.19%,535240,0
06/08/2020,18.13,18.31,15.55,16.91,-0.92,-5.16%,195080,0
06/01/2020,15.86,18.4,15.46,17.83,2.13,+13.57%,152500,0
05/25/2020,15.25,16.5,14.91,15.7,0.97,+6.59%,232800,0
05/18/2020,14.25,15.78,14.23,14.73,1.12,+8.23%,137960,0
05/11/2020,15.38,15.69,12.93,13.61,-2.09,-13.31%,190300,0
05/04/2020,15.22,15.91,14.28,15.7,0.37,+2.41%,136700,0
04/27/2020,13.71,16.4,13.595,15.33,1.7,+12.47%,204980,0
04/20/2020,13.86,14.61,13.33,13.63,-0.62,-4.35%,182440,0
04/13/2020,15.56,15.56,13.29,14.25,-1.38,-8.83%,230000,0
04/06/2020,12.35,15.97,11.99,15.63,3.76,+31.68%,332325,0
03/30/2020,11.04,13.69,11,11.87,0.66,+5.89%,276740,0
03/23/2020,11.8,13.11,11.03,11.21,-0.72,-6.04%,350520,0
03/16/2020,12.62,14.25,10.09,11.93,-2.26,-15.93%,347260,0
03/09/2020,15.28,15.78,12.625,14.19,-1.99,-12.30%,263940,0
03/02/2020,16.57,17.17,15.4,16.18,-0.3,-1.82%,205920,0
02/24/2020,16.36,16.93,15.53,16.48,-0.73,-4.24%,282940,0
02/17/2020,17.36,18.18,16.93,17.21,-0.28,-1.60%,196475,0
02/10/2020,16.96,18.39,16.885,17.49,0.41,+2.40%,230960,0
02/03/2020,16.15,17.82,16.04,17.08,1,+6.22%,380160,0
01/27/2020,18.61,18.67,16.05,16.08,-2.71,-14.42%,336580,0
01/20/2020,20.56,20.625,18.67,18.79,-1.94,-9.36%,377925,0
01/13/2020,20.58,21.36,20.58,20.73,0.08,+0.39%,251460,0
01/06/2020,21.76,21.92,20.35,20.65,-0.99,-4.57%,351580,0
12/30/2019,22.1,22.14,21.24,21.64,-0.35,-1.59%,134925,0
12/23/2019,21.85,22.41,21.52,21.99,0.08,+0.37%,158500,0
12/16/2019,21.8,22.32,21.67,21.91,0.39,+1.81%,203500,0
12/09/2019,22.2,22.56,21.44,21.52,-0.62,-2.80%,168600,0
12/02/2019,21.7,22.47,20.9,22.14,0.59,+2.74%,211120,0
11/25/2019,21.14,22.3,21.01,21.55,0.54,+2.57%,241575,0
11/18/2019,20.67,21.38,20.39,21.01,0.16,+0.77%,192680,0
11/11/2019,21.66,21.83,20.66,20.85,-1.11,-5.05%,165200,0
11/04/2019,22.26,22.49,21.2308,21.96,0.02,+0.09%,199720,0
10/28/2019,21.27,22.29,21.0351,21.94,0.85,+4.03%,251840,0
10/21/2019,20.86,21.99,20.16,21.09,0.53,+2.58%,233380,0
10/14/2019,20.3,20.8899,19.93,20.56,0.06,+0.29%,194020,0
10/07/2019,19.89,20.85,19,20.5,0.49,+2.45%,235480,0
09/30/2019,19.97,21.32,19.3,20.01,-0.11,-0.55%,196020,0
