Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,0.3956,0.436,0.371,0.4099,-0.0101,-2.40%,92100,0
03/06/2023,0.41,0.44,0.391,0.42,0,0.00%,44740,0
02/27/2023,0.404,0.437,0.3909,0.42,0.0199,+4.97%,69680,0
02/20/2023,0.45,0.46,0.38,0.4001,-0.0419,-9.48%,104325,0
02/13/2023,0.47,0.4825,0.4208,0.442,-0.022,-4.74%,49460,0
02/06/2023,0.48,0.5,0.45,0.464,-0.0262,-5.34%,83820,0
01/30/2023,0.5115,0.5269,0.4805,0.4902,-0.0371,-7.04%,220680,0
01/23/2023,0.51,0.53,0.48,0.5273,0.0112,+2.17%,106120,0
01/16/2023,0.53,0.54,0.5,0.5161,0.0061,+1.20%,144500,0
01/09/2023,0.5,0.549,0.4771,0.51,0.0103,+2.06%,203960,0
01/02/2023,0.471,0.51,0.44,0.4997,0.0286,+6.07%,187925,0
12/26/2022,0.44,0.4953,0.43,0.4711,0.0126,+2.75%,233350,0
12/19/2022,0.4355,0.47,0.4355,0.4585,0.0181,+4.11%,124980,0
12/12/2022,0.38,0.51,0.38,0.4404,0.0453,+11.47%,277000,0
12/05/2022,0.415,0.421,0.37,0.3951,-0.0276,-6.53%,131580,0
11/28/2022,0.4123,0.49,0.4122,0.4227,-0.0123,-2.83%,108640,0
11/21/2022,0.4011,0.448,0.3996,0.435,0.01,+2.35%,66375,0
11/14/2022,0.3915,0.44,0.388,0.425,0.0125,+3.03%,104180,0
11/07/2022,0.4,0.44,0.39,0.4125,0.0124,+3.10%,123040,0
10/31/2022,0.4183,0.4199,0.391,0.4001,-0.0099,-2.41%,83660,0
10/24/2022,0.4,0.43,0.3866,0.41,-0.0144,-3.39%,132940,0
10/17/2022,0.4026,0.4291,0.37,0.4244,0.0254,+6.37%,146580,0
10/10/2022,0.44,0.4447,0.3855,0.399,-0.0421,-9.54%,239980,0
10/03/2022,0.43,0.46,0.42,0.4411,0.0111,+2.58%,131640,0
09/26/2022,0.4516,0.46,0.415,0.43,-0.0149,-3.35%,96000,0
09/19/2022,0.47,0.539,0.42,0.4449,-0.0352,-7.33%,198920,0
09/12/2022,0.44,0.5199,0.437,0.4801,0.0401,+9.11%,624840,0
09/05/2022,0.5,0.51,0.4302,0.44,-0.0683,-13.44%,268725,0
08/29/2022,0.55,0.56,0.48,0.5083,-0.0267,-4.99%,146480,0
08/22/2022,0.57,0.5938,0.5051,0.535,-0.0128,-2.34%,174900,0
08/15/2022,0.5601,0.6099,0.5406,0.5478,-0.0273,-4.75%,156580,0
08/08/2022,0.6197,0.63,0.5428,0.5751,-0.0351,-5.75%,284140,0
08/01/2022,0.57,0.63,0.5543,0.6102,0.0269,+4.61%,241400,0
07/25/2022,0.61,0.6386,0.53,0.5833,-0.0412,-6.60%,219240,0
07/18/2022,0.6,0.662,0.5802,0.6245,0.0277,+4.64%,442340,0
07/11/2022,0.56,0.5975,0.5,0.5968,0.024,+4.19%,722600,0
07/04/2022,0.59,0.5956,0.5601,0.5728,-0.0182,-3.08%,369150,0
06/27/2022,0.59,0.6249,0.58,0.591,0.0072,+1.23%,606940,0
06/20/2022,0.56,0.6,0.5355,0.5838,0.0244,+4.36%,945450,0
06/13/2022,0.686,0.7059,0.3801,0.5594,-0.1635,-22.62%,5482180,0
06/06/2022,0.74,0.9184,0.6701,0.7229,-0.0287,-3.82%,3019100,0
05/30/2022,0.7644,0.7938,0.7002,0.7516,-0.0439,-5.52%,690025,0
05/23/2022,0.77,0.8589,0.6769,0.7955,0.0187,+2.41%,1714280,0
05/16/2022,0.82,0.86,0.7542,0.7768,-0.0683,-8.08%,512040,0
05/09/2022,0.91,0.9299,0.75,0.8451,-0.085,-9.14%,1289760,0
05/02/2022,1.05,1.09,0.88,0.9301,-0.1599,-14.67%,1765360,0
04/25/2022,1.14,1.17,1.02,1.09,-0.05,-4.39%,1685380,0
04/18/2022,1.16,1.22,1.1,1.14,-0.03,-2.56%,1923680,0
04/11/2022,1.19,1.22,1.07,1.17,-0.05,-4.10%,3603475,0
04/04/2022,1.13,1.35,1.08,1.22,0.1,+8.93%,7016760,0
03/28/2022,1.23,1.3,1.09,1.12,-0.13,-10.40%,2561020,0
03/21/2022,1.4,1.58,1.16,1.25,-0.13,-9.42%,5888140,0
03/14/2022,1.15,1.43,1.072,1.38,0.25,+22.12%,2874740,0
03/07/2022,1.15,1.2,1.02,1.13,-0.02,-1.74%,1965079,0
02/28/2022,1.22,1.33,1.1,1.15,-0.09,-7.26%,2428400,0
02/21/2022,1.08,1.36,1.04,1.24,0.18,+16.98%,4872275,0
02/14/2022,1.14,1.18,1.03,1.06,-0.1,-8.62%,1588620,0
02/07/2022,1.19,1.38,1.11,1.16,-0.02,-1.69%,3017380,0
01/31/2022,1.11,1.27,1.1001,1.18,0.05,+4.42%,2044060,0
01/24/2022,1.18,1.2397,1.01,1.13,-0.13,-10.32%,1980620,0
01/17/2022,1.48,1.51,1.19,1.26,-0.25,-16.56%,3072575,0
01/10/2022,1.5,1.67,1.455,1.51,0.03,+2.03%,2879640,0
01/03/2022,1.56,1.835,1.38,1.48,-0.12,-7.50%,6091460,0
12/27/2021,1.82,1.98,1.51,1.6,-0.23,-12.57%,11139320,0
12/20/2021,1.6,3.44,1.48,1.83,0.29,+18.83%,90317675,0
12/13/2021,0.7635,1.9,0.7624,1.54,0.7883,+104.87%,63106440,0
12/06/2021,0.7107,0.7676,0.66,0.7517,0.0363,+5.07%,333800,0
11/29/2021,0.87,0.905,0.657,0.7154,-0.0696,-8.87%,1346860,0
11/22/2021,0.7801,0.8201,0.7218,0.785,0.0025,+0.32%,284875,0
11/15/2021,0.8889,0.8898,0.78,0.7825,-0.0882,-10.13%,256840,0
11/08/2021,0.93,0.9499,0.86,0.8707,-0.0549,-5.93%,259100,0
11/01/2021,0.96,0.9999,0.9104,0.9256,-0.0255,-2.68%,428700,0
10/25/2021,0.99,0.99,0.9,0.9511,-0.0399,-4.03%,480460,0
10/18/2021,0.9858,1.02,0.9605,0.991,0.0022,+0.22%,454500,0
10/11/2021,1.03,1.03,0.98,0.9888,-0.0212,-2.10%,344420,0
10/04/2021,1.05,1.06,1.01,1.01,-0.06,-5.61%,220760,0
09/27/2021,1.05,1.1,1.05,1.07,0.01,+0.94%,185920,0
09/20/2021,1.05,1.12,1.01,1.06,-0.01,-0.93%,493720,0
09/13/2021,1.1,1.26,1.05,1.07,-0.04,-3.60%,1594000,0
09/06/2021,1.04,1.12,1.03,1.11,0.08,+7.77%,392900,0
08/30/2021,1.04,1.082,1.02,1.03,0,0.00%,219220,0
08/23/2021,0.98,1.055,0.9725,1.03,0.0418,+4.23%,232440,0
08/16/2021,1.02,1.02,0.9502,0.9882,-0.0318,-3.12%,336140,0
08/09/2021,1.13,1.13,1,1.02,-0.04,-3.77%,672080,0
08/02/2021,1.11,1.14,1.03,1.06,-0.05,-4.50%,330880,0
07/26/2021,1.08,1.1353,1.04,1.11,0.04,+3.74%,354580,0
07/19/2021,1.05,1.15,1.03,1.07,0.01,+0.94%,518020,0
07/12/2021,1.16,1.176,1.06,1.06,-0.13,-10.92%,555520,0
07/05/2021,1.18,1.27,1.09,1.19,0,0.00%,1052825,0
06/28/2021,1.38,1.43,1.17,1.19,-0.17,-12.50%,2206600,0
06/21/2021,1.06,1.42,1.03,1.36,0.31,+29.52%,8854280,0
06/14/2021,1.13,1.17,1.05,1.05,-0.09,-7.89%,1156600,0
06/07/2021,1.15,1.245,1.1,1.14,-0.01,-0.87%,1481940,0
05/31/2021,1.15,1.245,1.13,1.15,-0.01,-0.86%,1112500,0
05/24/2021,1.16,1.2,1.09,1.16,0.01,+0.87%,783280,0
05/17/2021,1.06,1.18,1.04,1.15,0.06,+5.50%,1001900,0
05/10/2021,1.06,1.14,0.9597,1.09,0.01,+0.93%,1292460,0
05/03/2021,1.15,1.24,1.01,1.08,-0.04,-3.57%,2370380,0
04/26/2021,1.14,1.19,1.09,1.12,-0.04,-3.45%,1896480,0
04/19/2021,1.01,1.25,0.9411,1.16,0.13,+12.62%,11464880,0
04/12/2021,1.51,1.55,0.86,1.03,-0.4,-27.97%,11744780,0
04/05/2021,1.52,1.75,1.36,1.43,-0.12,-7.74%,11224900,0
03/29/2021,1.34,2.15,1.28,1.55,0.52,+50.49%,119932402,0
03/22/2021,1.25,1.26,0.98,1.03,-0.21,-16.94%,771380,0
03/15/2021,1.24,1.4,1.2,1.24,0.03,+2.48%,1001700,0
03/08/2021,1.08,1.26,1.02,1.21,0.13,+12.04%,638960,0
03/01/2021,1.18,1.26,0.9501,1.08,-0.1,-8.47%,1100280,0
02/22/2021,1.36,1.46,1.12,1.18,-0.17,-12.59%,1298260,0
02/15/2021,1.56,1.58,1.29,1.35,-0.1,-6.90%,1826200,0
02/08/2021,1.34,1.49,1.25,1.45,0.17,+13.28%,2381420,0
02/01/2021,1.17,1.31,1.11,1.28,0.1,+8.47%,1712560,0
01/25/2021,1.34,1.38,1.15,1.18,-0.11,-8.53%,1732460,0
01/18/2021,1.54,1.77,1.25,1.29,-0.31,-19.38%,3265750,0
01/11/2021,1.23,1.78,1.03,1.6,0.33,+25.98%,5249180,0
01/04/2021,1.44,1.47,1.17,1.27,-0.13,-9.29%,680960,0
12/28/2020,0.89,1.58,0.8899,1.4,0.5201,+59.11%,2652850,0
12/21/2020,0.8003,0.9198,0.771,0.8799,0.0899,+11.38%,439775,0
12/14/2020,0.9481,0.9765,0.7612,0.79,-0.14,-15.05%,376040,0
12/07/2020,0.9597,1.1,0.78,0.93,-0.0299,-3.11%,491880,0
11/30/2020,1.05,1.0599,0.87,0.9599,-0.0801,-7.70%,214780,0
11/23/2020,0.98,1.04,0.77,1.04,0.0458,+4.61%,356375,0
11/16/2020,0.83,1.07,0.8051,0.9942,0.1836,+22.65%,325640,0
11/09/2020,0.7499,0.8364,0.7102,0.8106,0.0838,+11.53%,218280,0
11/02/2020,0.7599,0.7839,0.7001,0.7268,-0.0232,-3.09%,214320,0
10/26/2020,0.8,0.81,0.69,0.75,-0.0442,-5.57%,344640,0
10/19/2020,0.8,0.8499,0.77,0.7942,-0.0702,-8.12%,356720,0
10/12/2020,0.8852,0.91,0.8006,0.8644,-0.0418,-4.61%,209320,0
