Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,32.72,32.93,30.505,30.62,-2.42,-7.32%,1253700,0
02/13/2023,32.66,33.36,31.98,33.04,0.46,+1.41%,999940,0
02/06/2023,32.85,33.17,32,32.58,-0.09,-0.28%,1079780,0
01/30/2023,32.13,33.07,31.07,32.67,0.46,+1.43%,1354000,0
01/23/2023,31.02,32.47,30.78,32.21,1.01,+3.24%,934860,0
01/16/2023,32.11,32.24,30.1,31.2,-0.8,-2.50%,1134725,0
01/09/2023,31.48,32.305,31.15,32,0.29,+0.91%,1056160,0
01/02/2023,32.43,32.58,30.17,31.71,-0.66,-2.04%,1929075,0
12/26/2022,33.59,33.955,32.25,32.37,-1.34,-3.98%,844800,0
12/19/2022,33.32,34.27,32.625,33.71,0.23,+0.69%,930840,0
12/12/2022,33.95,34.64,32.84,33.48,-0.27,-0.80%,1731680,0
12/05/2022,34.3,34.97,33.561,33.75,-0.77,-2.23%,878980,0
11/28/2022,33.18,34.79,33.06,34.52,1.13,+3.38%,1321620,0
11/21/2022,32.87,33.61,32.34,33.39,0.53,+1.61%,969500,0
11/14/2022,32.75,34.28,32.335,32.86,-0.24,-0.73%,1643640,0
11/07/2022,29.01,33.6,28.4,33.1,4.23,+14.65%,2911200,0
10/31/2022,29.6,29.8,28.25,28.87,-0.84,-2.83%,1461080,0
10/24/2022,27.5,30.08,26.58,29.71,2.54,+9.35%,1423440,0
10/17/2022,27.26,28.32,26.345,27.17,0.2,+0.74%,1675960,0
10/10/2022,26.94,28.905,26.805,26.97,0.26,+0.97%,1594680,0
10/03/2022,27.83,28.39,26.515,26.71,-1.04,-3.75%,1325840,0
09/26/2022,27.61,28.63,26.73,27.75,-0.02,-0.07%,1753100,0
09/19/2022,27.57,27.91,26.95,27.77,-0.09,-0.32%,1174280,0
09/12/2022,30.78,30.855,27.49,27.86,-2.77,-9.04%,1497340,0
09/05/2022,28.85,30.79,28.77,30.63,1.9,+6.61%,1321825,0
08/29/2022,29.58,29.7,28.54,28.73,-0.96,-3.23%,1129060,0
08/22/2022,31.2,31.65,29.52,29.69,-1.61,-5.14%,1244620,0
08/15/2022,28.85,31.48,28.84,31.3,2.11,+7.23%,1186440,0
08/08/2022,30.34,30.71,28.8381,29.19,-1.09,-3.60%,1836020,0
08/01/2022,27.52,31.49,26.785,30.28,2.64,+9.55%,2792840,0
