Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,2.99,3.315,2.625,2.655,-0.415,-13.52%,1675025,0
02/13/2023,3.05,3.18,2.92,3.07,0.02,+0.66%,1054420,0
02/06/2023,3.49,3.5582,2.96,3.05,-0.46,-13.11%,1014360,0
01/30/2023,3.57,3.73,3.37,3.51,-0.07,-1.96%,1274140,0
01/23/2023,3.44,3.605,3.35,3.58,0.14,+4.07%,896980,0
01/16/2023,3.65,3.66,3.3,3.44,-0.2,-5.49%,963975,0
01/09/2023,3.32,3.7575,3.135,3.64,0.33,+9.97%,1362900,0
01/02/2023,3.14,3.41,3.09,3.31,0.17,+5.41%,1344650,0
12/26/2022,2.93,3.16,2.721,3.14,0.17,+5.72%,1647100,0
12/19/2022,3.43,3.45,2.95,2.97,-0.47,-13.66%,1457040,0
12/12/2022,3.43,3.68,3.27,3.44,-0.01,-0.29%,2230900,0
12/05/2022,3.64,3.64,3.37,3.45,-0.2,-5.48%,1067300,0
11/28/2022,3.59,3.7,3.42,3.65,0.09,+2.53%,1368180,0
11/21/2022,3.61,3.69,3.49,3.56,-0.09,-2.47%,938625,0
11/14/2022,4.02,4.14,3.56,3.65,-0.38,-9.43%,1149700,0
11/07/2022,3.65,4.22,3.315,4.03,0.41,+11.33%,2226020,0
10/31/2022,4.4,4.51,3.43,3.62,-0.8,-18.10%,1139940,0
10/24/2022,4.33,4.53,4.1412,4.42,0.1,+2.31%,1168460,0
10/17/2022,4.72,4.95,4.2347,4.32,-0.31,-6.70%,1185000,0
10/10/2022,4.82,4.95,4.56,4.63,-0.21,-4.34%,1011340,0
10/03/2022,4.99,5.07,4.665,4.84,-0.06,-1.22%,1279620,0
09/26/2022,4.92,5.27,4.7525,4.9,-0.05,-1.01%,1471580,0
09/19/2022,5.21,5.38,4.84,4.95,-0.3,-5.71%,1439040,0
09/12/2022,5.73,5.8,5.24,5.25,-0.45,-7.89%,2119040,0
09/05/2022,5.52,5.88,5.3,5.7,0.17,+3.07%,1592725,0
08/29/2022,5.3,5.755,5.11,5.53,0.13,+2.41%,1610440,0
08/22/2022,5.6,6.07,5.35,5.4,-0.27,-4.76%,1189720,0
08/15/2022,6.25,6.42,5.62,5.67,-0.66,-10.43%,1454060,0
08/08/2022,5.23,6.39,5.05,6.33,1.13,+21.73%,1804900,0
08/01/2022,4.26,5.24,4.2,5.2,0.91,+21.21%,1687640,0
07/25/2022,4.5,4.5943,4.21,4.29,-0.21,-4.67%,1073560,0
