Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,38.47,42.985,38.09,41.91,3.37,+8.74%,145420,0
03/06/2023,39.54,39.65,37.75,38.54,-1.06,-2.68%,117360,0
02/27/2023,38.18,39.73,37.725,39.6,1.66,+4.38%,83480,0
02/20/2023,39.86,40.16,37.71,37.94,-2.59,-6.39%,122825,0
02/13/2023,39.37,40.77,38.705,40.53,1.22,+3.10%,87840,0
02/06/2023,42.25,42.55,39.07,39.31,-3.38,-7.92%,99320,0
01/30/2023,39.4,42.86,38.99,42.69,3.13,+7.91%,132080,0
01/23/2023,39.77,40.69,38.8,39.56,-0.21,-0.53%,69461,0
01/16/2023,40.13,40.74,37.7,39.77,-0.455,-1.13%,80925,0
01/09/2023,35.35,40.98,34.52,40.225,5.125,+14.60%,135000,0
01/02/2023,37.37,38.27,32.575,35.1,-1.47,-4.02%,293400,0
12/26/2022,37.94,38.31,35.58,36.57,-1.54,-4.04%,95200,0
12/19/2022,37.98,39.44,36.83,38.11,0.15,+0.40%,84420,0
12/12/2022,38.69,41.07,37.62,37.96,-0.64,-1.66%,113860,0
12/05/2022,41.52,41.96,38,38.6,-3.28,-7.83%,93520,0
11/28/2022,41.02,41.99,38.95,41.88,0.65,+1.58%,131040,0
11/21/2022,41.08,41.9699,39.79,41.23,-0.04,-0.10%,71225,0
11/14/2022,42.85,44.095,40.32,41.27,-1.4,-3.28%,77180,0
11/07/2022,38.1,43.95,37.76,42.67,4.67,+12.29%,157880,0
10/31/2022,42.68,43.04,37.63,38,-4.59,-10.78%,141340,0
10/24/2022,43.63,48.08,39.5,42.59,-0.91,-2.09%,221440,0
10/17/2022,47.96,50.07,42.95,43.5,-3.52,-7.49%,127020,0
10/10/2022,49.04,49.4,46.715,47.02,-2.06,-4.20%,68440,0
10/03/2022,48.86,52.05,48.43,49.08,0.54,+1.11%,113900,0
09/26/2022,48.04,50.08,47.67,48.54,0.12,+0.25%,136300,0
09/19/2022,53.29,53.92,47.65,48.42,-5.15,-9.61%,154880,0
09/12/2022,59.69,60.31,52.4,53.57,-6.29,-10.51%,142000,0
09/05/2022,57.32,60.94,56.515,59.86,2.65,+4.63%,84500,0
08/29/2022,62.28,62.46,56.75,57.21,-5.73,-9.10%,127800,0
08/22/2022,62.37,65.16,60.27,62.94,0.17,+0.27%,96900,0
08/15/2022,63.66,65.6668,61.44,62.77,-1.42,-2.21%,106980,0
08/08/2022,67,67.5899,60.5107,64.19,-2.69,-4.02%,118540,0
08/01/2022,63.94,66.92,62.28,66.88,2.73,+4.26%,117460,0
07/25/2022,60.58,64.71,60.13,64.15,3.61,+5.96%,119440,0
07/18/2022,56.38,62.25,54.89,60.54,4.4,+7.84%,181480,0
07/11/2022,53.91,56.53,52.32,56.14,2.03,+3.75%,126380,0
07/04/2022,49.65,56.46,49,54.11,4.25,+8.52%,235925,0
06/27/2022,49.95,50.64,47.68,49.86,0.09,+0.18%,120920,0
06/20/2022,43.57,49.85,42.99,49.77,6.81,+15.85%,154625,0
06/13/2022,46.43,46.702,41.26,42.96,-4.89,-10.22%,181040,0
06/06/2022,50.17,52,47.55,47.85,-1.96,-3.93%,77120,0
05/30/2022,48.73,50.18,46.9437,49.81,1.06,+2.17%,104375,0
05/23/2022,44.93,48.82,42.75,48.75,4,+8.94%,81620,0
05/16/2022,44.35,46.28,43.215,44.75,0.26,+0.58%,103700,0
05/09/2022,42.13,46.14,40.13,44.49,1.65,+3.85%,95100,0
05/02/2022,46.55,47.72,41.69,42.84,-3.82,-8.19%,87860,0
04/25/2022,48.07,50.57,45.91,46.66,-1.75,-3.61%,100660,0
04/18/2022,50.71,52,48.24,48.41,-2.52,-4.95%,83060,0
04/11/2022,48.63,51.78,47.315,50.93,1.93,+3.94%,123675,0
04/04/2022,51.9,52.72,45.925,49,-2.76,-5.33%,162400,0
03/28/2022,46.79,52.35,46.79,51.76,4.68,+9.94%,152940,0
03/21/2022,43.89,47.98,43.58,47.08,2.8,+6.32%,107680,0
03/14/2022,41.23,45.63,38.36,44.28,3.3,+8.05%,131220,0
03/07/2022,40.82,42.7,40.79,40.98,0.04,+0.10%,97160,0
02/28/2022,38.06,41.09,38.06,40.94,1.95,+5.00%,109580,0
02/21/2022,37.79,39.16,35.1781,38.99,1.09,+2.88%,83750,0
02/14/2022,39.91,40.92,37.52,37.9,-1.95,-4.89%,77400,0
02/07/2022,40.58,43,39.47,39.85,-0.73,-1.80%,90840,0
01/31/2022,40.89,43.2,39.42,40.58,-0.26,-0.64%,150880,0
01/24/2022,41.53,43.4,38.41,40.84,-1.41,-3.34%,158320,0
01/17/2022,46.97,47.22,41.81,42.25,-5.15,-10.86%,96775,0
01/10/2022,49.18,51,45.77,47.4,-2.46,-4.93%,91360,0
01/03/2022,48.1,52.54,45.51,49.86,2.56,+5.41%,225981,0
12/27/2021,50,50.71,45.1829,47.3,-2.34,-4.71%,84380,0
12/20/2021,47.46,49.99,46.3723,49.64,1.81,+3.78%,69700,0
12/13/2021,46.44,49.1,45.15,47.83,1.46,+3.15%,272120,0
