Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,2.03,2.05,1.91,1.92,-0.15,-7.25%,3129375,0
02/13/2023,2.05,2.21,1.99,2.07,0.03,+1.47%,3792200,0
02/06/2023,2.29,2.34,2,2.04,-0.26,-11.30%,3947200,0
01/30/2023,2.22,2.48,2.17,2.3,0.03,+1.32%,4584680,0
01/23/2023,2.32,2.38,2.19,2.27,-0.03,-1.30%,2719020,0
01/16/2023,2.27,2.45,2.2,2.3,0.03,+1.32%,3047900,0
01/09/2023,2.14,2.35,2.09,2.27,0.14,+6.57%,3240680,0
01/02/2023,2.1,2.22,2.05,2.13,0.04,+1.91%,2700625,0
12/26/2022,2.04,2.13,1.96,2.09,0.01,+0.48%,4213175,0
12/19/2022,2.26,2.28,1.95,2.08,-0.19,-8.37%,3741760,0
12/12/2022,2.52,2.685,2.22,2.27,-0.23,-9.20%,3302060,0
12/05/2022,3.09,3.36,2.49,2.5,-0.63,-20.13%,4379980,0
11/28/2022,2.66,3.2,2.5,3.13,0.42,+15.50%,5096980,0
11/21/2022,2.56,2.75,2.52,2.71,0.11,+4.23%,2172525,0
11/14/2022,2.8,2.9,2.465,2.6,0,0.00%,5884280,0
11/07/2022,2.33,2.65,2.18,2.6,0.28,+12.07%,4386340,0
10/31/2022,2.26,2.56,2.2,2.32,0.03,+1.31%,4057740,0
10/24/2022,2.16,2.5,2.05,2.29,0.12,+5.53%,3640680,0
10/17/2022,2.21,2.3399,2.075,2.17,0.02,+0.93%,2793720,0
10/10/2022,2.18,2.3,1.96,2.15,-0.03,-1.38%,4235380,0
10/03/2022,2.23,2.84,2.1306,2.18,0,0.00%,8008360,0
09/26/2022,2.22,2.39,2.14,2.18,-0.12,-5.22%,2531100,0
09/19/2022,2.59,2.63,2.2,2.3,-0.34,-12.88%,2775120,0
09/12/2022,2.75,2.89,2.57,2.64,-0.1,-3.65%,2855100,0
09/05/2022,2.66,2.77,2.45,2.74,0.06,+2.24%,2957150,0
08/29/2022,2.9,3.07,2.64,2.68,-0.27,-9.15%,3951060,0
08/22/2022,2.8,3.09,2.61,2.95,0.05,+1.72%,5599160,0
08/15/2022,2.91,3.59,2.78,2.9,-0.1,-3.33%,14046300,0
08/08/2022,2.52,3.15,2.47,3,0.47,+18.58%,10275320,0
08/01/2022,2.24,2.5997,2.15,2.53,0.28,+12.44%,7072980,0
07/25/2022,3.141,3.257,2.12,2.25,-0.872,-27.93%,11250755,0
07/18/2022,3.272,3.608,3.02,3.122,-0.071,-2.22%,7240454,0
07/11/2022,3.283,3.385,2.95,3.193,-0.176,-5.22%,6906036,0
07/04/2022,3.28,3.65,3.211,3.369,0.042,+1.26%,4979445,0
06/27/2022,3.886,3.969,3.232,3.327,-0.573,-14.69%,4011605,0
06/20/2022,3.241,3.947,3.24,3.9,0.767,+24.48%,7624462,0
06/13/2022,3.148,3.245,2.902,3.133,-0.156,-4.74%,6886386,0
06/06/2022,3.821,3.892,3.25,3.289,-0.482,-12.78%,5595470,0
05/30/2022,3.93,4.055,3.7,3.771,-0.114,-2.93%,5424377,0
05/23/2022,4.2,4.2,3.6,3.885,-0.272,-6.54%,5914540,0
05/16/2022,4.281,4.86,4.022,4.157,0.317,+8.26%,12123317,0
05/09/2022,4.42,4.479,3.421,3.84,-0.705,-15.51%,9400008,0
05/02/2022,4.6,4.995,4.444,4.545,-0.149,-3.17%,6653009,0
04/25/2022,5.263,5.399,4.668,4.694,-0.511,-9.82%,8863246,0
04/18/2022,5.398,5.591,5,5.205,-0.1,-1.89%,6837084,0
04/11/2022,5.681,6.218,5.3,5.305,-0.296,-5.28%,7607092,0
04/04/2022,7.068,7.144,5.6,5.601,-1.399,-19.99%,10964537,0
03/28/2022,7.66,8,6.855,7,-1.121,-13.80%,19396572,0
03/21/2022,5.418,8.914,5.153,8.121,2.901,+55.57%,25496244,0
03/14/2022,4.624,5.4,4.5,5.22,0.47,+9.89%,5403264,0
03/07/2022,4.94,5.08,4.55,4.75,-0.235,-4.71%,4772087,0
02/28/2022,5,5.3,4.9,4.985,-0.128,-2.50%,4856567,0
02/21/2022,5.445,5.598,4.6,5.113,-0.637,-11.08%,6995510,0
02/14/2022,6.361,6.62,5.72,5.75,-0.879,-13.26%,8775930,0
