Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,15.05,15.12,14.805,14.89,-0.12,-0.80%,193966,0
03/13/2023,15,15.26,14.6,15.01,-0.09,-0.60%,237060,0
03/06/2023,15.46,15.7,15.0191,15.1,-0.52,-3.33%,167740,0
02/27/2023,15.36,15.63,15.12,15.62,0.22,+1.43%,199340,0
02/20/2023,15.45,15.55,15.265,15.4,-0.08,-0.52%,118925,0
02/13/2023,15.75,15.86,15.41,15.48,-0.28,-1.78%,134780,0
02/06/2023,15.76,15.82,15.43,15.76,0.05,+0.32%,201600,0
01/30/2023,15.89,15.89,15.58,15.71,-0.34,-2.12%,213780,0
01/23/2023,15.88,16.15,15.82,16.05,0.11,+0.69%,372300,0
01/16/2023,16,16.29,15.65,15.94,0.05,+0.31%,183425,0
01/09/2023,15.48,16.21,15.48,15.89,0.49,+3.18%,243000,0
01/02/2023,15.25,15.495,15.11,15.4,0.22,+1.45%,163300,0
12/26/2022,15.23,15.54,15.01,15.18,-0.09,-0.59%,287125,0
12/19/2022,15.39,15.6,15.08,15.27,-0.03,-0.20%,260500,0
12/12/2022,16,16.42,15.3,15.3,-0.65,-4.08%,947260,0
12/05/2022,15.94,16.35,15.5104,15.95,-0.09,-0.56%,273660,0
11/28/2022,16.38,16.49,15.94,16.04,-0.61,-3.66%,190940,0
11/21/2022,15.8,16.66,15.8,16.65,0.76,+4.78%,188025,0
11/14/2022,15.72,16.2,15.6,15.89,0.17,+1.08%,119580,0
11/07/2022,16.7,16.79,15.68,15.72,-0.98,-5.87%,247100,0
10/31/2022,16.43,16.77,15.98,16.7,-0.16,-0.95%,192200,0
10/24/2022,16.54,16.96,16.32,16.86,0.32,+1.93%,176540,0
10/17/2022,15.88,16.55,15.74,16.54,1.04,+6.71%,176400,0
10/10/2022,16.25,16.34,15.5,15.5,-0.75,-4.62%,150020,0
10/03/2022,15.31,16.4,15.3,16.25,1.2,+7.97%,247100,0
09/26/2022,15.78,15.98,15.03,15.05,-0.8,-5.05%,292480,0
09/19/2022,16.42,16.67,15.74,15.85,-0.77,-4.63%,157560,0
09/12/2022,16.83,17.06,16.42,16.62,-0.05,-0.30%,184420,0
09/05/2022,16.56,16.86,16.53,16.67,0.19,+1.15%,202200,0
08/29/2022,16.42,16.7334,15.83,16.48,0.08,+0.49%,222040,0
08/22/2022,16.17,16.5999,16.17,16.4,0.07,+0.43%,165060,0
08/15/2022,16.24,16.4233,16.1329,16.33,0.04,+0.25%,105120,0
08/08/2022,16.04,16.51,15.95,16.29,0.4,+2.52%,194440,0
08/01/2022,16.17,16.34,15.49,15.89,-0.81,-4.85%,180020,0
07/25/2022,16.01,17,15.9933,16.7,0.71,+4.44%,301122,0
07/18/2022,15.78,16.01,15.65,15.99,0.3,+1.91%,163320,0
07/11/2022,15.72,16.01,15.46,15.69,-0.03,-0.19%,108440,0
07/04/2022,15.35,16.04,14.75,15.72,0.21,+1.35%,250125,0
06/27/2022,15.39,16.02,15.1327,15.51,0.18,+1.17%,145300,0
06/20/2022,14.79,15.42,14.66,15.33,0.74,+5.07%,235100,0
06/13/2022,16.79,16.9,14.4,14.59,-2.35,-13.87%,478360,0
06/06/2022,17.35,17.6229,16.81,16.94,-0.42,-2.42%,133260,0
05/30/2022,17.14,17.45,16.8916,17.36,0.3,+1.76%,162850,0
05/23/2022,16.65,17.14,16.31,17.06,0.52,+3.14%,325800,0
05/16/2022,16.36,17.26,16.34,16.54,0.18,+1.10%,169060,0
05/09/2022,17.35,17.45,16.35,16.36,-1.16,-6.62%,265180,0
05/02/2022,16.55,17.75,16.4101,17.52,0.72,+4.29%,284640,0
04/25/2022,16.5,16.94,15.94,16.8,0.21,+1.27%,335960,0
04/18/2022,17.22,17.52,16.57,16.59,-0.56,-3.27%,280540,0
04/11/2022,16.3,17.22,16.27,17.15,0.82,+5.02%,282250,0
04/04/2022,16.32,16.58,16.15,16.33,-0.04,-0.24%,235860,0
