Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,104.4,108.2,103,103.74,0.62,+0.60%,144600,0
03/13/2023,101.93,105.64,100.84,103.12,-0.62,-0.60%,202780,0
03/06/2023,112.29,112.29,102.68,103.74,-8.41,-7.50%,122520,0
02/27/2023,108.08,112.37,106.995,112.15,5.31,+4.97%,117020,0
02/20/2023,109.38,109.8,105.78,106.84,-4.27,-3.84%,145675,0
02/13/2023,109.8,113.34,109.6,111.11,1.37,+1.25%,171400,0
02/06/2023,109.94,115.45,105.715,109.74,-1.54,-1.38%,265360,0
01/30/2023,102.25,113.18,102.095,111.28,8.08,+7.83%,188100,0
01/23/2023,99.14,104.1,99.14,103.2,3.78,+3.80%,115782,0
01/16/2023,99.25,100.34,95,99.42,-0.13,-0.13%,127125,0
01/09/2023,96.67,100.49,96.06,99.55,3.32,+3.45%,156120,0
01/02/2023,89.81,97.275,89.5237,96.23,7.57,+8.54%,176800,0
12/26/2022,89.06,91.2123,88.15,88.66,-0.49,-0.55%,128225,0
12/19/2022,91.13,91.73,87.07,89.15,-2.06,-2.26%,159700,0
12/12/2022,92.87,99.18,90.35,91.21,-0.9,-0.98%,318400,0
12/05/2022,93.42,94.12,90.78,92.11,-2.41,-2.55%,168306,0
11/28/2022,91.78,95.62,89,94.52,1.48,+1.59%,191200,0
11/21/2022,91.45,93.64,90.85,93.04,1.13,+1.23%,121950,0
11/14/2022,92.61,93.62,88.73,91.91,-1.66,-1.77%,198580,0
11/07/2022,84.74,94.34,83.31,93.57,9.34,+11.09%,223340,0
10/31/2022,84.63,86.88,81.235,84.23,-1.22,-1.43%,216760,0
10/24/2022,78,85.97,77.4,85.45,7.3,+9.34%,322740,0
10/17/2022,78.91,82.375,76.2,78.15,0.74,+0.96%,209540,0
10/10/2022,78.47,80.605,75.25,77.41,-0.57,-0.73%,161422,0
10/03/2022,79.54,84.14,77.44,77.98,-0.42,-0.54%,193120,0
09/26/2022,78.96,80.52,76.96,78.4,-0.56,-0.71%,219800,0
09/19/2022,81.68,84.28,78.38,78.96,-2.85,-3.48%,344520,0
09/12/2022,91.17,92.19,80.69,81.81,-8.64,-9.55%,401940,0
09/05/2022,90,91.495,88.3235,90.45,0.14,+0.16%,264575,0
08/29/2022,95,95.8647,89.69,90.31,-5.92,-6.15%,190780,0
08/22/2022,103.18,103.18,96.1117,96.23,-8.46,-8.08%,167580,0
08/15/2022,103.86,107.075,103.4969,104.69,0.15,+0.14%,123640,0
08/08/2022,101.32,104.54,98.92,104.54,3.9,+3.88%,185500,0
08/01/2022,102.31,107.84,99.09,100.64,-2.64,-2.56%,201600,0
07/25/2022,108.82,108.82,100.31,103.28,-5.24,-4.83%,303540,0
07/18/2022,105.06,110.22,102.43,108.52,4.64,+4.47%,144041,0
07/11/2022,102.39,106.315,100.16,103.88,0,0.00%,129100,0
07/04/2022,100.55,105.4118,100.07,103.88,1.33,+1.30%,134075,0
06/27/2022,99.21,103.01,95.77,102.55,4.56,+4.65%,218641,0
06/20/2022,90.33,98.435,88.02,97.99,9.27,+10.45%,308625,0
06/13/2022,101.18,102.12,87.73,88.72,-15.06,-14.51%,259442,0
06/06/2022,111.15,112.62,103.69,103.78,-6.27,-5.70%,111380,0
05/30/2022,107.95,111.07,105.77,110.05,0.74,+0.68%,154025,0
05/23/2022,103.28,109.52,99.6755,109.31,7.6,+7.47%,124460,0
05/16/2022,102.2,105.27,99.49,101.71,-1.35,-1.31%,134920,0
05/09/2022,104.15,107.09,99.6,103.06,-2.28,-2.16%,157620,0
05/02/2022,103.49,109.89,102.43,105.34,1.67,+1.61%,178300,0
04/25/2022,105,110.71,102.2,103.67,-1.1,-1.05%,241700,0
04/18/2022,104.48,111.94,104.01,104.77,-0.49,-0.47%,156340,0
04/11/2022,102.67,107.61,102.41,105.26,2.66,+2.59%,212950,0
04/04/2022,111.21,111.21,102.41,102.6,-8.2,-7.40%,223240,0
03/28/2022,112.06,116.67,109,110.8,-1.47,-1.31%,248360,0
03/21/2022,119.27,120.66,110.93,112.27,-7.3,-6.11%,182420,0
03/14/2022,115.48,119.99,114.65,119.57,4.02,+3.48%,186700,0
03/07/2022,118.41,119.36,113.34,115.55,-1.87,-1.59%,150440,0
02/28/2022,117.15,121.36,115.72,117.42,-1.27,-1.07%,210080,0
02/21/2022,116.5,118.8926,109.905,118.69,1.75,+1.50%,169075,0
02/14/2022,116.72,119.57,115.9,116.94,0.84,+0.72%,173360,0
02/07/2022,108.87,124.48,107.81,116.1,7.13,+6.54%,299660,0
01/31/2022,110.34,114.61,107.17,108.97,-2.7,-2.42%,196100,0
01/24/2022,112.49,119.84,107.27,111.67,-2.12,-1.86%,257580,0
01/17/2022,127.71,128.325,113.65,113.79,-15.1,-11.72%,241175,0
01/10/2022,130.7,132.73,128.115,128.89,-2.57,-1.95%,150820,0
01/03/2022,138.91,139.538,130.75,131.46,-7.61,-5.47%,222760,0
12/27/2021,134.27,141.26,134.02,139.07,5.06,+3.78%,119980,0
12/20/2021,131.3,134.64,130.37,134.01,1.01,+0.76%,315825,0
12/13/2021,129.68,133.06,126.25,133,2.62,+2.01%,323600,0
12/06/2021,124.4,131.39,124.121,130.38,7.13,+5.78%,211580,0
11/29/2021,118.15,124,115.26,123.25,6.08,+5.19%,239880,0
11/22/2021,120.17,122.4,115.38,117.17,-2.04,-1.71%,111600,0
11/15/2021,120,120.18,117.02,119.21,-0.56,-0.47%,111240,0
11/08/2021,120.5,123.54,119.24,119.77,0.23,+0.19%,147461,0
11/01/2021,106.32,119.72,105.39,119.54,13.45,+12.68%,209520,0
10/25/2021,114.67,116.97,104.95,106.09,-8.68,-7.56%,171440,0
10/18/2021,115.28,117.3,114.02,114.77,-0.8,-0.69%,105780,0
10/11/2021,113.06,117.92,111.2,115.57,2.3,+2.03%,89200,0
10/04/2021,108.83,114.61,107.65,113.27,4.08,+3.74%,140520,0
09/27/2021,109,112.1,106.6,109.19,0.37,+0.34%,126140,0
09/20/2021,104.4,109.42,104.4,108.82,2.1,+1.97%,111340,0
09/13/2021,109.69,111.36,105.64,106.72,-1.47,-1.36%,185860,0
09/06/2021,112.36,112.36,108.08,108.19,-4.87,-4.31%,89850,0
08/30/2021,115.88,116.43,111.92,113.06,-1.91,-1.66%,88520,0
08/23/2021,113.28,115.86,110.82,114.97,2.67,+2.38%,94220,0
08/16/2021,111.62,114.26,109.44,112.3,-0.24,-0.21%,72260,0
08/09/2021,112.41,115.21,109.2714,112.54,-0.24,-0.21%,77460,0
08/02/2021,113.33,113.97,110.05,112.78,0.3,+0.27%,121080,0
07/26/2021,112.13,113.29,108.23,112.48,0.88,+0.79%,141740,0
07/19/2021,108.81,113.43,107.12,111.6,1.62,+1.47%,142060,0
07/12/2021,109.8,111.59,107.76,109.98,-0.52,-0.47%,130360,0
07/05/2021,111.12,111.82,108.14,110.5,-0.11,-0.10%,154475,0
06/28/2021,110.11,111.98,108.18,110.61,0.52,+0.47%,153920,0
06/21/2021,108.55,111.74,108.55,110.09,2.72,+2.53%,218280,0
06/14/2021,111.27,111.52,106.21,107.37,-3.72,-3.35%,202120,0
06/07/2021,110.54,112.26,108.74,111.09,0.74,+0.67%,138080,0
05/31/2021,113.08,114.22,109,110.35,-1.97,-1.75%,133400,0
05/24/2021,112.79,115.6,110.99,112.32,0.05,+0.04%,131220,0
05/17/2021,113.44,113.74,109.42,112.27,-2.28,-1.99%,150060,0
05/10/2021,118.67,119.77,108.165,114.55,-3.91,-3.30%,153240,0
05/03/2021,113.49,118.57,113.41,118.46,5.76,+5.11%,157800,0
04/26/2021,108.15,114.6861,107.15,112.7,5.33,+4.96%,247780,0
04/19/2021,108.22,108.66,104.04,107.37,-0.48,-0.45%,157520,0
04/12/2021,106.22,108.42,105.58,107.85,1.63,+1.53%,134840,0
04/05/2021,106.09,107.25,102.91,106.22,0.87,+0.83%,124660,0
03/29/2021,103.81,105.73,100.5403,105.35,1.23,+1.18%,218125,0
03/22/2021,104.86,105.24,98.715,104.12,-0.69,-0.66%,171540,0
03/15/2021,106.01,109.66,104.2,104.81,-1.67,-1.57%,320980,0
03/08/2021,101.48,109.85,100.84,106.48,6.1,+6.08%,349260,0
03/01/2021,99.25,100.54,96.79,100.38,2.92,+3.00%,358940,0
02/22/2021,97.13,99.71,96.12,97.46,-0.36,-0.37%,283220,0
02/15/2021,95.86,98.47,95.11,97.82,2.29,+2.40%,303325,0
02/08/2021,100.81,103.66,92.86,95.53,-4.64,-4.63%,244960,0
02/01/2021,93.11,100.2,92.15,100.17,8.17,+8.88%,177620,0
01/25/2021,102.36,102.815,91.905,92,-10.97,-10.65%,202140,0
01/18/2021,100.25,105.89,100.14,102.97,3.48,+3.50%,224525,0
