Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,115.01,116.62,113.99,114.1,-0.12,-0.11%,53700,0
03/13/2023,112.68,117.36,111.02,114.22,-0.28,-0.24%,103260,0
03/06/2023,121.01,121.01,113.22,114.5,-6.26,-5.18%,63760,0
02/27/2023,115.38,121.245,114.47,120.76,6.73,+5.90%,55400,0
02/20/2023,115.6,116.05,112.41,114.03,-2.89,-2.47%,59550,0
02/13/2023,116.76,118.05,113.27,116.92,0.52,+0.45%,70360,0
02/06/2023,117.69,120.56,115.3,116.4,-2.14,-1.81%,67200,0
01/30/2023,110.12,121.85,110.12,118.54,7.58,+6.83%,80320,0
01/23/2023,106.76,111.33,104.72,110.96,3.95,+3.69%,41500,0
01/16/2023,110.28,112.26,106.42,107.01,-2.74,-2.50%,75450,0
01/09/2023,105.88,109.88,103.21,109.75,4.82,+4.59%,48260,0
01/02/2023,102.66,105.83,100.12,104.93,2.52,+2.46%,36900,0
12/26/2022,102.17,104.51,100.65,102.41,-0.3,-0.29%,38975,0
12/19/2022,97.75,105.74,96.97,102.71,5.36,+5.51%,59160,0
12/12/2022,102.44,106.19,96.32,97.35,-4.91,-4.80%,77020,0
12/05/2022,105.86,106.5,101.8,102.26,-4.62,-4.32%,42660,0
11/28/2022,106.53,107.33,101.06,106.88,0.16,+0.15%,40000,0
11/21/2022,106.14,107.54,104.99,106.72,0.06,+0.06%,36750,0
11/14/2022,104.1,109.52,104.1,106.66,2.02,+1.93%,45720,0
11/07/2022,99.81,104.79,98.19,104.64,4.14,+4.12%,50360,0
10/31/2022,96.27,101.99,96,100.5,3.32,+3.42%,52540,0
10/24/2022,90.43,97.75,89.12,97.18,6.9,+7.64%,40000,0
10/17/2022,84.96,90.51,84.76,90.28,6.89,+8.26%,49940,0
10/10/2022,82.58,86.62,80.97,83.39,0.95,+1.15%,35040,0
10/03/2022,83,87.28,81.85,82.44,0.79,+0.97%,44520,0
09/26/2022,82.07,84.37,81.045,81.65,-0.88,-1.07%,47960,0
09/19/2022,81.96,85.79,80.96,82.53,0.07,+0.08%,44500,0
09/12/2022,88.26,89,80.88,82.46,-5.27,-6.01%,56960,0
09/05/2022,86.94,88.06,84.59,87.73,1,+1.15%,33050,0
08/29/2022,93.15,93.77,86.175,86.73,-6.97,-7.44%,33760,0
08/22/2022,97.36,98.64,93.51,93.7,-4.78,-4.85%,40660,0
08/15/2022,97.49,100.16,97.49,98.48,0.05,+0.05%,37700,0
08/08/2022,96.8,98.83,93.37,98.43,2.63,+2.75%,38080,0
08/01/2022,96.49,98.15,93.37,95.8,-1.28,-1.32%,39060,0
07/25/2022,89.43,98.55,89.31,97.08,7.32,+8.16%,46140,0
07/18/2022,82.8,90.55,81.65,89.76,7.91,+9.66%,63600,0
