Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,46.42,49.71,46.19,49.28,3.97,+8.76%,1345550,0
03/13/2023,52,53.73,45.07,45.31,-7.92,-14.88%,1311744,0
03/06/2023,60,60.85,52.95,53.23,-7.09,-11.75%,887820,0
02/27/2023,58.97,60.39,57.31,60.32,1.97,+3.38%,971980,0
02/20/2023,56.15,58.4,55.42,58.35,1.42,+2.49%,1354325,0
02/13/2023,54.81,57.48,54.32,56.93,2.61,+4.80%,998840,0
02/06/2023,52.51,54.69,51.18,54.32,1.52,+2.88%,1019360,0
01/30/2023,49.94,53.37,49.7401,52.8,2.49,+4.95%,824660,0
01/23/2023,46.97,50.55,46.615,50.31,3.37,+7.18%,597420,0
01/16/2023,48.12,48.51,45.07,46.94,-1.1,-2.29%,736300,0
01/09/2023,43.7,48.11,43.38,48.04,4.51,+10.36%,916980,0
01/02/2023,43.11,44.06,41.69,43.53,0.81,+1.90%,451100,0
12/26/2022,43.07,43.63,42.23,42.72,-0.34,-0.79%,293975,0
12/19/2022,43.09,43.89,41.68,43.06,1.51,+3.63%,401660,0
12/12/2022,43.47,45.7,40.504,41.55,-1.97,-4.53%,1005120,0
12/05/2022,45.13,45.29,43.45,43.52,-2.52,-5.47%,537402,0
11/28/2022,45.23,46.46,43.66,46.04,0.28,+0.61%,487020,0
11/21/2022,44.27,45.945,44.05,45.76,1.07,+2.39%,376250,0
11/14/2022,44.79,46.47,42.51,44.69,-0.52,-1.15%,687180,0
11/07/2022,42.49,45.96,41.51,45.21,2.81,+6.63%,699700,0
10/31/2022,38.4,42.44,37.27,42.4,4.03,+10.50%,1070040,0
10/24/2022,34.45,38.4,33.55,38.37,4.05,+11.80%,887140,0
10/17/2022,32.75,34.99,32.235,34.32,2.43,+7.62%,528940,0
10/10/2022,32.16,33.67,30.38,31.89,0.26,+0.82%,454320,0
10/03/2022,30.43,33.1,30.04,31.63,1.89,+6.36%,498400,0
09/26/2022,29.6,30.58,28.82,29.74,-0.07,-0.23%,525800,0
09/19/2022,32.29,33.69,29.16,29.81,-2.87,-8.78%,498320,0
09/12/2022,35.92,36.49,31.94,32.68,-2.93,-8.23%,680480,0
09/05/2022,33.17,35.655,32.38,35.61,2.83,+8.63%,480525,0
08/29/2022,34.36,34.8794,32.41,32.78,-2.11,-6.05%,404020,0
08/22/2022,36.32,37.1,34.82,34.89,-1.72,-4.70%,483140,0
08/15/2022,37.04,38.315,35.95,36.61,-0.97,-2.58%,485720,0
08/08/2022,34.55,37.6,34.11,37.58,3.47,+10.17%,686180,0
08/01/2022,32.98,34.88,32.18,34.11,0.6,+1.79%,939520,0
07/25/2022,31,33.73,30.6,33.51,2.64,+8.55%,747720,0
07/18/2022,29.22,31.57,28.675,30.87,1.97,+6.82%,628480,0
07/11/2022,27.73,28.99,27.185,28.9,0.77,+2.74%,695400,0
07/04/2022,27,29.12,26.76,28.13,0.2,+0.72%,571975,0
06/27/2022,29.76,29.92,26.64,27.93,-1.65,-5.58%,894600,0
06/20/2022,29.17,29.72,27.35,29.58,1.22,+4.30%,1049400,0
06/13/2022,32.71,33.11,28.275,28.36,-5.62,-16.54%,925320,0
06/06/2022,36.92,37.83,33.76,33.98,-2.43,-6.67%,634020,0
05/30/2022,35.04,36.76,34.515,36.41,0.8,+2.25%,733025,0
05/23/2022,32.55,35.84,31.36,35.61,3.92,+12.37%,709981,0
05/16/2022,32.84,34.88,30.67,31.69,-1.11,-3.38%,677760,0
05/09/2022,33.53,34.69,30.91,32.8,-1.52,-4.43%,826180,0
05/02/2022,33.6,36.72,32.82,34.32,0.32,+0.94%,955947,0
04/25/2022,33.62,36.3,33.13,34,-0.12,-0.35%,1029940,0
04/18/2022,34.5,37.59,34.02,34.12,-0.69,-1.98%,656260,0
04/11/2022,32.59,34.9,32.52,34.81,2.14,+6.55%,880875,0
04/04/2022,35.42,35.86,32.11,32.67,-2.66,-7.53%,961200,0
03/28/2022,37.48,38.51,34.6703,35.33,-2.42,-6.41%,638720,0
03/21/2022,39.55,40.05,37.13,37.75,-1.6,-4.07%,523960,0
03/14/2022,38.97,39.84,37.36,39.35,0.93,+2.42%,751980,0
03/07/2022,38.39,39.54,35.04,38.42,0.15,+0.39%,875160,0
02/28/2022,41.06,42.01,37.82,38.27,-3.41,-8.18%,718440,0
02/21/2022,41.39,42.01,38.9,41.68,0,0.00%,637800,0
02/14/2022,42.89,45.13,41.66,41.68,-0.86,-2.02%,697780,0
02/07/2022,40.91,45.39,40.795,42.54,1.57,+3.83%,751000,0
01/31/2022,40.59,43.48,39.87,40.97,-0.19,-0.46%,456000,0
01/24/2022,41,44.56,39.24,41.16,-0.62,-1.48%,850900,0
