Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,234.86,247.04,234.09,240.8,4.96,+2.10%,448300,0
03/13/2023,221.09,236.93,221.09,235.84,12.96,+5.81%,547600,0
03/06/2023,239.2,240,221.48,222.88,-16.31,-6.82%,353840,0
02/27/2023,237.02,240.5799,230.77,239.19,4.01,+1.71%,378440,0
02/20/2023,245.18,245.18,229.64,235.18,-12.29,-4.97%,499250,0
02/13/2023,246.43,248.24,241.82,247.47,1.99,+0.81%,206260,0
02/06/2023,256.29,257.64,243.3,245.48,-12.99,-5.03%,213220,0
01/30/2023,241.91,265.24,239.32,258.47,14.61,+5.99%,308370,0
01/23/2023,236.18,245.12,231.64,243.86,8.17,+3.47%,205720,0
01/16/2023,240.46,243.26,232.975,235.69,-5.29,-2.20%,325000,0
01/09/2023,258.97,261.08,232.63,240.98,-16.95,-6.57%,471443,0
01/02/2023,251.99,258.945,246.47,257.93,8.3,+3.32%,363725,0
12/26/2022,250.02,254.72,246.995,249.63,0.82,+0.33%,249450,0
12/19/2022,246.17,249.98,239.99,248.81,1.8,+0.73%,316580,0
12/12/2022,246.89,259.38,241.82,247.01,-0.33,-0.13%,527520,0
12/05/2022,239.01,248.85,232.42,247.34,4.76,+1.96%,458202,0
11/28/2022,223.15,247.42,221.69,242.58,17.04,+7.56%,565700,0
11/21/2022,216.46,226.655,213.23,225.54,8.14,+3.74%,291375,0
11/14/2022,219.27,220.96,209.88,217.4,-2.11,-0.96%,386920,0
11/07/2022,204.1,222.76,199.56,219.51,17.12,+8.46%,345640,0
10/31/2022,213.55,219.9,198.48,202.39,-11.74,-5.48%,401300,0
10/24/2022,199.68,217.715,194.8901,214.13,16.46,+8.33%,497940,0
10/17/2022,198.76,210,190.02,197.67,2,+1.02%,399020,0
10/10/2022,195.5,198.28,182.65,195.67,1.45,+0.75%,412360,0
10/03/2022,204.61,213.07,192.8,194.22,-7.24,-3.59%,497540,0
09/26/2022,206.67,209.09,199.92,201.46,-6.02,-2.90%,307160,0
09/19/2022,224.78,226.14,203.38,207.48,-19.87,-8.74%,380340,0
09/12/2022,242.8,246.3,226.61,227.35,-14.8,-6.11%,554360,0
09/05/2022,223.91,243.46,219.5389,242.15,19.38,+8.70%,327100,0
08/29/2022,221.49,229.35,220.62,222.77,-1.37,-0.61%,334860,0
08/22/2022,240.13,240.13,223.07,224.14,-18.04,-7.45%,280800,0
08/15/2022,255.28,257.69,240.93,242.18,-14.77,-5.75%,383087,0
08/08/2022,253.37,260.525,248.22,256.95,6.38,+2.55%,248480,0
08/01/2022,239.35,257.58,236.44,250.57,10.11,+4.20%,575880,0
07/25/2022,265.48,267.18,235.01,240.46,-24.72,-9.32%,924236,0
07/18/2022,245.4,269.765,241.468,265.18,21.04,+8.62%,448160,0
07/11/2022,251.01,251.42,235.58,244.14,-10.52,-4.13%,335140,0
07/04/2022,251.76,256.91,246.51,254.66,-0.43,-0.17%,343500,0
06/27/2022,258.79,261.93,244.92,255.09,-2.96,-1.15%,389280,0
06/20/2022,249.09,258.13,246.735,258.05,13.12,+5.36%,460275,0
06/13/2022,262.86,263.46,244.81,244.93,-22.74,-8.50%,363420,0
06/06/2022,284.71,286.66,265.99,267.67,-14.18,-5.03%,216020,0
05/30/2022,287.48,290.95,277.28,281.85,-8.24,-2.84%,232700,0
05/23/2022,291.87,293.07,280.56,290.09,2.79,+0.97%,268040,0
05/16/2022,277.21,293.81,276.035,287.3,8.84,+3.17%,488840,0
05/09/2022,264.95,279.35,256.77,278.46,8.85,+3.28%,538900,0
05/02/2022,285.43,289.4,268.29,269.61,-16.01,-5.61%,400782,0
04/25/2022,319.35,327.22,280.69,285.62,-35.49,-11.05%,496180,0
04/18/2022,336.5,349.39,320.79,321.11,-15.51,-4.61%,360340,0
04/11/2022,344.83,346.64,333.14,336.62,-9.85,-2.84%,273050,0
04/04/2022,354.42,356.72,334.85,346.47,-8.35,-2.35%,277040,0
03/28/2022,339.72,356.68,337.59,354.82,15.42,+4.54%,280440,0
03/21/2022,348.5,352.9,322.2,339.4,-10.53,-3.01%,325960,0
03/14/2022,336.46,350.3,332.339,349.93,13.94,+4.15%,316840,0
03/07/2022,349.83,352.87,334.55,335.99,-13.99,-4.00%,411440,0
02/28/2022,340.49,350.33,330,349.98,6.97,+2.03%,294500,0
02/21/2022,315.19,344.1825,313.63,343.01,27.23,+8.62%,385025,0
02/14/2022,321.32,327.96,314.97,315.78,-4.85,-1.51%,222580,0
02/07/2022,313.13,333.87,309.7,320.63,7.34,+2.34%,270700,0
01/31/2022,298.75,316.08,296.59,313.29,13.44,+4.48%,339520,0
01/24/2022,315.8,318.895,291.04,299.85,-23.35,-7.22%,384620,0
01/17/2022,322.16,337.8975,318.55,323.2,-2.55,-0.78%,424400,0
01/10/2022,315.95,337.78,309.61,325.75,9.33,+2.95%,385500,0
01/03/2022,328.48,340.42,312.56,316.42,-12.06,-3.67%,332760,0
12/27/2021,328.06,335.98,325.69,328.48,1.1,+0.34%,192360,0
12/20/2021,316.77,329.73,311.185,327.38,5.88,+1.83%,353850,0
12/13/2021,317.6,325.93,313.2,321.5,0.21,+0.07%,458480,0
12/06/2021,309.37,329.4,308.75,321.29,16.07,+5.27%,402360,0
11/29/2021,309.23,312.36,289,305.22,0.07,+0.02%,532440,0
11/22/2021,320.01,326.89,304.57,305.15,-13.68,-4.29%,427287,0
11/15/2021,339.99,342.475,318.19,318.83,-21.29,-6.26%,447140,0
11/08/2021,355.14,355.245,328.395,340.12,-13.19,-3.73%,414740,0
11/01/2021,357.08,370.2,342.78,353.31,-3.63,-1.02%,421740,0
10/25/2021,376.22,381.97,343.15,356.94,-19.57,-5.20%,465740,0
10/18/2021,361.18,381.23,354.88,376.51,13.31,+3.66%,200360,0
10/11/2021,363.52,370,350.23,363.2,0.29,+0.08%,297620,0
10/04/2021,381.42,383.11,359.37,362.91,-20.36,-5.31%,276760,0
09/27/2021,386.1,391.1,373.51,383.27,-4.82,-1.24%,217940,0
09/20/2021,379.26,391.39,376.93,388.09,2.52,+0.65%,148120,0
09/13/2021,375.47,390.71,373.205,385.57,13.15,+3.53%,182540,0
09/06/2021,397.37,405.895,372.05,372.42,-26.01,-6.53%,302800,0
08/30/2021,388.41,405.61,388.41,398.43,10.21,+2.63%,242240,0
08/23/2021,378.71,392.76,378.26,388.22,11.15,+2.96%,224700,0
08/16/2021,366.31,380.19,364.55,377.07,10.99,+3.00%,196940,0
08/09/2021,381.53,381.53,359.57,366.08,-14.8,-3.89%,270060,0
08/02/2021,399.18,399.18,370.05,380.88,-16.55,-4.16%,254560,0
07/26/2021,396.19,405.97,390.33,397.43,-0.48,-0.12%,311120,0
07/19/2021,381.19,398.35,370.88,397.91,7.59,+1.94%,372260,0
07/12/2021,422.02,424.35,364.241,390.32,-32.5,-7.69%,726800,0
07/05/2021,407.7,428.355,407.32,422.82,12.82,+3.13%,416575,0
06/28/2021,412.07,413.7,398.22,410,-2.21,-0.54%,200660,0
06/21/2021,397.5,419.95,392.13,412.21,15.34,+3.87%,545760,0
06/14/2021,392.94,405.99,388.33,396.87,3.33,+0.85%,353500,0
06/07/2021,395.74,399.58,382.88,393.54,-1.69,-0.43%,197060,0
05/31/2021,402.14,402.4934,384.89,395.23,-6.96,-1.73%,202800,0
05/24/2021,401.65,409.2,396.14,402.19,0.67,+0.17%,204540,0
05/17/2021,391.91,405.32,387.46,401.52,8.52,+2.17%,192000,0
05/10/2021,412.96,413.535,384.78,393,-19.55,-4.74%,239680,0
05/03/2021,425.01,425.01,399.44,412.55,-9.93,-2.35%,236780,0
04/26/2021,444.59,449.375,412.415,422.48,-21.23,-4.78%,248840,0
04/19/2021,430.23,445.16,427.49,443.71,11.15,+2.58%,131780,0
04/12/2021,425.52,435.185,423.9,432.56,5.47,+1.28%,161680,0
04/05/2021,415.54,427.63,415.54,427.09,12.94,+3.12%,162120,0
03/29/2021,413.37,420.32,408.08,414.15,1.13,+0.27%,179400,0
03/22/2021,399.52,413.12,396.95,413.02,11.94,+2.98%,218440,0
03/15/2021,422.47,434.975,400.46,401.08,-22.42,-5.29%,250380,0
03/08/2021,402.37,425.3,397.19,423.5,21.8,+5.43%,263500,0
03/01/2021,400.82,408.12,387.72,401.7,3.58,+0.90%,189100,0
02/22/2021,388.77,410.6,379.91,398.12,7.69,+1.97%,221440,0
02/15/2021,405.79,407.56,390.35,390.43,-15.76,-3.88%,172200,0
02/08/2021,398.94,410.35,396.42,406.19,7.42,+1.86%,156060,0
02/01/2021,380.29,403.99,374.12,398.77,21.14,+5.60%,176620,0
01/25/2021,384.58,387.195,370.79,377.63,-8.81,-2.28%,195960,0
01/18/2021,391.57,395.49,383.585,386.44,-1.93,-0.50%,186400,0
01/11/2021,408.56,410.61,382.92,388.37,-25.01,-6.05%,243420,0
01/04/2021,411.1,414.72,397.76,413.38,1.81,+0.44%,257840,0
12/28/2020,407.42,412.99,403.525,411.57,6.51,+1.61%,102825,0
12/21/2020,402.48,406.81,391.38,405.06,-3.84,-0.94%,136175,0
12/14/2020,386.69,411.22,380.66,408.9,25.48,+6.65%,265320,0
12/07/2020,386.53,388.72,378,383.42,-3.55,-0.92%,188820,0
