Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,59.37,59.7,55.23,55.68,-4.62,-7.66%,1760740,0
01/30/2023,57.28,62.01,56.78,60.3,2.29,+3.95%,941680,0
01/23/2023,56.01,58.18,55,58.01,2.22,+3.98%,712607,0
01/16/2023,54.7,56.465,53.56,55.79,1.28,+2.35%,828000,0
01/09/2023,52.29,54.565,51.76,54.51,3.01,+5.84%,1598960,0
01/02/2023,51.11,51.71,49.8,51.5,0.94,+1.86%,1201550,0
12/26/2022,48.52,50.72,48.08,50.56,2.02,+4.16%,839750,0
12/19/2022,50.08,50.26,47.52,48.54,-1.29,-2.59%,1130680,0
12/12/2022,57.5,58.88,49.33,49.83,-7.67,-13.34%,2198420,0
12/05/2022,60.35,60.72,56.34,57.5,-3.54,-5.80%,1303500,0
11/28/2022,57.76,62,55.785,61.04,2.5,+4.27%,1151900,0
11/21/2022,57.48,59.1,56.185,58.54,0.55,+0.95%,844350,0
11/14/2022,61.41,61.73,56.76,57.99,-4.01,-6.47%,913520,0
11/07/2022,54,62.4,53.29,62,8.21,+15.26%,2281360,0
10/31/2022,59.58,60.94,50.65,53.79,-6.45,-10.71%,1506660,0
10/24/2022,56.01,60.42,55.41,60.24,4.36,+7.80%,734800,0
10/17/2022,53.68,56.72,53.335,55.88,3.58,+6.85%,938280,0
10/10/2022,54.92,54.92,49.99,52.3,-2.31,-4.23%,912800,0
10/03/2022,54.81,58.88,54.35,54.61,0.34,+0.63%,2434900,0
09/26/2022,56.34,57.28,54.18,54.27,-2.11,-3.74%,1037740,0
09/19/2022,58.01,59.48,55.43,56.38,-2.3,-3.92%,1090024,0
09/12/2022,63.41,64.44,58.06,58.68,-4.4,-6.98%,1215160,0
09/05/2022,62.19,63.23,59.975,63.08,0.96,+1.55%,1142026,0
08/29/2022,65.27,65.85,61.81,62.12,-3.88,-5.88%,944640,0
08/22/2022,68.98,69.44,65.98,66,-4.01,-5.73%,713800,0
08/15/2022,71.56,72.24,69.88,70.01,-1.73,-2.41%,703420,0
08/08/2022,68.45,71.76,67.08,71.74,3.64,+5.35%,863521,0
08/01/2022,68.52,70.5379,65.5,68.1,-1.33,-1.92%,1162000,0
07/25/2022,63.04,69.68,62.65,69.43,6.28,+9.94%,1056341,0
07/18/2022,59.1,64.73,57.99,63.15,4.47,+7.62%,669321,0
07/11/2022,59.27,59.53,55.35,58.68,-1.08,-1.81%,849060,0
07/04/2022,56.79,60.545,56.03,59.76,1.77,+3.05%,1086100,0
06/27/2022,60.97,61.32,56.86,57.99,-3.02,-4.95%,1167160,0
06/20/2022,58.49,61.16,57.5,61.01,3.52,+6.12%,1373700,0
06/13/2022,60.87,61.46,55.645,57.49,-5.03,-8.05%,1486180,0
06/06/2022,69.38,69.73,62.34,62.52,-6.11,-8.90%,934660,0
05/30/2022,69,70.27,66.8,68.63,-0.6,-0.87%,1304800,0
05/23/2022,66.27,69.27,64.78,69.23,4,+6.13%,1322160,0
