Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,227.99,234.71,225.9645,233,4.44,+1.94%,896260,0
01/30/2023,225.63,233.35,222.17,228.56,2.89,+1.28%,1152560,0
01/23/2023,216.74,235.36,210.24,225.67,13.6,+6.41%,1487080,0
01/16/2023,221.45,224.31,206.23,212.07,-9.02,-4.08%,1227025,0
01/09/2023,220.73,224.9191,214.425,221.09,-0.55,-0.25%,1155940,0
01/02/2023,225.39,226.09,218.32,221.64,-3.33,-1.48%,1013826,0
12/26/2022,217.83,227.74,216.15,224.97,7.91,+3.64%,840844,0
12/19/2022,211.5,217.11,207.57,217.06,6.55,+3.11%,880300,0
12/12/2022,218.93,220.7,208.6806,210.51,-7.81,-3.58%,1134860,0
12/05/2022,221.87,223.3865,214.63,218.32,-6.62,-2.94%,806620,0
11/28/2022,223.81,229.81,218.2,224.94,0.92,+0.41%,1107680,0
11/21/2022,216.36,228.1,216.19,224.02,4.16,+1.89%,726950,0
11/14/2022,210.1,220.54,209.26,219.86,10.81,+5.17%,1415200,0
11/07/2022,205.78,215.55,200.94,209.05,2.49,+1.21%,1337020,0
10/31/2022,221.11,222.95,202.54,206.56,-16.58,-7.43%,1355520,0
10/24/2022,199.38,224.085,199.38,223.14,25.77,+13.06%,1367780,0
10/17/2022,201.91,206.23,187.29,197.37,-1.31,-0.66%,1663702,0
10/10/2022,195.04,205,191.92,198.68,4.06,+2.09%,1252940,0
10/03/2022,187,203.51,186.35,194.62,8.74,+4.70%,1191720,0
09/26/2022,185.61,192.77,181.4,185.88,0.29,+0.16%,1215060,0
09/19/2022,188.86,194.28,183.0575,185.59,-4.43,-2.33%,1213480,0
09/12/2022,202.52,205.4442,185.28,190.02,-10.9,-5.43%,1341160,0
09/05/2022,188.31,202,185.32,200.92,13.32,+7.10%,1150450,0
08/29/2022,189.37,193.28,182.95,187.6,-3.46,-1.81%,941300,0
08/22/2022,202.05,203,191.06,191.06,-12.23,-6.02%,872800,0
08/15/2022,197.43,206.84,196.04,203.29,6.36,+3.23%,1030240,0
08/08/2022,190.92,197,188.64,196.93,7.57,+4.00%,988820,0
08/01/2022,191.02,195.67,185.53,189.36,-2.12,-1.11%,1067920,0
07/25/2022,196.97,196.97,182.47,191.48,-3.41,-1.75%,1350260,0
07/18/2022,204.3,208.33,192.01,194.89,-8.31,-4.09%,1600161,0
07/11/2022,203.6,205.66,193.51,203.2,-0.76,-0.37%,1192600,0
07/04/2022,195.88,204.68,192.81,203.96,7.65,+3.90%,961775,0
06/27/2022,203.83,205.37,191.99,196.31,-6.66,-3.28%,844740,0
06/20/2022,191.4,203.53,189.63,202.97,14.24,+7.55%,1018125,0
06/13/2022,190,198.96,186.16,188.73,-6.57,-3.36%,1372300,0
06/06/2022,195.78,204.68,193.63,195.3,0.86,+0.44%,972080,0
05/30/2022,191,196.6889,186.55,194.44,2.01,+1.04%,1287975,0
05/23/2022,179.67,192.44,166.49,192.43,12.47,+6.93%,1644280,0
05/16/2022,202.65,208.435,173.46,179.96,-21.89,-10.84%,1727550,0
