Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,3.82,3.85,3.11,3.11,-0.73,-19.01%,1080575,0
02/27/2023,3.87,4.31,3,3.84,0.03,+0.79%,2180240,0
02/20/2023,4.21,4.225,3.715,3.81,-0.51,-11.81%,1163050,0
02/13/2023,3.85,4.61,3.755,4.32,0.51,+13.39%,765860,0
02/06/2023,4.42,4.51,3.72,3.81,-0.66,-14.77%,748480,0
01/30/2023,4.07,4.7401,4.035,4.47,0.35,+8.50%,705100,0
01/23/2023,4.27,4.52,3.955,4.12,-0.06,-1.44%,651660,0
01/16/2023,4.58,4.72,4.13,4.18,-0.38,-8.33%,579175,0
01/09/2023,4.73,4.95,4.47,4.56,-0.08,-1.72%,734940,0
01/02/2023,4.19,4.7886,4.01,4.64,0.5,+12.08%,796725,0
12/26/2022,3.95,4.175,3.83,4.14,0.17,+4.28%,790300,0
12/19/2022,4.36,4.4,3.745,3.97,-0.36,-8.31%,1340100,0
12/12/2022,4.1,4.576,3.91,4.33,0.24,+5.87%,2922020,0
12/05/2022,4.22,4.81,4.09,4.09,-0.57,-12.23%,1297000,0
11/28/2022,4.36,4.82,4.3,4.66,0.24,+5.43%,828980,0
11/21/2022,4.58,4.7,4.103,4.42,-0.18,-3.91%,882900,0
11/14/2022,5.32,5.6,4.32,4.6,-0.86,-15.75%,957340,0
11/07/2022,4.48,5.765,4.39,5.46,1.44,+35.82%,2445520,0
10/31/2022,7.43,8,3.87,4.02,-3.4,-45.82%,3399160,0
10/24/2022,7.09,7.57,6.3176,7.42,0.28,+3.92%,882900,0
10/17/2022,6.97,7.79,6.85,7.14,0.42,+6.25%,551480,0
10/10/2022,6.45,7,6.08,6.72,0.24,+3.70%,498300,0
10/03/2022,6.65,7.69,6.4001,6.48,-0.07,-1.07%,1028820,0
09/26/2022,7.55,7.8,6.44,6.55,-1.1,-14.38%,663960,0
09/19/2022,7.9,8.8,7.41,7.65,-0.26,-3.29%,767920,0
09/12/2022,9.94,10.36,7.76,7.91,-1.94,-19.70%,1527200,0
09/05/2022,11,11.025,7.215,9.85,-1.17,-10.62%,2950025,0
08/29/2022,10.9,11.74,10.72,11.02,-0.11,-0.99%,543480,0
08/22/2022,11.8,12.24,11.0796,11.13,-0.94,-7.79%,597820,0
08/15/2022,11.86,12.86,11.5,12.07,-0.01,-0.08%,812880,0
08/08/2022,11.47,12.18,10.48,12.08,0.75,+6.62%,1155620,0
08/01/2022,7.33,11.88,7.16,11.33,3.87,+51.88%,4520500,0
07/25/2022,7.19,7.46,6.56,7.46,0.34,+4.78%,850660,0
07/18/2022,6.9,7.36,6.76,7.12,0.45,+6.75%,709120,0
07/11/2022,7.12,7.2,6.21,6.67,-0.48,-6.71%,1043440,0
07/04/2022,6.59,7.85,6.43,7.15,0.45,+6.72%,1530750,0
06/27/2022,7.14,7.35,6.2609,6.7,-0.36,-5.10%,1016940,0
06/20/2022,6.78,7.48,6.57,7.06,0.43,+6.49%,1536725,0
06/13/2022,5.95,6.86,5.54,6.63,0.43,+6.94%,1899780,0
06/06/2022,6.25,6.49,5.9,6.2,-0.04,-0.64%,1082340,0
05/30/2022,6.88,6.94,6.11,6.24,-0.64,-9.30%,1066500,0
05/23/2022,6.11,7.09,5.54,6.88,0.83,+13.72%,1921440,0
05/16/2022,7.25,7.35,5.75,6.05,-1.19,-16.44%,2082420,0
05/09/2022,9.46,9.64,6.61,7.24,-2.69,-27.09%,2384120,0
05/02/2022,17.56,18.09,9.82,9.93,-7.65,-43.52%,2870880,0
04/25/2022,18.05,18.81,17.21,17.58,-0.8,-4.35%,501140,0
04/18/2022,19.99,20.34,18.18,18.38,-1.57,-7.87%,640240,0
