Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,22.5,24.93,22.35,24.6,1.96,+8.66%,1419350,0
02/13/2023,22.76,22.96,22.36,22.64,-0.25,-1.09%,599340,0
02/06/2023,22.77,23.09,22.19,22.89,0.06,+0.26%,717340,0
01/30/2023,22.45,23.56,22.4,22.83,0.33,+1.47%,990680,0
01/23/2023,21.89,22.53,21.79,22.5,0.69,+3.16%,736120,0
01/16/2023,23,23.28,21.59,21.81,-1.12,-4.88%,865400,0
01/09/2023,23.48,23.49,21.96,22.93,-0.39,-1.67%,1125060,0
01/02/2023,22.58,23.42,22.17,23.32,0.88,+3.92%,890425,0
12/26/2022,23.09,23.12,22.27,22.44,-0.63,-2.73%,643125,0
12/19/2022,23.28,23.41,22.625,23.07,-0.13,-0.56%,1009200,0
12/12/2022,24.69,24.9755,22.75,23.2,-1.48,-6.00%,2525110,0
12/05/2022,25.85,25.92,24.5464,24.68,-1.46,-5.59%,976750,0
11/28/2022,26.01,26.49,25.57,26.14,0.08,+0.31%,884340,0
11/21/2022,26.98,27.578,25.47,26.06,-0.89,-3.30%,930825,0
11/14/2022,27.01,27.69,26.32,26.95,0.08,+0.30%,1026580,0
11/07/2022,27.87,29,26.5,26.87,-0.95,-3.41%,1112520,0
10/31/2022,26.46,28.15,25.44,27.82,1.56,+5.94%,1303260,0
10/24/2022,25.02,26.56,24.78,26.26,1.33,+5.33%,1173620,0
10/17/2022,24.46,25.14,24,24.93,0.62,+2.55%,940520,0
10/10/2022,23.54,25.25,23.54,24.31,0.76,+3.23%,1093860,0
10/03/2022,23.37,24.2499,23.03,23.55,0.31,+1.33%,874061,0
09/26/2022,23.76,24.23,23.24,23.24,-0.74,-3.09%,1226660,0
09/19/2022,23.91,24.91,23.64,23.98,-0.01,-0.04%,1256480,0
09/12/2022,23.82,24.17,23.68,23.99,0.22,+0.93%,1130900,0
09/05/2022,22.82,23.955,22.45,23.77,0.9,+3.94%,980200,0
08/29/2022,23.29,23.7879,22.63,22.87,-0.66,-2.80%,787284,0
08/22/2022,23.16,23.84,22.66,23.53,0.23,+0.99%,756760,0
08/15/2022,22.6,23.38,22.5,23.3,0.72,+3.19%,650861,0
08/08/2022,22.08,22.73,21.46,22.58,0.46,+2.08%,810480,0
08/01/2022,22.58,23.13,21.09,22.12,-0.5,-2.21%,1081800,0
07/25/2022,21.27,22.93,21.07,22.62,1.4,+6.60%,878200,0
07/18/2022,20.89,21.4,20.57,21.22,0.34,+1.63%,723620,0
07/11/2022,21.37,21.76,20.54,20.88,-0.46,-2.16%,659400,0
07/04/2022,21.53,21.7,21.025,21.34,-0.18,-0.84%,777775,0
06/27/2022,20.85,21.54,20.47,21.52,0.78,+3.76%,952000,0
06/20/2022,19.98,20.82,19.335,20.74,0.95,+4.80%,1166400,0
06/13/2022,19.95,20.2,19,19.79,-0.41,-2.03%,1706900,0
06/06/2022,20.77,20.955,19.66,20.2,-0.47,-2.27%,961940,0
05/30/2022,21.33,21.405,20.49,20.67,-0.79,-3.68%,1308150,0
05/23/2022,21.25,21.52,20.5,21.46,0.48,+2.29%,1685040,0
05/16/2022,23.33,23.53,20.53,20.98,-2.58,-10.95%,1631896,0
05/09/2022,21.66,23.64,21.6,23.56,1.63,+7.43%,1810940,0
05/02/2022,22.71,24.04,21.7154,21.93,-0.76,-3.35%,1414440,0
