Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,9.4,10.46,8.76,9.57,0.01,+0.10%,1063560,0
03/06/2023,11.55,11.935,9.4,9.56,-2.58,-21.25%,407820,0
02/27/2023,13.6,13.7271,11.74,12.14,-1.36,-10.07%,163720,0
02/20/2023,16.22,16.2471,13.46,13.5,-2.88,-17.58%,186550,0
02/13/2023,24.32,24.96,16.3,16.38,-7.93,-32.62%,139140,0
02/06/2023,25,25.77,23.87,24.31,-0.98,-3.88%,35220,0
01/30/2023,22.6,25.91,22.425,25.29,2.58,+11.36%,40760,0
01/23/2023,22.46,22.9158,22.11,22.71,0.34,+1.52%,31620,0
01/16/2023,23.54,23.62,21.85,22.37,-1.31,-5.53%,28275,0
01/09/2023,22.89,24.25,22.85,23.68,1.32,+5.90%,28320,0
01/02/2023,20.93,22.49,20.8,22.36,1.55,+7.45%,45875,0
12/26/2022,20.87,21.03,19.93,20.81,-0.07,-0.34%,30525,0
12/19/2022,21.81,21.9035,20.39,20.88,-0.88,-4.04%,30302,0
12/12/2022,22.16,23.79,21.3357,21.76,-0.45,-2.03%,82582,0
12/05/2022,23.01,23.26,21.3061,22.21,-0.8,-3.48%,52920,0
11/28/2022,22.18,24.06,21.41,23.01,0.53,+2.36%,98541,0
11/21/2022,21.9,22.66,21.16,22.48,0.37,+1.67%,55375,0
11/14/2022,22.1,23.37,21.31,22.11,-0.13,-0.58%,47040,0
11/07/2022,22.12,22.56,20.86,22.24,-0.06,-0.27%,40880,0
10/31/2022,20.35,22.315,19.875,22.3,1.87,+9.15%,38633,0
10/24/2022,18.19,20.49,18.19,20.43,2.37,+13.12%,34242,0
10/17/2022,17.64,19.08,17.13,18.06,0.7,+4.03%,39224,0
10/10/2022,17.02,19.45,16.555,17.36,0.26,+1.52%,41280,0
10/03/2022,19.86,20.45,16.835,17.1,-2.57,-13.07%,45461,0
09/26/2022,19.24,21.64,18.8353,19.67,0.41,+2.13%,59260,0
09/19/2022,19.3,19.91,18.18,19.26,-0.32,-1.63%,48280,0
09/12/2022,20.23,21.48,18.59,19.58,-0.49,-2.44%,103820,0
09/05/2022,21.18,21.2,19.575,20.07,-1.14,-5.37%,64600,0
08/29/2022,22.75,23.1,21.03,21.21,-1.81,-7.86%,35740,0
08/22/2022,24.54,24.8,22.99,23.02,-1.9,-7.62%,29260,0
08/15/2022,24.31,25.16,23.46,24.92,0.39,+1.59%,40640,0
08/08/2022,25.72,26.1999,23.885,24.53,-1.33,-5.14%,62500,0
08/01/2022,27.5,29.28,24.585,25.86,-1.89,-6.81%,48260,0
07/25/2022,27.25,27.96,26.26,27.75,0.76,+2.82%,31840,0
07/18/2022,25.1,28.0074,24.745,26.99,2.04,+8.18%,51705,0
07/11/2022,25.63,25.68,23.29,24.95,-0.73,-2.84%,43980,0
07/04/2022,25.83,26.67,25.37,25.68,-0.33,-1.27%,46050,0
06/27/2022,28.15,28.15,25.04,26.01,-2.07,-7.37%,48640,0
06/20/2022,25.51,28.2,25.2718,28.08,2.7,+10.64%,69700,0
06/13/2022,25.99,27.29,24.085,25.38,-1.08,-4.08%,93560,0
06/06/2022,26.99,27.73,26.46,26.46,-0.45,-1.67%,46900,0
05/30/2022,26.96,27.73,26.38,26.91,-0.02,-0.07%,45575,0
05/23/2022,26.74,27.3,25.71,26.93,0.41,+1.55%,38880,0
05/16/2022,27.3,28.07,26,26.52,-1.06,-3.84%,49140,0
05/09/2022,27.28,28.65,26.09,27.58,-0.24,-0.86%,49720,0
05/02/2022,29.5,30.745,27.01,27.82,-1.68,-5.69%,52160,0
04/25/2022,29.71,30.32,28.7,29.5,-0.53,-1.76%,52040,0
04/18/2022,29.95,30.57,29.675,30.03,0.15,+0.50%,39680,0
04/11/2022,30.25,30.685,29.28,29.88,0.17,+0.57%,45625,0
04/04/2022,31.46,31.68,29.5,29.71,-1.72,-5.47%,49540,0
03/28/2022,31.97,32.73,31,31.43,-0.64,-2.00%,59020,0
03/21/2022,33.92,34.39,31,32.07,-1.85,-5.45%,69520,0
03/14/2022,31.76,33.92,31.09,33.92,2.26,+7.14%,79020,0
03/07/2022,32.97,33.3,31.63,31.66,-1.15,-3.51%,52840,0
02/28/2022,33.24,33.7825,32.2,32.81,-0.45,-1.35%,53560,0
02/21/2022,29.9,33.57,29.75,33.26,3.36,+11.24%,76225,0
02/14/2022,35.51,36.79,29.75,29.9,-5.65,-15.89%,72363,0
02/07/2022,33.92,36.14,33.755,35.55,1.75,+5.18%,70180,0
01/31/2022,34.55,35.77,33.12,33.8,-0.78,-2.26%,37040,0
01/24/2022,34.97,37.4,33.5,34.58,-0.43,-1.23%,39100,0
01/17/2022,38.89,38.97,34.8,35.01,-4.16,-10.62%,40825,0
01/10/2022,38.78,39.525,38.05,39.17,0.43,+1.11%,62420,0
01/03/2022,40.67,41.55,38.69,38.74,-2.01,-4.93%,57760,0
12/27/2021,42.35,42.35,40.635,40.75,-0.57,-1.38%,31320,0
12/20/2021,39.42,41.72,38.42,41.32,1.26,+3.15%,50375,0
12/13/2021,37.62,41.335,36.7,40.06,2.21,+5.84%,166800,0
12/06/2021,36.98,39.62,36.8,37.85,1.12,+3.05%,55840,0
11/29/2021,37.88,37.88,35.96,36.73,-0.83,-2.21%,68960,0
11/22/2021,39.46,39.94,36.53,37.56,-1.69,-4.31%,53200,0
11/15/2021,39.76,41.04,38.39,39.25,-0.27,-0.68%,62540,0
11/08/2021,35.95,40.0163,35.47,39.52,3.82,+10.70%,130280,0
11/01/2021,41.18,43.92,35.23,35.7,-5.48,-13.31%,121640,0
10/25/2021,43.7,43.91,40.83,41.18,-2.61,-5.96%,54080,0
10/18/2021,46.02,47.305,43.49,43.79,-1.86,-4.07%,50700,0
10/11/2021,48.57,49.07,45.53,45.65,-2.71,-5.60%,41840,0
