Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,56.94,57.76,55.44,55.45,-1.49,-2.62%,200866,0
03/13/2023,59.98,60.265,56.05,56.94,-3.75,-6.18%,345860,0
03/06/2023,66,66.195,60.415,60.69,-5.4,-8.17%,210283,0
02/27/2023,65.3,66.25,61.78,66.09,1.55,+2.40%,254081,0
02/20/2023,64,64.58,62.865,64.54,-0.17,-0.26%,380002,0
02/13/2023,64.83,66.41,63.36,64.71,-0.18,-0.28%,234563,0
02/06/2023,68.54,70.57,62.75,64.89,-3.83,-5.57%,384940,0
01/30/2023,67,70.07,65.57,68.72,1.52,+2.26%,215684,0
01/23/2023,66,67.81,65.31,67.2,1.41,+2.14%,265660,0
01/16/2023,64.81,67.81,63.03,65.79,1.28,+1.98%,294900,0
01/09/2023,60.87,65.68,60.33,64.51,4.18,+6.93%,265400,0
01/02/2023,60.6,60.69,58.6,60.33,0.14,+0.23%,349850,0
12/26/2022,59.37,61.3,58.775,60.19,0.67,+1.13%,244800,0
12/19/2022,59.7,60.19,56.85,59.52,-0.26,-0.43%,325880,0
12/12/2022,65.36,66.78,59.475,59.78,-4.59,-7.13%,601840,0
12/05/2022,66.9,66.9,62.85,64.37,-2.47,-3.70%,540021,0
11/28/2022,58.71,67.23,58.42,66.84,7.82,+13.25%,750440,0
11/21/2022,57.8,59.87,57.8,59.02,1.72,+3.00%,374200,0
11/14/2022,53.17,57.75,50,57.3,4.41,+8.34%,917640,0
11/07/2022,54.1,55.9299,50.877,52.89,-1.122,-2.08%,1049210,0
10/31/2022,58.482,58.685,52.867,54.012,-4.413,-7.55%,784266,0
10/24/2022,53.594,59.0818,53.2,58.425,4.99,+9.34%,771211,0
10/17/2022,52.927,54.536,51.905,53.435,1.301,+2.50%,504400,0
10/10/2022,53.595,53.97,51.101,52.134,-1.568,-2.92%,418202,0
10/03/2022,51.389,55.74,51.001,53.702,2.78,+5.46%,536400,0
09/26/2022,49.69,51.754,49.638,50.922,0.856,+1.71%,521200,0
09/19/2022,51.981,53.954,49.635,50.066,-1.458,-2.83%,785206,0
09/12/2022,54.694,55.38,51.172,51.524,-3.149,-5.76%,700632,0
09/05/2022,52.202,54.888,51.263,54.673,2.53,+4.85%,430750,0
08/29/2022,54.776,55.166,52,52.143,-3.178,-5.74%,408002,0
08/22/2022,57.119,57.743,54.845,55.321,-2.532,-4.38%,464200,0
08/15/2022,56.923,59.222,56.734,57.853,0.93,+1.63%,364000,0
08/08/2022,55.21,57.382,54.82,56.923,1.663,+3.01%,303802,0
08/01/2022,53.598,55.433,51.586,55.26,1.552,+2.89%,390605,0
07/25/2022,49.71,53.8805,49.368,53.708,4.051,+8.16%,304400,0
07/18/2022,47.6,50.496,47,49.657,2.107,+4.43%,336404,0
07/11/2022,47.115,47.753,45.995,47.55,0.192,+0.41%,331002,0
07/04/2022,47.266,48.5,46.258,47.358,-0.635,-1.32%,446500,0
06/27/2022,48.378,48.805,46.47,47.993,-0.193,-0.40%,395399,0
06/20/2022,46,49.161,45.601,48.186,2.515,+5.51%,583755,0
06/13/2022,46.645,47.416,44.792,45.671,-1.75,-3.69%,544600,0
06/06/2022,50.105,50.7985,46.7395,47.421,-2.45,-4.91%,476400,0
05/30/2022,49.709,50.6,48.078,49.871,-0.325,-0.65%,596850,0
05/23/2022,52.16,52.16,48.102,50.196,-1.087,-2.12%,625602,0
05/16/2022,52.72,53.5,49.975,51.283,-1.754,-3.31%,381002,0
05/09/2022,53.89,54.0115,50.532,53.037,-1.005,-1.86%,534802,0
05/02/2022,54.092,56.322,52.855,54.042,0.494,+0.92%,444010,0
04/25/2022,54.692,55.14,53.178,53.548,-1.172,-2.14%,475400,0
04/18/2022,54.63,57.055,54.3065,54.72,-0.212,-0.39%,454220,0
