Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,1.59,1.6799,1.535,1.57,0,0.00%,165400,0
02/20/2023,1.55,1.61,1.335,1.57,0.03,+1.95%,567800,0
02/13/2023,1.55,1.66,1.44,1.54,0.03,+1.99%,362900,0
02/06/2023,1.62,1.697,1.5,1.51,-0.13,-7.93%,520500,0
01/30/2023,1.68,1.7574,1.6,1.64,0.01,+0.61%,418880,0
01/23/2023,2.07,2.07,1.62,1.63,-0.43,-20.87%,429446,0
01/16/2023,2.19,2.2,1.95,2.06,-0.12,-5.50%,113000,0
01/09/2023,2.02,2.25,1.97,2.18,0.2,+10.10%,76780,0
01/02/2023,1.77,2.04,1.75,1.98,0.17,+9.39%,89075,0
12/26/2022,1.76,1.82,1.46,1.81,0.01,+0.56%,198925,0
12/19/2022,1.88,1.98,1.75,1.8,-0.03,-1.64%,116640,0
12/12/2022,2.09,2.23,1.82,1.83,-0.26,-12.44%,148000,0
12/05/2022,2.12,2.25,1.97,2.09,-0.09,-4.13%,91420,0
11/28/2022,2.49,2.49,2.11,2.18,-0.28,-11.38%,80640,0
11/21/2022,2,2.46,1.965,2.46,0.42,+20.59%,91100,0
11/14/2022,2.01,2.16,1.87,2.04,0.02,+0.99%,200200,0
11/07/2022,2.23,2.27,1.89,2.02,-0.21,-9.42%,167680,0
10/31/2022,2.35,2.45,2.19,2.23,-0.12,-5.11%,102120,0
10/24/2022,2.41,2.49,2.32,2.35,-0.05,-2.08%,86360,0
10/17/2022,2.57,2.57,2.32,2.4,-0.09,-3.61%,97560,0
10/10/2022,2.63,2.69,2.4,2.49,-0.08,-3.11%,54560,0
10/03/2022,2.51,2.77,2.4502,2.57,0.11,+4.47%,75820,0
09/26/2022,2.59,2.63,2.44,2.46,-0.13,-5.02%,73900,0
09/19/2022,2.43,2.65,2.41,2.59,0.18,+7.47%,98440,0
09/12/2022,2.65,2.72,2.4,2.41,-0.26,-9.74%,111420,0
09/05/2022,2.5,2.79,2.39,2.67,0.21,+8.54%,77050,0
08/29/2022,2.52,2.6,2.36,2.46,-0.11,-4.28%,124140,0
08/22/2022,2.6,2.76,2.43,2.57,-0.08,-3.02%,125220,0
08/15/2022,2.99,3.04,2.62,2.65,-0.32,-10.77%,129180,0
08/08/2022,2.9,3.06,2.7,2.97,0.06,+2.06%,145620,0
08/01/2022,3.44,3.46,2.81,2.91,-0.6,-17.09%,235920,0
07/25/2022,3.49,3.7951,3.31,3.51,0.05,+1.45%,217380,0
07/18/2022,3.2,3.6,3.14,3.46,0.32,+10.19%,172600,0
07/11/2022,2.9,3.19,2.66,3.14,0.22,+7.53%,144460,0
07/04/2022,2.71,2.92,2.58,2.92,0.16,+5.80%,183175,0
06/27/2022,3,3.245,2.5,2.76,-0.22,-7.38%,358380,0
06/20/2022,2.63,3.205,2.13,2.98,0.34,+12.88%,1714550,0
06/13/2022,2.77,2.92,2.48,2.64,-0.21,-7.37%,388160,0
06/06/2022,3.11,3.4,2.8,2.85,-0.26,-8.36%,322300,0
05/30/2022,3.04,3.1382,2.66,3.11,-0.04,-1.27%,417475,0
05/23/2022,3.04,3.215,2.76,3.15,0.22,+7.51%,298760,0
05/16/2022,3.29,3.49,2.82,2.93,-0.41,-12.28%,395320,0
05/09/2022,3.1,3.365,2.54,3.34,0.26,+8.44%,590620,0
05/02/2022,3.31,3.69,2.95,3.08,-0.23,-6.95%,418480,0
04/25/2022,3.2,3.47,2.96,3.31,0.13,+4.09%,409700,0
