Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,9.87,9.885,9.62,9.64,-0.09,-0.92%,16750,0
02/20/2023,9.74,9.84,9.55,9.73,-0.02,-0.21%,21875,0
02/13/2023,10.27,10.42,9.65,9.75,-0.4,-3.94%,24020,0
02/06/2023,10.46,10.59,9.77,10.15,-0.18,-1.74%,16040,0
01/30/2023,9.81,12.3,9.66,10.33,0.33,+3.30%,39000,0
01/23/2023,9.84,10.02,9.77,10,0,0.00%,32140,0
01/16/2023,9.88,10.04,9.71,10,0,0.00%,9300,0
01/09/2023,9.99,10.29,9.8,10,-0.02,-0.20%,13140,0
01/02/2023,9.75,10.02,9.35,10.02,0.37,+3.83%,7175,0
12/26/2022,9.7677,10.18,8.54,9.65,0.1,+1.05%,40450,0
12/19/2022,9.52,9.93,9.24,9.55,-0.1,-1.04%,12600,0
12/12/2022,9.75,10.17,9.36,9.65,-0.03,-0.31%,20500,0
12/05/2022,9.78,10.39,9.61,9.68,-0.46,-4.54%,10860,0
11/28/2022,10.2,10.42,9.76,10.14,-0.01,-0.10%,10200,0
11/21/2022,9.93,10.74,9.72,10.15,0.22,+2.22%,8425,0
11/14/2022,10.25,10.59,9.75,9.93,-0.32,-3.12%,8740,0
11/07/2022,9.23,10.83,8.15,10.25,1.13,+12.39%,32980,0
10/31/2022,9.67,10.05,9.04,9.12,-0.88,-8.80%,46840,0
10/24/2022,10.04,10.13,9.69,10,0,0.00%,10520,0
10/17/2022,10.49,10.98,9.99,10,-0.43,-4.12%,22800,0
10/10/2022,11.11,11.1214,10.22,10.43,-0.42,-3.87%,8100,0
10/03/2022,11,11.77,10.85,10.85,0.01,+0.09%,14200,0
09/26/2022,11.62,11.88,10.55,10.84,-0.54,-4.75%,27040,0
09/19/2022,12.91,12.91,11.16,11.38,-1.62,-12.46%,30700,0
09/12/2022,12.07,13.6,11.44,13,0.78,+6.38%,14143,0
09/05/2022,11.8,12.23,11.1829,12.22,0.65,+5.62%,8950,0
08/29/2022,11.71,12.4,11.41,11.57,-0.15,-1.28%,17160,0
08/22/2022,11.95,12.12,11.6701,11.72,-0.48,-3.93%,7760,0
08/15/2022,12.04,12.54,11.73,12.2,-0.1,-0.81%,10980,0
08/08/2022,11.98,12.3,11.47,12.3,0.66,+5.67%,13260,0
08/01/2022,11.84,12.0152,11.15,11.64,-0.19,-1.61%,12580,0
07/25/2022,10.23,12.39,10.18,11.83,1.7,+16.78%,24660,0
07/18/2022,10.58,10.86,10.13,10.13,-0.36,-3.43%,7900,0
07/11/2022,10.77,10.9,10.01,10.49,-0.16,-1.50%,11140,0
07/04/2022,10.9,11.105,10.42,10.65,-0.66,-5.84%,11525,0
06/27/2022,11.44,11.55,10.88,11.31,0.04,+0.35%,8260,0
06/20/2022,11.2,11.64,10.81,11.27,-0.37,-3.18%,35600,0
06/13/2022,10.65,11.64,9.9,11.64,0.81,+7.48%,31560,0
06/06/2022,11.05,11.315,10.79,10.83,-0.09,-0.82%,7040,0
05/30/2022,10.72,11.0975,10.561,10.92,0.08,+0.74%,9325,0
05/23/2022,10.01,10.89,9.69,10.84,1.04,+10.61%,12040,0
05/16/2022,10.6,10.97,9.11,9.8,-1.02,-9.43%,15980,0
05/09/2022,10.73,11.02,10.36,10.82,-0.35,-3.13%,22360,0
05/02/2022,10.55,11.34,10.26,11.17,0.47,+4.39%,17580,0
04/25/2022,10.12,10.87,9.95,10.7,0.46,+4.49%,13200,0
04/18/2022,9.89,10.7084,9.17,10.24,0.34,+3.43%,11260,0
04/11/2022,10.48,10.8375,9.81,9.9,-0.76,-7.13%,8600,0
04/04/2022,10.65,10.92,10.39,10.66,0.16,+1.52%,11540,0
03/28/2022,10.66,11.31,10.5,10.5,-0.04,-0.38%,8360,0
03/21/2022,11.08,11.305,10.37,10.54,-0.71,-6.31%,9100,0
03/14/2022,11.14,11.66,10.55,11.25,0.03,+0.27%,24480,0
03/07/2022,11.64,12.1399,10.61,11.22,-0.42,-3.61%,13280,0
02/28/2022,12.94,13.01,11.41,11.64,-1.3,-10.05%,21260,0
02/21/2022,12.5,13.03,12.5,12.94,0.44,+3.52%,9275,0
02/14/2022,12.18,13,12.17,12.5,0.16,+1.30%,37320,0
02/07/2022,12.63,12.77,12.24,12.34,-0.16,-1.28%,10000,0
01/31/2022,13.05,13.18,12.2594,12.5,-0.93,-6.92%,13620,0
01/24/2022,12.53,13.43,11.81,13.43,0.56,+4.35%,18980,0
01/17/2022,13.79,13.81,12.7,12.87,-0.74,-5.44%,14750,0
01/10/2022,13.4,13.63,13.15,13.61,0.08,+0.59%,18540,0
01/03/2022,13.7,13.82,13.185,13.53,-0.17,-1.24%,24940,0
12/27/2021,13.25,14,13.1884,13.7,0.38,+2.85%,27880,0
12/20/2021,12.85,13.4,12.5,13.32,0.32,+2.46%,24075,0
12/13/2021,14,14,12.7238,13,-0.38,-2.84%,92860,0
12/06/2021,12.82,13.58,12.745,13.38,0.57,+4.45%,32300,0
