Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/30/2023,55.15,56.92,54.66,55.99,0.76,+1.38%,190050,0
01/23/2023,56.27,56.3997,54.68,55.23,-0.75,-1.34%,184720,0
01/16/2023,58.3,58.3,54.19,55.98,-2.18,-3.75%,211000,0
01/09/2023,58.87,58.92,56.93,58.16,-0.16,-0.27%,214800,0
01/02/2023,59.36,59.625,56.8,58.32,-0.69,-1.17%,182650,0
12/26/2022,58.9,59.54,58.31,59.01,0.42,+0.72%,115500,0
12/19/2022,56.47,58.92,56.41,58.59,2.38,+4.23%,192940,0
12/12/2022,58.28,59.48,55.85,56.21,-2.07,-3.55%,437660,0
12/05/2022,61.29,61.675,58.25,58.28,-3.41,-5.53%,134040,0
11/28/2022,60.72,61.865,58.49,61.69,0.69,+1.13%,141820,0
11/21/2022,62.09,62.74,60.29,61,-0.92,-1.49%,111225,0
11/14/2022,61.72,62.53,60.355,61.92,0.32,+0.52%,120220,0
11/07/2022,61.31,63.86,61.1,61.6,0.38,+0.62%,136360,0
10/31/2022,62.78,63.6,60.24,61.22,-1.8,-2.86%,140280,0
10/24/2022,58.18,63.24,58.18,63.02,5.36,+9.30%,213321,0
10/17/2022,54.81,57.81,53.48,57.66,3.23,+5.93%,174760,0
10/10/2022,52.38,55.31,52.28,54.43,2.21,+4.23%,117080,0
10/03/2022,52.87,54.56,52.04,52.22,-0.07,-0.13%,119720,0
09/26/2022,55.06,55.725,52.27,52.29,-3,-5.43%,137380,0
09/19/2022,54.45,56.75,54.23,55.29,0.58,+1.06%,133880,0
09/12/2022,56.31,56.595,53.75,54.71,-1.52,-2.70%,135820,0
09/05/2022,55.53,56.7,54.11,56.23,0.74,+1.33%,96850,0
08/29/2022,58.13,58.13,55.18,55.49,-2.93,-5.02%,85160,0
08/22/2022,59.98,60.05,57.75,58.42,-1.77,-2.94%,95080,0
08/15/2022,59.99,61.675,59.875,60.19,0.17,+0.28%,111380,0
08/08/2022,59.05,60.29,58.49,60.02,0.97,+1.64%,88560,0
08/01/2022,59.91,60.49,58.13,59.05,-0.96,-1.60%,104840,0
07/25/2022,59.42,60.64,57.95,60.01,0.9,+1.52%,121920,0
07/18/2022,55.53,59.2,54.77,59.11,4.01,+7.28%,121820,0
07/11/2022,55.11,56.04,53.86,55.1,-0.33,-0.60%,109620,0
07/04/2022,55.61,56.33,54.86,55.43,-0.77,-1.37%,138450,0
06/27/2022,57.6,57.995,55.01,56.2,-1.1,-1.92%,120360,0
06/20/2022,57.24,58.9763,56.13,57.3,0.67,+1.18%,148275,0
06/13/2022,56.56,58.025,56.315,56.63,-0.66,-1.15%,115140,0
06/06/2022,59.95,60.439,56.81,57.29,-2.33,-3.91%,105900,0
05/30/2022,60,60.54,59.29,59.62,-0.83,-1.37%,97325,0
05/23/2022,58.005,60.51,56.7634,60.45,2.78,+4.82%,80260,0
05/16/2022,57.37,58.78,56.41,57.67,0.24,+0.42%,130580,0
05/09/2022,57.64,58.83,56.845,57.43,-0.49,-0.85%,104120,0
05/02/2022,58.76,59.87,57.28,57.92,-1,-1.70%,108560,0
04/25/2022,61.19,61.795,58.55,58.92,-2.38,-3.88%,142760,0
04/18/2022,58.59,61.77,58.12,61.3,2.26,+3.83%,138323,0
04/11/2022,59.15,60.175,58.56,59.04,-0.11,-0.19%,87650,0
04/04/2022,60.51,61.545,58.8564,59.15,-1.44,-2.38%,122840,0
03/28/2022,61.74,62.67,59.89,60.59,-1.53,-2.46%,94880,0
03/21/2022,60.92,62.275,59.55,62.12,1.52,+2.51%,74980,0
03/14/2022,62,63.43,60.227,60.6,-0.98,-1.59%,148080,0
03/07/2022,59.58,61.74,58.37,61.58,1.98,+3.32%,81020,0
02/28/2022,58.48,60.25,57.68,59.6,0.37,+0.62%,110640,0
02/21/2022,59.99,60.51,55.68,59.23,-0.69,-1.15%,86325,0
02/14/2022,60.09,60.8191,58.73,59.92,0.68,+1.15%,99800,0
02/07/2022,57.89,59.97,57.7,59.24,1.38,+2.39%,106240,0
01/31/2022,57.15,58.98,56.585,57.86,0.18,+0.31%,79860,0
01/24/2022,57.89,60.01,56.31,57.68,-0.86,-1.47%,114240,0
01/17/2022,60.33,61.135,57.67,58.54,-1.79,-2.97%,99750,0
01/10/2022,59.73,60.88,58.57,60.33,0.77,+1.29%,74420,0
01/03/2022,57.99,60,57.81,59.56,1.83,+3.17%,76240,0
12/27/2021,57.17,57.95,56.54,57.73,0.87,+1.53%,50420,0
12/20/2021,56.36,57.42,54.4,56.86,-0.26,-0.46%,80100,0
12/13/2021,57.17,58.47,55.78,57.12,-0.44,-0.76%,264860,0
12/06/2021,55.3,57.685,55.05,57.56,3.06,+5.61%,75800,0
11/29/2021,55.55,56.29,53.27,54.5,-0.11,-0.20%,82160,0
11/22/2021,56.73,58.222,54.23,54.61,-1.77,-3.14%,87850,0
11/15/2021,57.25,57.65,55.66,56.38,-0.71,-1.24%,72460,0
11/08/2021,57.11,58.03,56.4,57.09,-0.01,-0.02%,61080,0
11/01/2021,56.04,57.2,54.8,57.1,1.34,+2.40%,93720,0
10/25/2021,56.9,57.33,54.02,55.76,-1.48,-2.59%,67240,0
10/18/2021,54.7,57.26,54.39,57.24,2.47,+4.51%,60160,0
10/11/2021,56.45,56.45,53.84,54.77,-1.42,-2.53%,57060,0
10/04/2021,56.9,57.44,55.05,56.19,-0.9,-1.58%,61080,0
09/27/2021,55.8,57.5901,55.58,57.09,1.58,+2.85%,85000,0
09/20/2021,54.26,56.01,53.38,55.51,0.36,+0.65%,78100,0
09/13/2021,54.91,55.34,53.24,55.15,0.63,+1.16%,156460,0
09/06/2021,56.59,56.93,54.46,54.52,-1.81,-3.21%,85600,0
08/30/2021,57.3,57.3,56.02,56.33,-0.98,-1.71%,57620,0
08/23/2021,56.88,57.47,55.73,57.31,0.42,+0.74%,69200,0
08/16/2021,58.08,58.57,55.2,56.89,-1.63,-2.79%,66780,0
08/09/2021,57.5,58.65,56.39,58.52,0.97,+1.69%,79820,0
08/02/2021,55.62,57.995,55.4,57.55,2,+3.60%,99800,0
07/26/2021,55.56,56.99,55.14,55.55,-0.19,-0.34%,79640,0
07/19/2021,55.92,57.83,54.57,55.74,-1.06,-1.87%,110560,0
07/12/2021,56.32,57.91,55.05,56.8,-0.01,-0.02%,102320,0
07/05/2021,57.875,57.875,54.955,56.81,-0.85,-1.47%,90600,0
06/28/2021,59.45,59.45,57.49,57.66,-1.54,-2.60%,73840,0
06/21/2021,57.98,59.805,57.98,59.2,1.53,+2.65%,129340,0
06/14/2021,61.11,61.95,57.49,57.67,-3.37,-5.52%,104600,0
06/07/2021,62.94,63.46,60.82,61.04,-1.9,-3.02%,77040,0
05/31/2021,62.8,63.25,62.33,62.94,0.21,+0.33%,66850,0
