Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,30.43,35.02,29.08,31.62,-0.07,-0.22%,1545325,0
03/06/2023,34.97,35.67,30.215,31.69,-2.76,-8.01%,1002820,0
02/27/2023,35.49,35.87,34.24,34.45,-0.88,-2.49%,433360,0
02/20/2023,36.5,36.5959,34.78,35.33,-1.56,-4.23%,340600,0
02/13/2023,35.75,37.29,35.37,36.89,1.15,+3.22%,373320,0
02/06/2023,36.34,36.53,35.21,35.74,-0.65,-1.79%,297380,0
01/30/2023,34.12,36.805,33.5,36.39,2.24,+6.56%,387900,0
01/23/2023,34,34.53,33.255,34.15,0.32,+0.95%,363180,0
01/16/2023,36.66,36.66,33.3,33.83,-2.52,-6.93%,481325,0
01/09/2023,33.52,36.6899,33.06,36.35,2.89,+8.64%,784280,0
01/02/2023,33.76,33.88,32.16,33.46,-0.09,-0.27%,501850,0
12/26/2022,34.18,34.285,33.51,33.55,-0.5,-1.47%,261675,0
12/19/2022,32.87,34.63,32.78,34.05,1.27,+3.87%,311640,0
12/12/2022,33.63,34.59,32.59,32.78,-0.8,-2.38%,597220,0
12/05/2022,34.6,34.6,33,33.58,-1.34,-3.84%,365620,0
11/28/2022,34.86,35.32,34.1,34.92,-0.12,-0.34%,329820,0
11/21/2022,34.38,35.53,34.38,35.04,0.79,+2.31%,257200,0
11/14/2022,37.6,37.8,33.94,34.25,-3.9,-10.22%,506700,0
11/07/2022,38.28,39.1743,37.32,38.15,-0.04,-0.10%,276100,0
10/31/2022,38.28,38.95,36.78,38.19,-0.38,-0.99%,269000,0
10/24/2022,36.94,38.58,36.88,38.57,1.68,+4.55%,315260,0
10/17/2022,35.78,38,35.57,36.89,1.87,+5.34%,752320,0
10/10/2022,31.03,35.59,30.95,35.02,3.84,+12.32%,633520,0
10/03/2022,30.47,31.8,30.01,31.18,1.2,+4.00%,318360,0
09/26/2022,30.43,30.88,29.77,29.98,-0.57,-1.87%,347840,0
