Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,149.96,152.98,148.48,150.62,0.54,+0.36%,1741675,0
02/27/2023,152.06,152.96,148.31,150.08,-1.23,-0.81%,1750220,0
02/20/2023,154.69,155.49,149.98,151.31,-3.61,-2.33%,1448675,0
02/13/2023,154.52,155.17,150.59,154.92,0.85,+0.55%,1759340,0
02/06/2023,150.51,154.385,149.5,154.07,3.01,+1.99%,1683700,0
01/30/2023,152.7,155.66,148.55,151.06,-1.55,-1.02%,2473640,0
01/23/2023,152.8,153.56,151.01,152.61,0.55,+0.36%,1336520,0
01/16/2023,154.76,155.49,149.12,152.06,-2.13,-1.38%,1678225,0
01/09/2023,161.12,161.72,151.74,154.19,-5.3,-3.32%,2128760,0
01/02/2023,157.41,159.8673,153.56,159.49,2.61,+1.66%,1403450,0
12/26/2022,159.65,159.96,155.55,156.88,-2.33,-1.46%,1097800,0
12/19/2022,160.12,160.47,154.43,159.21,-2.58,-1.59%,1451340,0
12/12/2022,168.33,169.45,159.465,161.79,-5.04,-3.02%,1850960,0
12/05/2022,168.27,168.9312,164.785,166.83,-2.98,-1.75%,1537420,0
11/28/2022,163.51,170.7,163.46,169.81,5.35,+3.25%,2154560,0
11/21/2022,162.07,165.28,161.535,164.46,3.28,+2.03%,1271125,0
11/14/2022,158.69,161.6,154.565,161.18,3.02,+1.91%,1698040,0
11/07/2022,156.54,161.7,155.88,158.16,2.39,+1.53%,1617000,0
10/31/2022,157.76,160.52,153.87,155.77,-2.14,-1.36%,2021380,0
10/24/2022,162.16,167.53,156.3,157.91,-1.92,-1.20%,2372540,0
10/17/2022,156.64,162.5499,156.42,159.83,5.1,+3.30%,1340820,0
10/10/2022,155.93,159.32,151.22,154.73,-0.51,-0.33%,1529820,0
10/03/2022,161.62,169.26,154.73,155.24,-4.97,-3.10%,1883440,0
09/26/2022,165.5,166.61,160.09,160.21,-5.53,-3.34%,2168820,0
09/19/2022,168.41,173.13,164.13,165.74,-3.6,-2.13%,1713520,0
09/12/2022,173.39,174.735,168.66,169.34,-4.06,-2.34%,2060120,0
09/05/2022,169,174.57,168.16,173.4,4.95,+2.94%,1880925,0
08/29/2022,170.7,172.88,167.81,168.45,-3.06,-1.78%,1592160,0
08/22/2022,173.18,175.26,171.47,171.51,-2.81,-1.61%,1420320,0
08/15/2022,170.86,175.98,170.1,174.32,2.58,+1.50%,1204480,0
08/08/2022,169.49,172.44,169.02,171.74,2.91,+1.72%,1328520,0
08/01/2022,163.91,169.68,162.15,168.83,4.27,+2.59%,1701980,0
07/25/2022,154.91,166.9,154.38,164.56,9.63,+6.22%,1690040,0
07/18/2022,152.19,156.53,148.8,154.93,2.92,+1.92%,1252920,0
07/11/2022,152.44,153.66,148.71,152.01,-0.75,-0.49%,1264140,0
07/04/2022,154.5,155.4303,150.35,152.76,-2.89,-1.86%,1262050,0
06/27/2022,149.81,156.01,148.56,155.65,5.34,+3.55%,1378440,0
06/20/2022,141.99,150.62,141.17,150.31,9.66,+6.87%,2303525,0
06/13/2022,149,150.4,138.89,140.65,-10.76,-7.11%,1902400,0
06/06/2022,160,160.19,150.44,151.41,-7.71,-4.85%,1202760,0
05/30/2022,159.82,160,156.4,159.12,-1.88,-1.17%,1918175,0
05/23/2022,155.05,161.01,153.36,161,6.5,+4.21%,1630100,0
05/16/2022,158.05,158.95,150.29,154.5,-3.4,-2.15%,2023480,0
05/09/2022,160.75,160.98,154.035,157.9,-3.88,-2.40%,2000680,0
