Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,162.33,167.52,160.53,160.87,0.02,+0.01%,178966,0
03/13/2023,163.7,168.925,159.945,160.85,-5.61,-3.37%,213140,0
03/06/2023,177.36,178.3,165.85,166.46,-10.85,-6.12%,115460,0
02/27/2023,175.01,178.14,171.49,177.31,4.31,+2.49%,122260,0
02/20/2023,177.2,178.11,170.61,173,-6.36,-3.55%,120575,0
02/13/2023,176.27,181.4,173.01,179.36,3.42,+1.94%,161482,0
02/06/2023,170.37,181.02,166.45,175.94,3.84,+2.23%,208460,0
01/30/2023,158.69,172.94,157.175,172.1,12.82,+8.05%,110960,0
01/23/2023,153.56,160.15,150.9201,159.28,5.42,+3.52%,85440,0
01/16/2023,158.83,160.47,150.92,153.86,-4.4,-2.78%,103675,0
01/09/2023,149.06,158.83,149.06,158.26,9.65,+6.49%,111160,0
01/02/2023,147.62,149.245,142.105,148.61,2.38,+1.63%,132025,0
12/26/2022,146.25,150.18,144.41,146.23,-0.63,-0.43%,67300,0
12/19/2022,144.05,148.1,142.44,146.86,2.77,+1.92%,105180,0
12/12/2022,151.64,159.21,141.7,144.09,-7.47,-4.93%,202990,0
12/05/2022,158.31,158.31,149.14,151.56,-8.36,-5.23%,88830,0
11/28/2022,155,160.79,151.35,159.92,3.86,+2.47%,131520,0
11/21/2022,156.36,159.184,155.15,156.06,-0.65,-0.41%,87675,0
11/14/2022,151.15,158.4416,149.84,156.71,4.5,+2.96%,117181,0
11/07/2022,142.34,155.69,141.81,152.21,10.22,+7.20%,89300,0
10/31/2022,142,147.48,138.56,141.99,-0.68,-0.48%,178682,0
10/24/2022,130.71,143.63,130.71,142.67,12.44,+9.55%,116880,0
10/17/2022,125.77,134.2946,124.54,130.23,7.12,+5.78%,103180,0
10/10/2022,127.16,127.71,121.254,123.11,-3.18,-2.52%,84700,0
10/03/2022,126.6,133.5,125,126.29,0.56,+0.45%,89220,0
09/26/2022,121.77,128.315,121.6,125.73,3.25,+2.65%,132580,0
09/19/2022,128.21,132.71,120.78,122.48,-6.63,-5.14%,117822,0
09/12/2022,140.22,141.84,126.1,129.11,-9.79,-7.05%,214780,0
09/05/2022,135,140.43,133.87,138.9,4.02,+2.98%,107726,0
08/29/2022,142.19,144.16,134.36,134.88,-7.53,-5.29%,91664,0
08/22/2022,152.55,152.55,142.34,142.41,-12.28,-7.94%,92980,0
08/15/2022,152.42,156.36,152.42,154.69,0.68,+0.44%,103721,0
08/08/2022,143.09,154.07,142.08,154.01,11.92,+8.39%,171560,0
08/01/2022,136.86,147.62,135.86,142.09,3.96,+2.87%,164121,0
07/25/2022,129.59,138.69,128.54,138.13,8.16,+6.28%,116460,0
07/18/2022,125.97,130.91,122.26,129.97,4.93,+3.94%,101380,0
07/11/2022,125.61,126.94,118.48,125.04,-0.98,-0.78%,115060,0
07/04/2022,122.41,128.84,120.195,126.02,1.69,+1.36%,112200,0
06/27/2022,125.2,125.715,119.93,124.33,0.28,+0.23%,115000,0
06/20/2022,119.63,124.19,117.07,124.05,7.02,+6.00%,359400,0
06/13/2022,125.45,126.58,116.31,117.03,-11.64,-9.05%,175040,0
06/06/2022,134.62,135.19,127.455,128.67,-5.24,-3.91%,125760,0
05/30/2022,131.5,137.25,128.97,133.91,2.46,+1.87%,161975,0
05/23/2022,128.36,131.47,123.01,131.45,5.64,+4.48%,96820,0
05/16/2022,129.87,133,122.47,125.81,-5.47,-4.17%,166980,0
05/09/2022,130.42,135.1,126.325,131.28,-1.83,-1.37%,145320,0
05/02/2022,127.94,138.64,124.2,133.11,5.65,+4.43%,205720,0
04/25/2022,134,134.31,126.72,127.46,-7.33,-5.44%,115020,0
04/18/2022,130.32,140.38,128.81,134.79,3.61,+2.75%,135780,0
04/11/2022,136.1,138.23,130.9901,131.18,-4.65,-3.42%,134775,0
04/04/2022,139.57,141.31,131.66,135.83,-4.33,-3.09%,165020,0
03/28/2022,142.05,146.38,138.56,140.16,-2.43,-1.70%,138520,0
03/21/2022,146.78,148.87,139.31,142.59,-5.56,-3.75%,143680,0
03/14/2022,143.04,149.49,140.08,148.15,6.93,+4.91%,255140,0
03/07/2022,144.02,145.65,137.19,141.22,-2.32,-1.62%,187260,0
02/28/2022,145.03,148.2,140.95,143.54,-4.49,-3.03%,222320,0
02/21/2022,145.12,149.09,139.13,148.03,1.47,+1.00%,179050,0
02/14/2022,141.49,149.335,138.97,146.56,5.32,+3.77%,364520,0
02/07/2022,150,156.63,140,141.24,-8.45,-5.64%,292000,0
01/31/2022,152.12,157.465,147.29,149.69,-3.54,-2.31%,1405060,0
01/24/2022,179.05,182.77,146.3401,153.23,-29.01,-15.92%,442580,0
01/17/2022,185.14,190.08,180.59,182.24,-5.38,-2.87%,139250,0
01/10/2022,185.48,191.18,182.0001,187.62,0.59,+0.32%,138680,0
01/03/2022,195.42,195.6,186.4201,187.03,-7.14,-3.68%,131920,0
12/27/2021,189.83,198.04,188.74,194.17,5.44,+2.88%,70420,0
12/20/2021,186.18,190.31,179.97,188.73,0.67,+0.36%,136800,0
12/13/2021,189.8,190.5,183.75,188.06,-2.19,-1.15%,252900,0
12/06/2021,193.59,201,188.43,190.25,-1.21,-0.63%,133580,0
11/29/2021,194.86,195.51,185.14,191.46,-1.51,-0.78%,122000,0
11/22/2021,203.21,207.67,191.79,192.97,-9.26,-4.58%,101050,0
11/15/2021,204.45,206.96,200.43,202.23,-1.76,-0.86%,122400,0
11/08/2021,208.59,212,203.23,203.99,-2.82,-1.36%,116620,0
11/01/2021,191.23,207.01,189.17,206.81,16.79,+8.84%,141880,0
10/25/2021,185.51,190.69,182.16,190.02,3.83,+2.06%,101540,0
10/18/2021,176.19,187.77,175.71,186.19,9.14,+5.16%,87880,0
10/11/2021,177.48,178.7,167.69,177.05,-0.8,-0.45%,141500,0
10/04/2021,170.89,178.41,167.97,177.85,7.31,+4.29%,146200,0
09/27/2021,170.84,176.01,166.14,170.54,-0.08,-0.05%,126320,0
09/20/2021,167.32,172.74,164.62,170.62,1.18,+0.70%,97380,0
09/13/2021,174.72,176.2777,168.18,169.44,-3.68,-2.13%,199380,0
09/06/2021,169.23,174.785,168.26,173.12,3.89,+2.30%,146900,0
08/30/2021,171.02,172.96,168.05,169.23,-1.01,-0.59%,114220,0
08/23/2021,165.63,171.04,164.729,170.24,5.19,+3.14%,77600,0
08/16/2021,163.91,166.11,161.15,165.05,0.84,+0.51%,95000,0
08/09/2021,163.61,165.15,160,164.21,0.44,+0.27%,110100,0
08/02/2021,151.39,163.77,150.24,163.77,13.01,+8.63%,149460,0
07/26/2021,146.92,150.86,143.965,150.76,4.49,+3.07%,92620,0
07/19/2021,140.45,147.9932,139.53,146.27,3.63,+2.54%,138540,0
07/12/2021,143.95,147.89,142.36,142.64,-2.26,-1.56%,97540,0
07/05/2021,146.42,146.85,142.61,144.9,-1.8,-1.23%,115900,0
06/28/2021,141.14,147.82,141.14,146.7,5.13,+3.62%,86780,0
06/21/2021,136.44,143.57,136.13,141.57,6.38,+4.72%,181120,0
06/14/2021,143.19,144.14,135.14,135.19,-7.59,-5.32%,164880,0
06/07/2021,141,143.35,140.51,142.78,2.14,+1.52%,97260,0
05/31/2021,136.55,140.92,135.76,140.64,4.74,+3.49%,208725,0
05/24/2021,132.76,140.25,132.03,135.9,3.15,+2.37%,180060,0
05/17/2021,138.42,138.545,130.55,132.75,-6.24,-4.49%,108760,0
05/10/2021,137.02,140.39,132.58,138.99,2.65,+1.94%,229600,0
05/03/2021,125.7,136.39,123.335,136.34,11.79,+9.47%,199200,0
04/26/2021,124.38,125.875,122.17,124.55,0.72,+0.58%,130320,0
04/19/2021,119.92,124.41,118.465,123.83,3.29,+2.73%,128840,0
04/12/2021,119.12,121.33,117.83,120.54,1.86,+1.57%,94980,0
04/05/2021,120.71,122.11,116.54,118.68,-1.88,-1.56%,91740,0
03/29/2021,119.15,122.77,117.92,120.56,1.67,+1.40%,113025,0
03/22/2021,120.32,121.745,113.76,118.89,-2.01,-1.66%,134080,0
03/15/2021,122.21,123.995,119.015,120.9,-1.98,-1.61%,198920,0
03/08/2021,117.9,124.12,116.68,122.88,6.12,+5.24%,199460,0
03/01/2021,115.09,117.36,113.44,116.76,2.67,+2.34%,269220,0
02/22/2021,118.61,119.81,113.48,114.09,-5.41,-4.53%,202620,0
02/15/2021,121.54,122.64,116.43,119.5,-2.1,-1.73%,155200,0
02/08/2021,125.42,130.56,120.505,121.6,-2.92,-2.35%,157880,0
02/01/2021,120.96,125.51,120.43,124.52,4.45,+3.71%,136180,0
01/25/2021,127.89,129.54,120.06,120.07,-9.12,-7.06%,111120,0
01/18/2021,130.42,130.76,126.27,129.19,-0.02,-0.02%,131150,0
01/11/2021,124.4,131.51,124.4,129.21,3.36,+2.67%,131880,0
01/04/2021,121.68,128.86,118.92,125.85,4.15,+3.41%,172660,0
12/28/2020,122.29,123.03,120,121.7,0.77,+0.64%,98900,0
12/21/2020,114.64,121.46,114.64,120.93,4.04,+3.46%,156800,0
12/14/2020,119.06,120.69,116.09,116.89,-1.02,-0.87%,290520,0
12/07/2020,117.45,119.76,115.34,117.91,0.28,+0.24%,153500,0
11/30/2020,117.9,119.45,114.95,117.63,-1,-0.84%,157420,0
11/23/2020,117.28,120.53,115.06,118.63,2.35,+2.02%,124300,0
11/16/2020,119.84,119.9,113.955,116.28,-1.59,-1.35%,135480,0
11/09/2020,115.85,118.38,112.5,117.87,6.98,+6.29%,204560,0
11/02/2020,112.23,118.115,110.43,110.89,0.12,+0.11%,260020,0
10/26/2020,111.48,115.035,108.99,110.77,-1.71,-1.52%,207580,0
10/19/2020,112.07,113.635,111.01,112.48,0.46,+0.41%,121840,0
10/12/2020,107.94,112.96,107.94,112.02,4.57,+4.25%,175400,0
10/05/2020,102.74,108.2036,102.74,107.45,5.67,+5.57%,146640,0
09/28/2020,98.47,102.56,98.02,101.78,4.74,+4.88%,169260,0
09/21/2020,100.19,100.34,95.21,97.04,-5.42,-5.29%,393260,0
09/14/2020,98.67,104.9,98.26,102.46,4.38,+4.47%,261800,0
09/07/2020,96,99.23,94.42,98.08,1.52,+1.57%,208600,0
08/31/2020,97.1,98.13,94.5,96.56,-1.36,-1.39%,268260,0
08/24/2020,94.91,98.08,94.395,97.92,3.83,+4.07%,165860,0
08/17/2020,94.33,95.285,93.01,94.09,-0.33,-0.35%,247880,0
08/10/2020,91.34,95.66,91.34,94.42,3.08,+3.37%,127960,0
08/03/2020,84.67,91.68,84.29,91.34,7.45,+8.88%,160440,0
07/27/2020,84.15,86.14,82.88,83.89,-0.46,-0.55%,138100,0
07/20/2020,84.09,85.95,82.77,84.35,0.01,+0.01%,101460,0
07/13/2020,80.57,85.86,79.63,84.34,4.51,+5.65%,126280,0
07/06/2020,82.44,82.44,77.19,79.83,-0.75,-0.93%,158140,0
06/29/2020,79.81,82.27,79.37,80.58,2.32,+2.96%,177950,0
06/22/2020,80.29,82.73,76.22,78.26,-2.66,-3.29%,155880,0
06/15/2020,77.57,83.96,77.26,80.92,0.74,+0.92%,170900,0
06/08/2020,92.39,92.39,78.7306,80.18,-10.95,-12.02%,176180,0
06/01/2020,83.93,92.38,82.2,91.13,7.97,+9.58%,171540,0
05/25/2020,82.38,87.53,81.89,83.16,3.62,+4.55%,160225,0
05/18/2020,77.04,80.69,76.8,79.54,5.67,+7.68%,140680,0
05/11/2020,78.91,79.46,71.01,73.87,-6.97,-8.62%,196980,0
05/04/2020,80.7,86.81,77.77,80.84,-1.18,-1.44%,204020,0
04/27/2020,78.05,88.7717,77.57,82.02,4.25,+5.46%,205000,0
04/20/2020,79.11,80.38,75.03,77.77,-3.19,-3.94%,140240,0
04/13/2020,83.27,83.71,74.93,80.96,-3.04,-3.62%,161700,0
04/06/2020,78.88,86.26,77.83,84,8.18,+10.79%,183025,0
03/30/2020,81.33,85.72,73.26,75.82,-4.89,-6.06%,221820,0
03/23/2020,75.71,85.38,69.02,80.71,5.34,+7.09%,174020,0
03/16/2020,77,83.5994,69.465,75.37,-11.83,-13.57%,230440,0
03/09/2020,92.4,97.05,77.01,87.2,-7.72,-8.13%,287080,0
03/02/2020,94.87,99.96,92.34,94.92,1.01,+1.08%,230160,0
02/24/2020,102.27,103.75,91.34,93.91,-12.2,-11.50%,186660,0
02/17/2020,106.45,107.24,104.89,106.11,-0.89,-0.83%,130775,0
02/10/2020,99.7,114.4494,99.11,107,6.77,+6.75%,177160,0
02/03/2020,100.37,103.94,99.705,100.23,0.52,+0.52%,134900,0
01/27/2020,100.12,101.91,98.55,99.71,-1.74,-1.72%,110460,0
01/20/2020,101.18,103.095,100.43,101.45,-0.01,-0.01%,134125,0
01/13/2020,98.53,101.72,98.48,101.46,3.04,+3.09%,107920,0
01/06/2020,99.44,100.09,98,98.42,-1.9,-1.89%,104840,0
12/30/2019,99.68,100.63,98.46,100.32,0.55,+0.55%,117700,0
12/23/2019,99.68,100.86,98.8,99.77,0.29,+0.29%,67025,0
12/16/2019,100.02,100.8,98.09,99.48,0.29,+0.29%,201400,0
12/09/2019,97.93,100,96.28,99.19,1.15,+1.17%,140940,0
12/02/2019,97.05,98.56,94.58,98.04,1.08,+1.11%,151480,0
11/25/2019,95.43,98.29,94.71,96.96,1.59,+1.67%,85575,0
11/18/2019,94.67,97.475,94.41,95.37,0.04,+0.04%,141280,0
11/11/2019,94.39,96.45,94.17,95.33,0.17,+0.18%,130980,0
11/04/2019,95.47,97.5,92.94,95.16,0.22,+0.23%,165920,0
10/28/2019,92.62,95.94,92.03,94.94,2.68,+2.90%,183860,0
10/21/2019,92,93.265,90.395,92.26,0.87,+0.95%,157380,0
10/14/2019,89.45,92.14,88.76,91.39,1.46,+1.62%,156320,0
10/07/2019,90.03,91.165,86.66,89.93,-0.75,-0.83%,168720,0
09/30/2019,94.09,94.86,88.72,90.68,-3.11,-3.32%,178120,0
09/23/2019,94.5,95.43,92.66,93.79,-1,-1.05%,215340,0
09/16/2019,99.15,99.51,94.73,94.79,-4.36,-4.40%,172440,0
09/09/2019,93.5,100.05,92.33,99.15,6.15,+6.61%,143700,0
09/02/2019,91.14,94.42,88.74,93,1.37,+1.50%,109300,0
08/26/2019,89.76,92.9,88.36,91.63,2.87,+3.23%,103120,0
08/19/2019,94.56,94.6,88.49,88.76,-4.64,-4.97%,130880,0
08/12/2019,93.3,94.6,90.04,93.4,-0.18,-0.19%,97060,0
08/05/2019,92.01,94.735,90.43,93.58,-0.42,-0.45%,131720,0
07/29/2019,93.1,94.93,91.42,94,0.58,+0.62%,174240,0
07/22/2019,90.95,93.74,90.29,93.42,2.61,+2.87%,113100,0
07/15/2019,92.23,92.96,90.58,90.81,-1.39,-1.51%,109500,0
07/08/2019,91.45,92.56,89.79,92.2,0.59,+0.64%,171280,0
07/01/2019,94.01,94.81,90.24,91.61,-1.57,-1.68%,155200,0
06/24/2019,91.37,94.11,90.815,93.18,2.24,+2.46%,186300,0
06/17/2019,88.52,91.545,87.53,90.94,2.66,+3.01%,152920,0
