Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,31.69,31.79,29.965,29.99,-1.67,-5.27%,3873700,0
02/27/2023,31.48,31.775,30.81,31.66,0.79,+2.56%,4406000,0
02/20/2023,31.9,31.9,30.46,30.87,-1.33,-4.13%,3329500,0
02/13/2023,33.71,34.275,31.78,32.2,-1.44,-4.28%,3714860,0
02/06/2023,34.56,34.62,33.42,33.64,-1.63,-4.62%,4568780,0
01/30/2023,34.06,36,33.57,35.27,0.95,+2.77%,4701120,0
01/23/2023,32.35,34.39,31.745,34.32,2.29,+7.15%,4743780,0
01/16/2023,31.89,32.26,30.83,32.03,0.21,+0.66%,7680775,0
01/09/2023,31.6,32.3,30.36,31.82,0.21,+0.66%,3878560,0
01/02/2023,31.25,31.755,30.2,31.61,0.61,+1.97%,3023350,0
12/26/2022,31.37,31.665,30.59,31,-0.49,-1.56%,2380650,0
12/19/2022,31.29,31.605,30.34,31.49,0.19,+0.61%,2610720,0
12/12/2022,31.58,33.91,30.805,31.3,-0.18,-0.57%,5018660,0
12/05/2022,32.05,32.1,30.74,31.48,-0.94,-2.90%,3275820,0
11/28/2022,32,33.07,31.03,32.42,0.11,+0.34%,3964040,0
11/21/2022,32.21,32.489,31.94,32.31,0.04,+0.12%,2458925,0
11/14/2022,32.9,33.12,31.51,32.27,-0.82,-2.48%,2754060,0
11/07/2022,30.49,33.4,29.97,33.09,2.81,+9.28%,3238400,0
10/31/2022,30.7,31.5,28.9,30.28,-0.82,-2.64%,3868680,0
10/24/2022,30.14,31.69,29.93,31.1,1.14,+3.81%,4324960,0
10/17/2022,29.56,30.65,28.715,29.96,0.96,+3.31%,4692220,0
10/10/2022,28.79,30.255,28.54,29,0.34,+1.19%,4436420,0
10/03/2022,28.97,30.04,28.5,28.66,0.1,+0.35%,4607960,0
09/26/2022,28.63,28.815,27.365,28.56,-0.43,-1.48%,5838600,0
09/19/2022,30.48,31.785,28.535,28.99,-1.74,-5.66%,5170580,0
09/12/2022,34.85,35.2,30.6,30.73,-3.89,-11.24%,5469300,0
09/05/2022,34.02,34.715,33.27,34.62,0.75,+2.21%,2817175,0
08/29/2022,35.15,35.43,33.56,33.87,-1.51,-4.27%,3383980,0
08/22/2022,35.75,36.67,35.274,35.38,-0.82,-2.27%,2543460,0
08/15/2022,36.73,37.365,35.975,36.2,-0.69,-1.87%,2586880,0
08/08/2022,35.37,36.91,35.08,36.89,1.77,+5.04%,2387700,0
08/01/2022,36.19,37.16,34.69,35.12,-1.2,-3.30%,3044660,0
07/25/2022,35.55,37.2,34.83,36.32,0.81,+2.28%,3721100,0
07/18/2022,34.95,36.32,34.15,35.51,0.73,+2.10%,4160260,0
07/11/2022,34.79,35.24,34.09,34.78,-0.23,-0.66%,6384820,0
07/04/2022,33.61,35.115,32.91,35.01,1.03,+3.03%,3563950,0
06/27/2022,34.37,34.37,32.5,33.98,-0.35,-1.02%,3958140,0
06/20/2022,33.4,34.37,32.72,34.33,1.34,+4.06%,4265950,0
06/13/2022,34.86,35.18,32.58,32.99,-2.84,-7.93%,6742920,0
06/06/2022,38.65,39.295,35.81,35.83,-2.51,-6.55%,4590680,0
05/30/2022,39.83,40.095,37.99,38.34,-2,-4.96%,6759250,0
05/23/2022,38,40.35,36.695,40.34,2.71,+7.20%,4816660,0
05/16/2022,38.61,39.39,36.85,37.63,-1.08,-2.79%,4198680,0
05/09/2022,39.63,40.34,37.525,38.71,-1.43,-3.56%,4290120,0
05/02/2022,41.46,42.41,39.1,40.14,-1.08,-2.62%,4542500,0
04/25/2022,41.31,42.86,40.38,41.22,-0.3,-0.72%,3787620,0
04/18/2022,39.45,42.63,39.35,41.52,1.62,+4.06%,4654480,0
04/11/2022,38.63,40.53,38.52,39.9,1.22,+3.15%,3501275,0
04/04/2022,38.24,38.855,37.1,38.68,0.66,+1.74%,3294180,0
03/28/2022,38.55,39.34,37.3,38.02,-0.58,-1.50%,4045000,0
03/21/2022,40,40.23,37.47,38.6,-1.39,-3.48%,4797380,0
03/14/2022,39.71,40.19,38.34,39.99,0.37,+0.93%,5899080,0
03/07/2022,39.6,40.5,38.19,39.62,0.32,+0.81%,6094600,0
02/28/2022,39.51,39.8,38.22,39.3,0.1,+0.26%,4456480,0
02/21/2022,39.13,39.32,36.46,39.2,0.02,+0.05%,5377275,0
02/14/2022,41.6,42.1,38.85,39.18,-2.38,-5.73%,4672960,0
02/07/2022,40.82,43.04,40.365,41.56,1.07,+2.64%,3846380,0
01/31/2022,39.45,41.63,39.28,40.49,0.84,+2.12%,4014400,0
01/24/2022,37.5,39.66,37.1306,39.65,1.64,+4.31%,4822940,0
01/17/2022,40.64,40.68,37.96,38.01,-2.97,-7.25%,3528025,0
01/10/2022,40.08,41.8,39.59,40.98,0.64,+1.59%,3319640,0
