Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,72.94,75.56,72.21,74.13,0.32,+0.43%,314804,0
03/06/2023,79.41,79.495,73.12,73.81,-5.38,-6.79%,281020,0
02/27/2023,80.35,81.52,76.81,79.19,-0.58,-0.73%,345240,0
02/20/2023,81.61,83.195,78.815,79.77,-3.02,-3.65%,414875,0
02/13/2023,90.25,90.38,80.03,82.79,-6.36,-7.13%,505520,0
02/06/2023,92.38,93.84,88.78,89.15,-3.96,-4.25%,294700,0
01/30/2023,89.35,94.06,87.2,93.11,3.49,+3.89%,428000,0
01/23/2023,85.76,90.27,85,89.62,4.32,+5.06%,218580,0
01/16/2023,83.62,85.52,80.41,85.3,1.27,+1.51%,385000,0
01/09/2023,81.3,85.68,78.88,84.03,3.49,+4.33%,181500,0
01/02/2023,79.81,81.38,77.63,80.54,1.44,+1.82%,185575,0
12/26/2022,78.02,79.3,77.06,79.1,1.08,+1.38%,197650,0
12/19/2022,79.98,80.785,76.575,78.02,-2.23,-2.78%,229160,0
12/12/2022,85.34,89.5,79.47,80.25,-5.66,-6.59%,402920,0
12/05/2022,92.44,92.7,85.85,85.91,-7.41,-7.94%,199240,0
11/28/2022,89.17,94.585,87.275,93.32,3.45,+3.84%,258940,0
11/21/2022,88.12,90.23,87.02,89.87,1.26,+1.42%,160675,0
11/14/2022,87,90.97,85.785,88.61,0.61,+0.69%,330080,0
11/07/2022,72.15,88.43,71.62,88,16.75,+23.51%,406560,0
10/31/2022,77.96,78.89,69.43,71.25,-7.34,-9.34%,307020,0
10/24/2022,74.67,79.19,73.05,78.59,4.11,+5.52%,218580,0
10/17/2022,71.5,76.72,71.5,74.48,5.05,+7.27%,284720,0
10/10/2022,72.25,72.6,66.85,69.43,-2.43,-3.38%,209180,0
10/03/2022,69.47,74.1599,68.28,71.86,3.38,+4.94%,235724,0
09/26/2022,70.82,71.82,67.76,68.48,-2.84,-3.98%,312400,0
09/19/2022,73.47,75.875,70.045,71.32,-2.52,-3.41%,337893,0
09/12/2022,78.78,79.86,71.85,73.84,-4.49,-5.73%,311940,0
09/05/2022,75.09,78.66,74.155,78.33,3.23,+4.30%,210175,0
08/29/2022,79.8,80.315,74.75,75.1,-5.44,-6.75%,232052,0
08/22/2022,82.09,84.115,80.51,80.54,-3,-3.59%,252400,0
08/15/2022,82.88,88.195,82.88,83.54,-0.09,-0.11%,353920,0
08/08/2022,82.53,83.9699,80.1078,83.63,1.59,+1.94%,368580,0
08/01/2022,81.07,84.44,80.2,82.04,0.15,+0.18%,251516,0
07/25/2022,80.32,82.34,79.28,81.89,0.67,+0.82%,275980,0
07/18/2022,79.81,83.42,78.5,81.22,2.55,+3.24%,285180,0
07/11/2022,77.87,80.14,75.45,78.67,0.17,+0.22%,715940,0
07/04/2022,74.28,79.33,73.07,78.5,3.15,+4.18%,452075,0
06/27/2022,77.05,77.28,72.36,75.35,-1.23,-1.61%,372962,0
06/20/2022,72.71,77.95,70.78,76.58,4.44,+6.15%,642376,0
06/13/2022,70.64,73.15,68.42,72.14,-0.9,-1.23%,564785,0
06/06/2022,78.3,78.71,72.34,73.04,-3.97,-5.16%,223520,0
05/30/2022,77.31,79.33,74.81,77.01,-0.27,-0.35%,309225,0
05/23/2022,79.07,79.25,71.98,77.28,-1.44,-1.83%,412900,0
05/16/2022,79.16,81.15,76.62,78.72,-1.54,-1.92%,336620,0
05/09/2022,81.64,82.37,73.42,80.26,-2.9,-3.49%,521800,0
05/02/2022,88.3,91.835,82.22,83.16,-5.2,-5.89%,257480,0
04/25/2022,92.11,94.79,87.85,88.36,-4.19,-4.53%,255440,0
04/18/2022,96.67,99.94,92.41,92.55,-4.75,-4.88%,210380,0
04/11/2022,94.47,99,94.13,97.3,2.38,+2.51%,218125,0
04/04/2022,99.17,100.69,93.82,94.92,-4,-4.04%,290580,0
03/28/2022,99.19,103.58,95.81,98.92,0.11,+0.11%,327540,0
03/21/2022,100.18,103.87,98.33,98.81,-1.57,-1.56%,388760,0
03/14/2022,95.34,100.77,91.65,100.38,5.51,+5.81%,330180,0
03/07/2022,98.7,99.25,91.925,94.87,-3.82,-3.87%,311740,0
02/28/2022,99.24,102.02,96.79,98.69,-2.13,-2.11%,337289,0
02/21/2022,105.6,106.565,94,100.82,-5.83,-5.47%,609600,0
02/14/2022,102.75,109.98,99.31,106.65,4.31,+4.21%,531960,0
02/07/2022,100.95,106.4,99.49,102.34,1.63,+1.62%,422620,0
01/31/2022,101.19,106.47,98.48,100.71,-0.3,-0.30%,528100,0
01/24/2022,101.98,108.38,99.291,101.01,-2.61,-2.52%,516860,0
01/17/2022,106.94,110.87,103.24,103.62,-4.55,-4.21%,414400,0
01/10/2022,105.37,110.94,104.68,108.17,1.09,+1.02%,323680,0
01/03/2022,111.58,114.43,106.92,107.08,-3.78,-3.41%,211760,0
12/27/2021,111.19,112.98,109.86,110.86,-0.11,-0.10%,159000,0
12/20/2021,107,111.19,106.02,110.97,2.31,+2.13%,262325,0
12/13/2021,105.89,111.09,105.5,108.66,2.06,+1.93%,570580,0
12/06/2021,108.87,115.32,106.41,106.6,-1.27,-1.18%,367700,0
11/29/2021,112.62,115.84,106.33,107.87,-3.95,-3.53%,469780,0
11/22/2021,121.12,121.6,110.63,111.82,-9.26,-7.65%,326825,0
11/15/2021,128.19,129.39,120.74,121.08,-7.3,-5.69%,325020,0
11/08/2021,127.74,134.99,127.74,128.38,1.25,+0.98%,442521,0
11/01/2021,126.87,135,125.24,127.13,-1.14,-0.89%,348800,0
10/25/2021,125.61,130.99,125.505,128.27,2.36,+1.87%,477420,0
10/18/2021,122.79,126.725,121.3354,125.91,1.94,+1.56%,318020,0
10/11/2021,114.79,125.46,112.33,123.97,9.87,+8.65%,393123,0
10/04/2021,140.11,143.09,112.76,114.1,-25.77,-18.42%,435000,0
09/27/2021,140.84,142.165,135.57,139.87,-1.72,-1.21%,316140,0
09/20/2021,129.91,142.21,129.01,141.59,9.08,+6.85%,362280,0
09/13/2021,135.08,139.95,132.04,132.51,-2.23,-1.66%,600660,0
09/06/2021,135.8,141.17,132.56,134.74,-1.43,-1.05%,432426,0
08/30/2021,140.44,140.44,136.07,136.17,-3.62,-2.59%,253560,0
08/23/2021,132.76,140.11,131.16,139.79,7.88,+5.97%,233840,0
08/16/2021,132.83,133.05,127.05,131.91,-2.06,-1.54%,261100,0
08/09/2021,138.48,138.48,133.12,133.97,-4.12,-2.98%,255340,0
08/02/2021,142.07,142.94,134.695,138.09,-3.18,-2.25%,340700,0
07/26/2021,144.72,147.35,140.88,141.27,-2.96,-2.05%,349280,0
07/19/2021,136.84,145,135.47,144.23,5.4,+3.89%,378780,0
07/12/2021,142.9,145.55,137.77,138.83,-3.62,-2.54%,306900,0
07/05/2021,140.05,143.35,138.29,142.45,2.67,+1.91%,290425,0
